dt,average
1960-05-01,6.649000000000001
1961-05-01,5.0310000000000015
1962-05-01,3.2070000000000007
1963-05-01,4.9190000000000005
1964-05-01,1.0970000000000004
1965-05-01,2.6190000000000007
1966-05-01,3.1590000000000007
1967-05-01,5.291
1968-05-01,5.0230000000000015
1969-05-01,6.0070000000000014
1970-05-01,4.956
1971-05-01,2.3710000000000004
1972-05-01,3.4410000000000007
1973-05-01,4.1789999999999985
1974-05-01,6.0390000000000015
1975-05-01,3.8610000000000007
1976-05-01,4.04
1977-05-01,3.6460000000000004
1978-05-01,6.1789999999999985
1979-05-01,5.917999999999998
1980-05-01,4.795000000000001
1981-05-01,7.114000000000001
1982-05-01,3.511000000000001
1983-05-01,5.5310000000000015
1984-05-01,4.498
1985-05-01,3.0410000000000004
1986-05-01,4.707000000000002
1987-05-01,4.840000000000002
1988-05-01,5.734
1989-05-01,4.827
1990-05-01,6.6000000000000005
1991-05-01,5.2250000000000005
1992-05-01,3.3210000000000006
1993-05-01,7.452000000000001
1994-05-01,5.5500000000000025
1995-05-01,6.2120000000000015
1996-05-01,6.5840000000000005
1997-05-01,6.447000000000001
1998-05-01,4.061000000000001
1999-05-01,4.477
2000-05-01,4.251
2001-05-01,3.2890000000000006
2002-05-01,6.013
2003-05-01,5.101000000000001
2004-05-01,7.2410000000000005
2005-05-01,7.308
2006-05-01,6.182
2007-05-01,5.4830000000000005
2008-05-01,4.635000000000002
2009-05-01,6.556000000000001
2010-05-01,6.363
2011-05-01,5.6610000000000005
2012-05-01,4.424
