dt,average
1960-01-31,1529.1421257363695
1960-02-29,2905.728882701036
1960-03-31,4435.668439108371
1960-04-30,5915.008958804472
1960-05-31,7445.773925906313
1960-06-30,8925.912342607104
1960-07-31,10457.502720403452
1960-08-31,11989.51279855294
1960-09-30,13470.85482259979
1960-10-31,15003.690311443785
1960-11-30,16485.830232495326
1960-12-31,18019.49113203383
1961-01-31,19553.57173192547
1961-02-28,20985.75895480961
1961-03-31,22520.65097538399
1961-04-30,24004.77887710823
1961-05-31,25540.496308377114
1961-06-30,27025.42210710605
1961-07-31,28561.96494906944
1961-08-31,30098.92749138597
1961-09-30,31585.056897460963
1961-10-31,33122.844850472
1961-11-30,34609.77215355168
1961-12-31,36148.38551725723
1962-01-31,37687.41858131591
1962-02-28,39072.907182770665
1962-03-31,40612.737677500314
1962-04-30,42101.63943757465
1962-05-31,43642.29534299881
1962-06-30,45131.99500007784
1962-07-31,46673.4763161965
1962-08-31,48215.37733266831
1962-09-30,49706.2805970934
1962-10-31,51249.00702425971
1962-11-30,52740.70818568949
1962-12-31,54284.260023550305
1963-01-31,55828.23156176426
1963-02-28,57218.164789958755
1963-03-31,58762.933758843676
1963-04-30,60256.60937726811
1963-05-31,61802.20375684754
1963-06-30,63296.67727227667
1963-07-31,64843.0970625506
1963-08-31,66389.93655317767
1963-09-30,67885.61367595286
1963-10-31,69433.27857727444
1963-11-30,70929.75359705431
1963-12-31,72478.2439090704
1964-01-31,74027.15392143963
1964-02-29,75421.53177637387
1964-03-31,76971.23921941407
1964-04-30,78469.6886961886
1964-05-31,80020.2215499233
1964-06-30,81519.46892370252
1964-07-31,83070.82718813172
1964-08-31,84622.60515291407
1964-09-30,86123.05613403935
1964-10-31,87675.6595095162
1964-11-30,89176.90838764618
1964-12-31,90730.33717381755
1965-01-31,92284.18566034205
1965-02-28,93734.82291075018
1965-03-31,95289.48281795743
1965-04-30,96792.7196767601
1965-05-31,98348.20499466184
1965-06-30,99852.2397504692
1965-07-31,101408.55047906545
1965-08-31,102965.28090801484
1965-09-30,104470.51927116826
1965-10-31,106028.07511081216
1965-11-30,107534.11137097028
1965-12-31,109092.49262130869
1966-01-31,110651.29357200023
1966-02-28,112054.57327142455
1966-03-31,113614.17165278706
1966-04-30,115122.18236993982
1966-05-31,116682.60616199684
1966-06-30,118191.4147761543
1966-07-31,119752.66397890582
1966-08-31,121314.33288201048
1966-09-30,122824.345103514
1966-10-31,124386.83941731317
1966-11-30,125897.64953582137
1966-12-31,127460.96926031505
1967-01-31,129024.70868516187
1967-02-28,130432.43301132593
1967-03-31,131996.96986684372
1967-04-30,133509.75444234657
1967-05-31,135075.11670855887
1967-06-30,136588.69918106642
1967-07-31,138154.8868579732
1967-08-31,139721.49423523314
1967-09-30,141236.28031508677
1967-10-31,142803.7131030412
1967-11-30,144319.2970798995
1967-12-31,145887.55527854845
1968-01-31,147456.23317755054
1968-02-29,148868.40213045434
1968-03-31,150437.8774601274
1968-04-30,151955.43589398038
1968-05-31,153525.73663434794
1968-06-30,155044.09296520558
1968-07-31,156615.21911626763
1968-08-31,158186.76496768283
1968-09-30,159706.32490588655
1968-10-31,161278.69616799627
1968-11-30,162799.05400320466
1968-12-31,164372.25067600887
1969-01-31,165945.86704916623
1969-02-28,167414.95432709838
1969-03-31,168989.38212093848
1969-04-30,170511.72793681957
1969-05-31,172086.98114135416
1969-06-30,173610.12485423996
1969-07-31,175186.20346946907
1969-08-31,176762.70178505132
1969-09-30,178287.04910528316
1969-10-31,179864.37283155991
1969-11-30,181389.51804879645
1969-12-31,182967.66718576773
1970-01-31,184546.23602309212
1970-02-28,185967.306820486
1970-03-31,187546.67308848136
1970-04-30,189073.79276271255
1970-05-31,190653.98444140243
1970-06-30,192181.9020126383
1970-07-31,193762.9191020227
1970-08-31,195344.3558917602
1970-09-30,196873.47707034217
1970-10-31,198455.73927077418
1970-11-30,199985.6583463608
1970-12-31,201568.74595748735
1971-01-31,203152.25326896703
1971-02-28,204577.76869310066
1971-03-31,206162.0734352513
