dt,average
1960-01-31,217.5928961748634
1960-02-29,421.1475409836066
1960-03-31,638.74043715847
1960-04-30,849.3142076502733
1960-05-31,1066.9071038251366
1960-06-30,1277.48087431694
1960-07-31,1495.0737704918033
1960-08-31,1712.6666666666667
1960-09-30,1923.24043715847
1960-10-31,2140.8333333333335
1960-11-30,2351.407103825137
1960-12-31,2569.0
1961-01-31,2788.123287671233
1961-02-28,2986.041095890411
1961-03-31,3205.1643835616437
1961-04-30,3417.219178082192
1961-05-31,3636.3424657534247
1961-06-30,3848.3972602739727
1961-07-31,4067.5205479452056
1961-08-31,4286.643835616438
1961-09-30,4498.698630136986
1961-10-31,4717.821917808219
1961-11-30,4929.876712328767
1961-12-31,5149.0
1962-01-31,5377.12602739726
1962-02-28,5583.175342465754
1962-03-31,5811.301369863014
1962-04-30,6032.068493150685
1962-05-31,6260.194520547945
1962-06-30,6480.961643835616
1962-07-31,6709.087671232876
1962-08-31,6937.213698630137
1962-09-30,7157.980821917808
1962-10-31,7386.106849315068
1962-11-30,7606.873972602739
1962-12-31,7834.999999999999
1963-01-31,8075.610958904109
1963-02-28,8292.936986301369
1963-03-31,8533.547945205479
1963-04-30,8766.397260273972
1963-05-31,9007.008219178082
1963-06-30,9239.857534246576
1963-07-31,9480.468493150685
1963-08-31,9721.079452054795
1963-09-30,9953.928767123289
1963-10-31,10194.539726027399
1963-11-30,10427.389041095892
1963-12-31,10668.000000000002
1964-01-31,10921.67486338798
1964-02-29,11158.983606557378
1964-03-31,11412.658469945356
1964-04-30,11658.150273224044
1964-05-31,11911.825136612022
1964-06-30,12157.31693989071
1964-07-31,12410.991803278688
1964-08-31,12664.666666666666
1964-09-30,12910.158469945354
1964-10-31,13163.833333333332
1964-11-30,13409.32513661202
1964-12-31,13662.999999999998
1965-01-31,13928.835616438355
1965-02-28,14168.945205479451
1965-03-31,14434.780821917808
1965-04-30,14692.04109589041
1965-05-31,14957.876712328767
1965-06-30,15215.13698630137
1965-07-31,15480.972602739726
1965-08-31,15746.808219178083
1965-09-30,16004.068493150686
1965-10-31,16269.904109589042
1965-11-30,16527.164383561645
1965-12-31,16793.0
1966-01-31,17072.254794520548
1966-02-28,17324.48493150685
1966-03-31,17603.739726027397
1966-04-30,17873.986301369863
1966-05-31,18153.24109589041
1966-06-30,18423.487671232877
1966-07-31,18702.742465753425
1966-08-31,18981.997260273973
1966-09-30,19252.24383561644
1966-10-31,19531.498630136986
1966-11-30,19801.745205479452
1966-12-31,20081.0
1967-01-31,20369.172602739727
1967-02-28,20629.457534246576
1967-03-31,20917.630136986303
1967-04-30,21196.506849315072
1967-05-31,21484.6794520548
1967-06-30,21763.556164383568
1967-07-31,22051.728767123295
1967-08-31,22339.901369863022
1967-09-30,22618.77808219179
1967-10-31,22906.95068493152
1967-11-30,23185.827397260287
1967-12-31,23474.000000000015
1968-01-31,23776.038251366135
1968-02-29,24058.59016393444
1968-03-31,24360.62841530056
1968-04-30,24652.923497267773
1968-05-31,24954.961748633894
1968-06-30,25247.256830601105
1968-07-31,25549.295081967226
1968-08-31,25851.333333333347
1968-09-30,26143.628415300558
1968-10-31,26445.66666666668
1968-11-30,26737.96174863389
1968-12-31,27040.00000000001
1969-01-31,27361.04109589042
1969-02-28,27651.013698630148
1969-03-31,27972.054794520558
1969-04-30,28282.73972602741
1969-05-31,28603.78082191782
1969-06-30,28914.46575342467
1969-07-31,29235.50684931508
1969-08-31,29556.54794520549
1969-09-30,29867.23287671234
1969-10-31,30188.27397260275
1969-11-30,30498.9589041096
1969-12-31,30820.00000000001
1970-01-31,31164.227397260285
1970-02-28,31475.142465753437
1970-03-31,31819.36986301371
1970-04-30,32152.493150684946
1970-05-31,32496.72054794522
1970-06-30,32829.843835616455
1970-07-31,33174.071232876726
1970-08-31,33518.298630137
1970-09-30,33851.42191780823
1970-10-31,34195.6493150685
1970-11-30,34528.77260273973
1970-12-31,34873.0
1971-01-31,35230.39178082192
1971-02-28,35553.19726027398
1971-03-31,35910.5890410959
1971-04-30,36256.45205479453
1971-05-31,36613.84383561645
1971-06-30,36959.70684931508
1971-07-31,37317.098630137
1971-08-31,37674.49041095892
1971-09-30,38020.35342465755
1971-10-31,38377.74520547947
1971-11-30,38723.6082191781
1971-12-31,39081.00000000002
1972-01-31,39451.64480874319
1972-02-29,39798.37704918035
1972-03-31,40169.02185792352
1972-04-30,40527.71038251369
1972-05-31,40898.35519125686
1972-06-30,41257.04371584702
1972-07-31,41627.688524590194
1972-08-31,41998.333333333365
1972-09-30,42357.02185792353
1972-10-31,42727.6666666667
1972-11-30,43086.355191256866
1972-12-31,43457.00000000004
1973-01-31,43848.87397260278
1973-02-28,44202.824657534286
1973-03-31,44594.69863013703
1973-04-30,44973.93150684935
1973-05-31,45365.805479452094
1973-06-30,45745.03835616442
1973-07-31,46136.91232876716
1973-08-31,46528.7863013699
1973-09-30,46908.01917808223
1973-10-31,47299.89315068497
1973-11-30,47679.126027397295
1973-12-31,48071.00000000004
1974-01-31,48463.63835616442
1974-02-28,48818.27945205483
1974-03-31,49210.91780821921
1974-04-30,49590.890410958935
1974-05-31,49983.528767123316
1974-06-30,50363.50136986304
1974-07-31,50756.139726027424
1974-08-31,51148.778082191806
1974-09-30,51528.75068493153
1974-10-31,51921.389041095914
1974-11-30,52301.36164383564
1974-12-31,52694.00000000002
1975-01-31,53084.345205479476
1975-02-28,53436.915068493174
1975-03-31,53827.26027397263
1975-04-30,54205.013698630166
1975-05-31,54595.35890410962
1975-06-30,54973.11232876716
1975-07-31,55363.45753424661
1975-08-31,55753.80273972607
1975-09-30,56131.556164383604
1975-10-31,56521.90136986306
1975-11-30,56899.6547945206
1975-12-31,57290.00000000005
1976-01-31,57701.97814207655
1976-02-29,58087.37704918037
1976-03-31,58499.35519125687
1976-04-30,58898.04371584704
1976-05-31,59310.02185792354
1976-06-30,59708.7103825137
1976-07-31,60120.6885245902
1976-08-31,60532.6666666667
1976-09-30,60931.355191256866
1976-10-31,61343.333333333365
1976-11-30,61742.02185792353
1976-12-31,62154.00000000003
1977-01-31,62580.01643835619
1977-02-28,62964.80547945209
1977-03-31,63390.82191780825
1977-04-30,63803.095890410994
1977-05-31,64229.11232876716
1977-06-30,64641.3863013699
1977-07-31,65067.402739726065
1977-08-31,65493.41917808223
1977-09-30,65905.69315068497
1977-10-31,66331.70958904113
1977-11-30,66743.98356164386
1977-12-31,67170.00000000003
1978-01-31,67600.94246575345
1978-02-28,67990.18082191783
1978-03-31,68421.12328767126
1978-04-30,68838.16438356167
1978-05-31,69269.1068493151
1978-06-30,69686.1479452055
1978-07-31,70117.09041095893
1978-08-31,70548.03287671236
1978-09-30,70965.07397260277
1978-10-31,71396.0164383562
1978-11-30,71813.0575342466
1978-12-31,72244.00000000003
1979-01-31,72698.97808219181
1979-02-28,73109.92602739729
1979-03-31,73564.90410958907
1979-04-30,74005.20547945208
1979-05-31,74460.18356164386
1979-06-30,74900.48493150687
1979-07-31,75355.46301369865
1979-08-31,75810.44109589043
1979-09-30,76250.74246575344
1979-10-31,76705.72054794522
1979-11-30,77146.02191780823
1979-12-31,77601.00000000001
1980-01-31,78049.99180327871
1980-02-29,78470.01639344264
1980-03-31,78919.00819672133
1980-04-30,79353.51639344264
1980-05-31,79802.50819672133
1980-06-30,80237.01639344264
1980-07-31,80686.00819672133
1980-08-31,81135.00000000003
1980-09-30,81569.50819672133
1980-10-31,82018.50000000003
1980-11-30,82453.00819672133
1980-12-31,82902.00000000003
1981-01-31,83338.3780821918
1981-02-28,83732.52602739728
1981-03-31,84168.90410958906
1981-04-30,84591.20547945207
1981-05-31,85027.58356164384
1981-06-30,85449.88493150685
1981-07-31,85886.26301369863
1981-08-31,86322.6410958904
1981-09-30,86744.94246575341
1981-10-31,87181.32054794519
1981-11-30,87603.6219178082
1981-12-31,88039.99999999997
1982-01-31,88472.64109589039
1982-02-28,88863.41369863012
1982-03-31,89296.05479452053
1982-04-30,89714.73972602739
1982-05-31,90147.3808219178
1982-06-30,90566.06575342466
1982-07-31,90998.70684931507
1982-08-31,91431.34794520549
1982-09-30,91850.03287671234
1982-10-31,92282.67397260276
1982-11-30,92701.35890410961
1982-12-31,93134.00000000003
1983-01-31,93565.0273972603
1983-02-28,93954.34246575345
1983-03-31,94385.36986301372
1983-04-30,94802.49315068495
1983-05-31,95233.52054794523
1983-06-30,95650.64383561646
1983-07-31,96081.67123287673
1983-08-31,96512.698630137
1983-09-30,96929.82191780824
1983-10-31,97360.84931506851
1983-11-30,97777.97260273974
1983-12-31,98209.00000000001
1984-01-31,98654.34972677597
1984-02-29,99070.96721311477
1984-03-31,99516.31693989072
1984-04-30,99947.3005464481
1984-05-31,100392.65027322405
1984-06-30,100823.63387978142
1984-07-31,101268.98360655738
1984-08-31,101714.33333333333
1984-09-30,102145.3169398907
1984-10-31,102590.66666666666
1984-11-30,103021.65027322403
1984-12-31,103466.99999999999
1985-01-31,103927.07397260272
1985-02-28,104342.62465753424
1985-03-31,104802.69863013698
1985-04-30,105247.9315068493
1985-05-31,105708.00547945204
1985-06-30,106153.23835616437
1985-07-31,106613.3123287671
1985-08-31,107073.38630136984
1985-09-30,107518.61917808217
1985-10-31,107978.6931506849
1985-11-30,108423.92602739723
1985-12-31,108883.99999999997
1986-01-31,109358.1726027397
1986-02-28,109786.45753424654
1986-03-31,110260.63013698626
1986-04-30,110719.50684931503
1986-05-31,111193.67945205476
1986-06-30,111652.55616438352
1986-07-31,112126.72876712325
1986-08-31,112600.90136986297
1986-09-30,113059.77808219174
1986-10-31,113533.95068493146
1986-11-30,113992.82739726023
1986-12-31,114466.99999999996
1987-01-31,114953.23287671228
1987-02-28,115392.41095890406
1987-03-31,115878.64383561639
1987-04-30,116349.19178082187
1987-05-31,116835.4246575342
1987-06-30,117305.97260273968
1987-07-31,117792.20547945201
