site,year,month,value
ALT,1985,6,1728.52
ALT,1985,7,1716.95
ALT,1985,8,1715.50
ALT,1985,9,1739.49
ALT,1985,10,1760.60
ALT,1985,11,1761.16
ALT,1985,12,1771.32
ALT,1986,1,1779.41
ALT,1986,2,1781.93
ALT,1986,3,1787.66
ALT,1986,4,1779.16
ALT,1986,5,1764.70
ALT,1986,6,1745.50
ALT,1986,7,1734.04
ALT,1986,8,1738.32
ALT,1986,9,1753.17
ALT,1986,10,1774.14
ALT,1986,11,1773.49
ALT,1986,12,1762.29
ALT,1987,1,1770.62
ALT,1987,2,1777.60
ALT,1987,3,1779.40
ALT,1987,4,1776.89
ALT,1987,5,1770.14
ALT,1987,6,1756.41
ALT,1987,7,1748.74
ALT,1987,8,1756.47
ALT,1987,9,1774.01
ALT,1987,10,1786.84
ALT,1987,11,1788.97
ALT,1987,12,1789.62
ALT,1988,1,1797.96
ALT,1988,2,1798.75
ALT,1988,3,1795.23
ALT,1988,4,1795.50
ALT,1988,5,1785.62
ALT,1988,6,1769.28
ALT,1988,7,1752.76
ALT,1988,8,1754.81
ALT,1988,9,1781.42
ALT,1988,10,1802.76
ALT,1988,11,1806.86
ALT,1988,12,1805.07
ALT,1989,1,1814.13
ALT,1989,2,1821.55
ALT,1989,3,1816.66
ALT,1989,4,1804.36
ALT,1989,5,1788.24
ALT,1989,6,1778.52
ALT,1989,7,1773.46
ALT,1989,8,1777.08
ALT,1989,9,1786.56
ALT,1989,10,1793.53
ALT,1989,11,1809.41
ALT,1989,12,1828.72
ALT,1990,1,1827.64
ALT,1990,2,1822.74
ALT,1990,3,1823.02
ALT,1990,4,1813.57
ALT,1990,5,1800.09
ALT,1990,6,1787.47
ALT,1990,7,1778.14
ALT,1990,8,1776.97
ALT,1990,9,1787.79
ALT,1990,10,1809.17
ALT,1990,11,1818.40
ALT,1990,12,1825.74
ALT,1991,1,1839.47
ALT,1991,2,1836.23
ALT,1991,3,1828.62
ALT,1991,4,1822.50
ALT,1991,5,1804.49
ALT,1991,6,1787.89
ALT,1991,7,1781.55
ALT,1991,8,1794.04
ALT,1991,9,1813.58
ALT,1991,10,1820.20
ALT,1991,11,1825.01
ALT,1991,12,1844.62
ALT,1992,1,1858.14
ALT,1992,2,1854.37
ALT,1992,3,1848.13
ALT,1992,4,1835.34
ALT,1992,5,1824.03
ALT,1992,6,1809.87
ALT,1992,7,1794.65
ALT,1992,8,1795.64
ALT,1992,9,1805.28
ALT,1992,10,1812.95
ALT,1992,11,1826.74
ALT,1992,12,1842.83
ALT,1993,1,1841.64
ALT,1993,2,1834.74
ALT,1993,3,1838.01
ALT,1993,4,1836.68
ALT,1993,5,1819.14
ALT,1993,6,1796.49
ALT,1993,7,1788.11
ALT,1993,8,1800.16
ALT,1993,9,1814.55
ALT,1993,10,1820.61
ALT,1993,11,1829.39
ALT,1993,12,1840.08
ALT,1994,1,1850.72
ALT,1994,2,1862.51
ALT,1994,3,1861.81
ALT,1994,4,1843.28
