site,year,month,value
AMY,2013,12,1941.56
AMY,2014,1,1943.66
AMY,2014,2,1938.93
AMY,2014,3,1946.59
AMY,2014,4,1933.96
AMY,2014,5,1962.41
AMY,2014,6,2000.39
AMY,2014,7,1940.74
AMY,2014,8,1945.52
AMY,2014,9,1984.57
AMY,2014,10,1956.50
AMY,2014,11,1955.63
AMY,2014,12,2008.85
AMY,2015,1,2002.32
AMY,2015,2,1970.86
AMY,2015,3,1966.27
AMY,2015,4,1935.08
AMY,2015,5,1945.99
AMY,2015,6,1960.85
AMY,2015,7,1921.07
AMY,2015,8,1960.66
AMY,2015,9,1989.56
AMY,2015,10,1919.76
AMY,2015,11,1923.81
AMY,2015,12,1979.03
AMY,2016,1,1989.75
AMY,2016,2,1983.78
AMY,2016,3,1976.46
AMY,2016,4,1974.87
AMY,2016,5,1981.42
AMY,2016,6,1993.77
AMY,2016,7,2065.54
AMY,2016,8,2099.26
AMY,2016,9,2035.03
AMY,2016,10,2000.91
AMY,2016,11,1998.86
AMY,2016,12,1984.32
AMY,2017,1,1972.78
AMY,2017,2,1980.15
AMY,2017,3,1964.46
AMY,2017,4,1954.43
AMY,2017,5,1960.27
AMY,2017,6,1929.77
AMY,2017,7,1910.32
AMY,2017,8,1932.35
AMY,2017,9,1969.42
AMY,2017,10,1966.89
AMY,2017,11,1956.33
AMY,2017,12,1963.87
AMY,2018,1,1958.07
AMY,2018,2,1966.12
AMY,2018,3,1964.33
AMY,2018,4,1934.32
AMY,2018,5,1943.93
AMY,2018,6,1952.72
AMY,2018,7,1894.54
AMY,2018,8,1916.23
AMY,2018,9,1980.52
AMY,2018,10,1978.84
AMY,2018,11,1971.81
AMY,2018,12,1990.00
