site,year,month,value
ABP,2006,10,1736.27
ABP,2006,11,1737.89
ABP,2006,12,1740.05
ABP,2007,1,1736.84
ABP,2007,2,1738.59
ABP,2007,3,1744.03
ABP,2007,4,1738.95
ABP,2007,5,1735.52
ABP,2007,6,1745.00
ABP,2007,7,1749.08
ABP,2007,8,1747.74
ABP,2007,9,1748.24
ABP,2008,3,1756.36
ABP,2008,4,1748.06
ABP,2008,5,1743.35
ABP,2008,6,1754.55
ABP,2008,7,1759.67
ABP,2008,8,1757.04
ABP,2008,9,1759.17
ABP,2008,10,1758.21
ABP,2008,11,1761.71
ABP,2008,12,1762.86
ABP,2009,1,1748.81
ABP,2009,2,1746.38
ABP,2009,3,1762.65
ABP,2009,4,1766.74
ABP,2009,5,1756.26
ABP,2009,6,1756.28
ABP,2009,7,1763.37
ABP,2009,8,1765.91
ABP,2009,9,1763.56
ABP,2009,10,1757.25
ABP,2009,11,1753.92
ABP,2009,12,1752.76
ABP,2010,1,1747.40
