site,year,month,value
ASC,1983,5,1598.10
ASC,1983,6,1604.03
ASC,1983,7,1605.34
ASC,1983,8,1603.60
ASC,1983,9,1607.20
ASC,1983,10,1605.40
ASC,1983,11,1598.53
ASC,1983,12,1595.43
ASC,1984,1,1591.53
ASC,1984,2,1588.76
ASC,1984,3,1596.51
ASC,1984,4,1605.17
ASC,1984,5,1609.87
ASC,1984,6,1615.21
ASC,1984,7,1620.13
ASC,1984,8,1621.12
ASC,1984,9,1618.89
ASC,1984,10,1612.57
ASC,1984,11,1608.50
ASC,1984,12,1609.22
ASC,1985,1,1604.00
ASC,1985,2,1601.23
ASC,1985,3,1610.55
ASC,1985,4,1618.34
ASC,1985,5,1620.50
ASC,1985,6,1626.58
ASC,1985,7,1630.65
ASC,1985,8,1634.69
ASC,1985,9,1634.46
ASC,1985,10,1627.34
ASC,1985,11,1623.07
ASC,1985,12,1619.96
ASC,1986,1,1615.59
ASC,1986,2,1615.43
ASC,1986,3,1620.27
ASC,1986,4,1631.15
ASC,1986,5,1637.81
ASC,1986,6,1637.62
ASC,1986,7,1640.31
ASC,1986,8,1640.23
ASC,1986,9,1639.65
ASC,1986,10,1647.45
ASC,1986,11,1649.50
ASC,1986,12,1638.99
ASC,1987,1,1631.77
ASC,1987,2,1630.62
ASC,1987,3,1634.27
ASC,1987,4,1644.92
ASC,1987,5,1653.33
ASC,1987,6,1655.32
ASC,1987,7,1655.40
ASC,1987,8,1657.15
ASC,1987,9,1657.38
ASC,1987,10,1652.28
ASC,1987,11,1648.85
ASC,1987,12,1644.07
ASC,1988,1,1633.94
ASC,1988,2,1636.54
ASC,1988,3,1643.74
ASC,1988,4,1646.01
ASC,1988,5,1653.08
ASC,1988,6,1657.97
ASC,1988,7,1663.27
ASC,1988,8,1667.40
ASC,1988,9,1668.43
ASC,1988,10,1667.62
ASC,1988,11,1663.98
ASC,1988,12,1657.04
ASC,1989,1,1649.71
ASC,1989,2,1649.77
ASC,1989,3,1653.84
ASC,1989,4,1659.60
ASC,1989,5,1666.85
ASC,1989,6,1671.40
ASC,1989,7,1673.55
ASC,1989,8,1674.95
ASC,1989,9,1675.08
ASC,1989,10,1677.13
ASC,1989,11,1680.08
ASC,1989,12,1673.47
ASC,1990,1,1663.32
ASC,1990,2,1662.71
ASC,1990,3,1668.61
ASC,1990,4,1672.67
ASC,1990,5,1678.54
ASC,1990,6,1682.95
ASC,1990,7,1683.63
ASC,1990,8,1684.74
ASC,1990,9,1687.73
ASC,1990,10,1686.96
ASC,1990,11,1680.45
ASC,1990,12,1680.52
ASC,1991,1,1679.80
ASC,1991,2,1673.52
ASC,1991,3,1674.73
ASC,1991,4,1680.61
ASC,1991,5,1683.48
ASC,1991,6,1685.48
ASC,1991,7,1692.03
ASC,1991,8,1698.39
ASC,1991,9,1700.30
ASC,1991,10,1701.89
ASC,1991,11,1707.27
ASC,1991,12,1706.99
ASC,1992,1,1692.42
ASC,1992,2,1684.56
ASC,1992,3,1687.43
ASC,1992,4,1696.12
ASC,1992,5,1703.18
ASC,1992,6,1703.00
ASC,1992,7,1705.81
ASC,1992,8,1706.57
ASC,1992,9,1703.83
ASC,1992,10,1700.39
ASC,1992,11,1698.58
ASC,1992,12,1692.80
ASC,1993,1,1685.20
ASC,1993,2,1685.56
ASC,1993,3,1692.95
ASC,1993,4,1700.92
ASC,1993,5,1701.85
ASC,1993,6,1704.96
ASC,1993,7,1706.92
ASC,1993,8,1707.13
ASC,1993,9,1709.07
ASC,1993,10,1703.33
ASC,1993,11,1697.17
ASC,1993,12,1694.74
ASC,1994,1,1692.97
ASC,1994,2,1693.53
ASC,1994,3,1697.06
ASC,1994,4,1699.48
ASC,1994,5,1701.04
ASC,1994,6,1705.99
ASC,1994,7,1711.92
ASC,1994,8,1714.27
ASC,1994,9,1714.16
ASC,1994,10,1713.74
ASC,1994,11,1710.94
ASC,1994,12,1704.49
ASC,1995,1,1699.32
ASC,1995,2,1698.67
ASC,1995,3,1702.62
ASC,1995,4,1706.60
ASC,1995,5,1709.43
ASC,1995,6,1712.69
ASC,1995,7,1716.78
ASC,1995,8,1720.82
ASC,1995,9,1721.92
ASC,1995,10,1719.33
ASC,1995,11,1716.12
ASC,1995,12,1711.23
ASC,1996,1,1702.17
ASC,1996,2,1697.98
ASC,1996,3,1700.20
ASC,1996,4,1707.09
ASC,1996,5,1713.20
ASC,1996,6,1713.73
