site,year,month,value
ASK,1995,9,1774.45
ASK,1995,10,1784.31
ASK,1995,11,1792.48
ASK,1995,12,1785.12
ASK,1996,1,1779.66
ASK,1996,2,1776.89
ASK,1996,3,1782.54
ASK,1996,4,1788.92
ASK,1996,5,1768.80
ASK,1996,6,1759.55
ASK,1996,7,1770.94
ASK,1996,8,1774.53
ASK,1996,9,1769.55
ASK,1996,10,1777.66
ASK,1996,11,1782.88
ASK,1996,12,1774.21
ASK,1997,1,1779.00
ASK,1997,2,1786.56
ASK,1997,3,1786.95
ASK,1997,4,1782.92
ASK,1997,5,1778.02
ASK,1997,6,1771.81
ASK,1997,7,1768.69
ASK,1997,8,1772.09
ASK,1997,9,1771.09
ASK,1997,10,1773.85
ASK,1997,11,1788.74
ASK,1997,12,1797.74
ASK,1998,1,1786.14
ASK,1998,2,1792.78
ASK,1998,3,1802.13
ASK,1998,4,1782.99
ASK,1998,5,1775.51
ASK,1998,6,1781.17
ASK,1998,7,1787.22
ASK,1998,8,1791.48
ASK,1998,9,1788.53
ASK,1998,10,1797.09
ASK,1998,11,1807.09
ASK,1998,12,1804.95
ASK,1999,1,1805.08
ASK,1999,2,1805.25
ASK,1999,3,1807.62
ASK,1999,4,1800.96
ASK,1999,5,1794.62
ASK,1999,6,1798.33
ASK,1999,7,1795.46
ASK,1999,8,1792.45
ASK,1999,9,1795.35
ASK,1999,10,1803.38
ASK,1999,11,1808.02
ASK,1999,12,1804.15
ASK,2000,1,1807.19
ASK,2000,2,1816.01
ASK,2000,3,1807.76
ASK,2000,4,1794.37
ASK,2000,5,1789.55
ASK,2000,6,1791.36
ASK,2000,7,1793.09
ASK,2000,8,1798.62
ASK,2000,9,1801.75
ASK,2000,10,1796.66
ASK,2000,11,1803.44
ASK,2000,12,1812.24
ASK,2001,1,1812.27
ASK,2001,2,1807.05
ASK,2001,3,1804.08
ASK,2001,4,1802.85
ASK,2001,5,1800.03
ASK,2001,6,1798.82
ASK,2001,7,1799.69
ASK,2001,8,1795.35
ASK,2001,9,1788.36
ASK,2001,10,1793.82
ASK,2001,11,1803.02
ASK,2001,12,1807.64
ASK,2002,1,1810.46
ASK,2002,2,1805.47
ASK,2002,3,1801.86
ASK,2002,4,1803.97
ASK,2002,5,1799.08
ASK,2002,6,1792.53
ASK,2002,7,1789.77
ASK,2002,8,1789.25
ASK,2002,9,1792.31
ASK,2002,10,1804.81
ASK,2002,11,1809.92
ASK,2002,12,1805.26
ASK,2003,1,1807.80
ASK,2003,2,1809.64
ASK,2003,3,1808.88
ASK,2003,4,1803.19
ASK,2003,5,1796.76
ASK,2003,6,1794.77
ASK,2003,7,1797.97
ASK,2003,8,1802.93
ASK,2003,9,1804.61
ASK,2003,10,1803.08
ASK,2003,11,1808.59
ASK,2003,12,1819.59
ASK,2004,1,1815.70
ASK,2004,2,1811.90
ASK,2004,3,1809.66
ASK,2004,4,1800.43
ASK,2004,5,1794.54
ASK,2004,6,1794.99
ASK,2004,7,1794.34
ASK,2004,8,1794.60
ASK,2004,9,1800.14
ASK,2004,10,1798.01
ASK,2004,11,1800.30
ASK,2004,12,1816.64
ASK,2005,1,1816.90
