site,year,month,value
BHD,1999,10,1741.55
BHD,1999,11,1736.55
BHD,1999,12,1726.95
BHD,2000,1,1717.51
BHD,2000,2,1712.74
BHD,2000,3,1712.58
BHD,2000,4,1717.08
BHD,2000,5,1723.04
BHD,2000,6,1730.46
BHD,2000,7,1739.13
BHD,2000,8,1744.89
BHD,2000,9,1745.15
BHD,2000,10,1742.81
BHD,2000,11,1737.14
BHD,2000,12,1727.10
BHD,2001,1,1717.26
BHD,2001,2,1711.03
BHD,2001,3,1711.56
BHD,2001,4,1717.27
BHD,2001,5,1723.39
BHD,2001,6,1730.51
BHD,2001,7,1737.55
BHD,2001,8,1742.39
BHD,2001,9,1743.14
BHD,2001,10,1741.36
BHD,2001,11,1736.52
BHD,2001,12,1725.42
BHD,2002,1,1713.48
BHD,2002,2,1709.77
BHD,2002,3,1714.77
BHD,2002,4,1721.67
BHD,2002,5,1727.84
BHD,2002,6,1736.04
BHD,2002,7,1741.47
BHD,2002,8,1744.63
BHD,2002,9,1745.30
BHD,2002,10,1742.50
BHD,2002,11,1736.56
BHD,2002,12,1727.95
BHD,2003,1,1718.53
BHD,2003,2,1712.20
BHD,2003,3,1710.99
BHD,2003,4,1717.38
BHD,2003,5,1725.93
BHD,2003,6,1731.23
BHD,2003,7,1741.17
BHD,2003,8,1746.87
BHD,2003,9,1746.69
BHD,2003,10,1746.21
BHD,2003,11,1741.78
BHD,2003,12,1733.47
BHD,2004,1,1722.19
BHD,2004,2,1714.37
BHD,2004,3,1712.61
BHD,2004,4,1717.42
BHD,2004,5,1726.17
BHD,2004,6,1732.33
BHD,2004,7,1737.98
BHD,2004,8,1744.15
BHD,2004,9,1748.55
BHD,2004,10,1746.33
BHD,2004,11,1738.34
BHD,2004,12,1727.50
BHD,2005,1,1715.03
BHD,2005,2,1709.65
BHD,2005,3,1712.65
BHD,2005,4,1718.84
BHD,2005,5,1724.71
BHD,2005,6,1728.26
BHD,2005,7,1737.43
BHD,2005,8,1748.32
BHD,2005,9,1746.63
BHD,2005,10,1740.20
BHD,2005,11,1737.00
BHD,2005,12,1728.01
BHD,2006,1,1719.51
BHD,2006,2,1716.32
BHD,2006,3,1715.43
BHD,2006,4,1722.13
BHD,2006,5,1727.02
BHD,2006,6,1730.24
BHD,2006,7,1740.07
BHD,2006,8,1745.13
BHD,2006,9,1743.80
BHD,2006,10,1740.97
BHD,2006,11,1735.81
BHD,2006,12,1732.09
BHD,2007,1,1725.24
BHD,2007,2,1716.06
BHD,2007,3,1715.00
BHD,2007,4,1723.17
BHD,2007,5,1735.13
BHD,2007,6,1741.11
BHD,2007,7,1743.54
BHD,2007,8,1751.03
BHD,2007,9,1752.98
BHD,2007,10,1749.24
BHD,2007,11,1746.03
BHD,2007,12,1739.80
BHD,2008,1,1729.00
BHD,2008,2,1722.30
BHD,2008,3,1725.48
BHD,2008,4,1734.10
BHD,2008,5,1742.42
BHD,2008,6,1750.55
BHD,2008,7,1758.37
BHD,2008,8,1758.86
BHD,2008,9,1759.38
BHD,2008,10,1760.29
BHD,2008,11,1753.51
BHD,2008,12,1744.93
BHD,2009,1,1734.40
BHD,2009,2,1728.53
BHD,2009,3,1728.50
BHD,2009,4,1731.82
BHD,2009,5,1743.44
BHD,2009,6,1752.12
BHD,2009,7,1756.35
BHD,2009,8,1759.46
BHD,2009,9,1760.45
BHD,2009,10,1760.69
BHD,2010,3,1731.31
BHD,2010,4,1739.57
BHD,2010,5,1750.85
BHD,2010,6,1755.15
BHD,2010,7,1765.88
BHD,2010,8,1773.75
BHD,2010,9,1768.50
BHD,2010,10,1766.69
BHD,2010,11,1765.36
BHD,2010,12,1755.27
BHD,2011,1,1743.74
BHD,2011,2,1740.41
BHD,2011,3,1745.41
BHD,2011,4,1750.91
BHD,2011,5,1756.17
BHD,2011,6,1767.01
BHD,2011,7,1771.80
BHD,2011,8,1772.70
BHD,2011,9,1773.81
BHD,2011,10,1770.82
BHD,2011,11,1766.26
BHD,2011,12,1758.50
BHD,2012,1,1750.21
BHD,2012,2,1747.17
BHD,2012,3,1746.80
BHD,2012,4,1748.70
BHD,2012,5,1757.12
BHD,2012,6,1766.97
BHD,2012,7,1772.02
BHD,2012,8,1776.24
BHD,2012,9,1781.10
BHD,2012,10,1782.48
BHD,2012,11,1775.98
BHD,2012,12,1764.39
BHD,2013,1,1754.03
BHD,2013,2,1748.54
BHD,2013,3,1752.05
BHD,2013,4,1760.60
BHD,2013,5,1766.57
BHD,2013,6,1772.40
BHD,2013,7,1782.04
BHD,2013,8,1787.93
BHD,2013,9,1785.34
BHD,2013,10,1781.91
BHD,2013,11,1776.80
BHD,2013,12,1769.41
BHD,2014,1,1760.27
BHD,2014,2,1755.46
BHD,2014,3,1759.78
BHD,2014,4,1766.15
BHD,2014,5,1772.15
BHD,2014,6,1782.85
BHD,2014,7,1791.81
BHD,2014,8,1793.69
BHD,2014,9,1793.90
BHD,2014,10,1793.34
BHD,2014,11,1789.07
BHD,2014,12,1781.00
BHD,2015,1,1770.91
BHD,2015,2,1766.03
BHD,2015,3,1769.55
BHD,2015,4,1776.79
BHD,2015,5,1781.85
BHD,2015,6,1788.60
BHD,2015,7,1800.27
BHD,2015,8,1806.17
BHD,2015,9,1805.14
BHD,2015,10,1802.43
BHD,2015,11,1798.01
BHD,2015,12,1789.91
BHD,2016,1,1780.84
BHD,2016,2,1776.30
BHD,2016,3,1777.08
BHD,2016,4,1783.72
BHD,2016,5,1792.00
BHD,2016,6,1800.28
BHD,2016,7,1805.25
BHD,2016,8,1807.07
BHD,2016,9,1808.84
BHD,2017,2,1779.54
BHD,2017,3,1782.34
BHD,2017,4,1789.74
BHD,2017,5,1794.04
BHD,2017,6,1799.85
BHD,2017,7,1809.11
BHD,2017,8,1819.31
BHD,2017,9,1822.35
BHD,2017,10,1818.01
BHD,2017,11,1811.45
BHD,2017,12,1801.75
BHD,2018,1,1794.12
BHD,2018,2,1792.19
BHD,2018,3,1793.79
BHD,2018,4,1802.43
BHD,2018,5,1810.18
BHD,2018,6,1813.58
BHD,2018,7,1825.17
BHD,2018,8,1835.50
BHD,2018,9,1833.87
BHD,2018,10,1830.52
BHD,2018,11,1822.66
BHD,2018,12,1815.70
