site,year,month,value
BRW,1983,4,1717.04
BRW,1983,5,1706.94
BRW,1983,6,1700.98
BRW,1983,7,1695.53
BRW,1983,8,1706.64
BRW,1983,9,1728.77
BRW,1983,10,1743.28
BRW,1983,11,1735.32
BRW,1983,12,1732.05
BRW,1984,1,1759.69
BRW,1984,2,1775.35
BRW,1984,3,1753.44
BRW,1984,4,1738.14
BRW,1984,5,1731.50
BRW,1984,6,1721.43
BRW,1984,7,1714.32
BRW,1984,8,1725.68
BRW,1984,9,1749.57
BRW,1984,10,1752.85
BRW,1984,11,1747.12
BRW,1984,12,1760.85
BRW,1985,1,1764.59
BRW,1985,2,1755.96
BRW,1985,3,1763.06
BRW,1985,4,1767.45
BRW,1985,5,1753.70
BRW,1985,6,1731.22
BRW,1985,7,1719.21
BRW,1985,8,1724.56
BRW,1985,9,1749.64
BRW,1985,10,1776.43
BRW,1985,11,1773.89
BRW,1985,12,1763.25
BRW,1986,1,1768.53
BRW,1986,2,1792.81
BRW,1986,3,1801.14
BRW,1986,4,1779.47
BRW,1986,5,1756.82
BRW,1986,6,1751.67
BRW,1986,7,1744.82
BRW,1986,8,1743.36
BRW,1986,9,1778.01
BRW,1986,10,1814.78
BRW,1986,11,1801.15
BRW,1986,12,1776.00
BRW,1987,1,1779.31
BRW,1987,2,1795.79
BRW,1987,3,1798.72
BRW,1987,4,1786.15
BRW,1987,5,1768.82
BRW,1987,6,1755.38
BRW,1987,7,1758.05
BRW,1987,8,1771.70
BRW,1987,9,1780.55
BRW,1987,10,1781.51
BRW,1987,11,1787.38
BRW,1987,12,1795.27
BRW,1988,1,1813.21
BRW,1988,2,1829.74
BRW,1988,3,1816.54
BRW,1988,4,1797.20
BRW,1988,5,1782.71
BRW,1988,6,1767.95
BRW,1988,7,1760.07
BRW,1988,8,1766.47
BRW,1988,9,1787.48
BRW,1988,10,1796.02
BRW,1988,11,1804.75
BRW,1988,12,1823.54
BRW,1989,1,1824.64
BRW,1989,2,1822.73
BRW,1989,3,1827.02
BRW,1989,4,1807.37
BRW,1989,5,1787.30
BRW,1989,6,1776.01
BRW,1989,7,1796.80
BRW,1989,8,1824.30
BRW,1989,9,1804.30
BRW,1989,10,1805.37
BRW,1989,11,1820.78
BRW,1989,12,1822.67
BRW,1990,1,1830.07
BRW,1990,2,1844.55
BRW,1990,3,1840.78
BRW,1990,4,1822.73
BRW,1990,5,1809.59
BRW,1990,6,1795.95
BRW,1990,7,1785.34
BRW,1990,8,1794.74
BRW,1990,9,1808.52
BRW,1990,10,1818.38
BRW,1990,11,1835.77
BRW,1990,12,1849.50
BRW,1991,1,1847.02
BRW,1991,2,1838.92
BRW,1991,3,1841.52
BRW,1991,4,1829.52
BRW,1991,5,1806.49
BRW,1991,6,1798.72
BRW,1991,7,1804.54
BRW,1991,8,1805.60
BRW,1991,9,1811.40
BRW,1991,10,1828.22
BRW,1991,11,1838.78
BRW,1991,12,1846.22
BRW,1992,1,1856.93
BRW,1992,2,1852.84
BRW,1992,3,1839.78
BRW,1992,4,1832.31
BRW,1992,5,1822.14
BRW,1992,6,1814.36
BRW,1992,7,1810.23
BRW,1992,8,1807.43
BRW,1992,9,1812.03
BRW,1992,10,1825.15
BRW,1992,11,1835.86
BRW,1992,12,1838.49
BRW,1993,1,1839.97
BRW,1993,2,1845.17
BRW,1993,3,1848.51
BRW,1993,4,1837.95
BRW,1993,5,1819.39
BRW,1993,6,1804.48
BRW,1993,7,1804.57
BRW,1993,8,1810.95
BRW,1993,9,1821.60
BRW,1993,10,1830.18
BRW,1993,11,1837.65
BRW,1993,12,1847.73
BRW,1994,1,1846.78
BRW,1994,2,1857.79
BRW,1994,3,1865.11
BRW,1994,4,1842.03
BRW,1994,5,1824.98
BRW,1994,6,1815.85
BRW,1994,7,1827.63
BRW,1994,8,1836.96
BRW,1994,9,1841.19
BRW,1994,10,1851.95
BRW,1994,11,1854.81
BRW,1994,12,1861.42
BRW,1995,1,1868.53
BRW,1995,2,1875.85
BRW,1995,3,1866.31
BRW,1995,4,1846.01
BRW,1995,5,1829.24
BRW,1995,6,1818.32
BRW,1995,7,1812.60
BRW,1995,8,1820.25
BRW,1995,9,1837.72
BRW,1995,10,1846.15
BRW,1995,11,1860.63
BRW,1995,12,1864.20
BRW,1996,1,1857.79
BRW,1996,2,1866.91
BRW,1996,3,1863.41
BRW,1996,4,1848.75
BRW,1996,5,1845.92
BRW,1996,6,1834.47
BRW,1996,7,1817.28
BRW,1996,8,1827.91
BRW,1996,9,1848.67
BRW,1996,10,1852.16
BRW,1996,11,1844.64
BRW,1996,12,1849.91
BRW,1997,1,1866.82
BRW,1997,2,1868.66
BRW,1997,3,1853.06
BRW,1997,4,1846.18
BRW,1997,5,1841.21
BRW,1997,6,1822.19
BRW,1997,7,1817.80
BRW,1997,8,1850.95
BRW,1997,9,1859.36
BRW,1997,10,1841.11
BRW,1997,11,1842.82
BRW,1997,12,1853.89
BRW,1998,1,1861.59
BRW,1998,2,1867.86
BRW,1998,3,1863.54
BRW,1998,4,1848.49
BRW,1998,5,1847.80
BRW,1998,6,1845.35
BRW,1998,7,1844.09
BRW,1998,8,1857.12
BRW,1998,9,1859.44
BRW,1998,10,1864.44
BRW,1998,11,1872.60
BRW,1998,12,1885.81
BRW,1999,1,1892.96
BRW,1999,2,1885.06
BRW,1999,3,1876.35
BRW,1999,4,1868.16
BRW,1999,5,1860.51
BRW,1999,6,1845.71
BRW,1999,7,1834.98
BRW,1999,8,1841.56
BRW,1999,9,1848.16
BRW,1999,10,1860.09
BRW,1999,11,1873.26
BRW,1999,12,1876.29
BRW,2000,1,1883.03
BRW,2000,2,1882.61
BRW,2000,3,1871.06
BRW,2000,4,1864.71
BRW,2000,5,1859.51
BRW,2000,6,1853.37
BRW,2000,7,1843.13
BRW,2000,8,1846.10
BRW,2000,9,1859.35
BRW,2000,10,1856.79
BRW,2000,11,1853.85
BRW,2000,12,1859.49
BRW,2001,1,1869.18
BRW,2001,2,1872.85
BRW,2001,3,1870.84
BRW,2001,4,1868.40
BRW,2001,5,1859.58
BRW,2001,6,1843.19
BRW,2001,7,1838.10
BRW,2001,8,1846.04
BRW,2001,9,1849.68
BRW,2001,10,1856.31
BRW,2001,11,1865.14
BRW,2001,12,1876.24
BRW,2002,1,1882.84
BRW,2002,2,1875.18
BRW,2002,3,1871.38
BRW,2002,4,1866.22
BRW,2002,5,1851.91
BRW,2002,6,1839.20
BRW,2002,7,1831.82
BRW,2002,8,1843.91
BRW,2002,9,1863.55
BRW,2002,10,1870.58
BRW,2002,11,1871.33
BRW,2002,12,1872.43
BRW,2003,1,1883.70
BRW,2003,2,1907.69
BRW,2003,3,1907.47
BRW,2003,4,1885.58
BRW,2003,5,1864.59
BRW,2003,6,1853.23
BRW,2003,7,1849.71
BRW,2003,8,1854.34
BRW,2003,9,1863.01
BRW,2003,10,1870.36
BRW,2003,11,1889.41
BRW,2003,12,1895.30
BRW,2004,1,1887.52
BRW,2004,2,1884.66
BRW,2004,3,1877.75
BRW,2004,4,1870.71
BRW,2004,5,1860.23
BRW,2004,6,1847.14
BRW,2004,7,1849.41
BRW,2004,8,1856.19
BRW,2004,9,1860.55
BRW,2004,10,1863.77
BRW,2004,11,1862.20
BRW,2004,12,1868.83
BRW,2005,1,1883.73
BRW,2005,2,1884.27
BRW,2005,3,1876.35
BRW,2005,4,1870.99
BRW,2005,5,1858.34
BRW,2005,6,1841.27
BRW,2005,7,1834.34
BRW,2005,8,1850.94
BRW,2005,9,1873.06
BRW,2005,10,1878.21
BRW,2005,11,1877.27
BRW,2005,12,1875.47
BRW,2006,1,1876.55
BRW,2006,2,1884.27
BRW,2006,3,1884.38
BRW,2006,4,1868.26
BRW,2006,5,1855.26
BRW,2006,6,1849.17
BRW,2006,7,1841.73
BRW,2006,8,1843.54
BRW,2006,9,1863.12
BRW,2006,10,1866.84
BRW,2006,11,1864.22
BRW,2006,12,1881.47
BRW,2007,1,1890.48
BRW,2007,2,1879.21
BRW,2007,3,1877.51
BRW,2007,4,1875.41
BRW,2007,5,1863.10
BRW,2007,6,1851.34
BRW,2007,7,1843.28
BRW,2007,8,1860.80
BRW,2007,9,1881.76
BRW,2007,10,1875.76
BRW,2007,11,1877.16
BRW,2007,12,1891.61
BRW,2008,1,1911.10
