site,year,month,value
BKT,2004,1,1841.88
BKT,2004,2,1831.46
BKT,2004,3,1820.56
BKT,2004,4,1812.62
BKT,2004,5,1781.47
BKT,2004,6,1766.55
BKT,2004,7,1775.62
BKT,2004,8,1775.00
BKT,2004,9,1779.52
BKT,2004,10,1800.69
BKT,2004,11,1821.34
BKT,2004,12,1850.41
BKT,2005,1,1878.77
BKT,2005,2,1880.13
BKT,2005,3,1845.42
BKT,2005,4,1800.90
BKT,2005,5,1780.51
BKT,2005,6,1766.85
BKT,2005,7,1767.65
BKT,2005,8,1785.45
BKT,2005,9,1790.13
BKT,2005,10,1781.44
BKT,2005,11,1790.31
BKT,2005,12,1806.23
BKT,2006,1,1815.77
BKT,2006,2,1826.93
BKT,2006,3,1807.55
BKT,2006,4,1778.24
BKT,2006,5,1784.45
BKT,2006,6,1789.17
BKT,2006,7,1784.38
BKT,2006,8,1795.49
BKT,2006,9,1806.34
BKT,2006,10,1815.37
BKT,2006,11,1829.20
BKT,2006,12,1837.58
BKT,2007,1,1848.91
BKT,2007,2,1845.66
BKT,2007,3,1810.59
BKT,2007,4,1784.38
BKT,2007,5,1790.76
BKT,2007,6,1792.19
BKT,2007,7,1793.30
BKT,2007,8,1798.82
BKT,2007,9,1797.96
BKT,2007,10,1797.31
BKT,2007,11,1811.72
BKT,2007,12,1834.87
BKT,2008,1,1854.06
BKT,2008,2,1858.93
BKT,2008,3,1825.22
BKT,2008,4,1795.05
BKT,2008,5,1804.87
BKT,2008,6,1809.97
BKT,2008,7,1809.82
BKT,2008,8,1809.25
BKT,2008,9,1790.27
BKT,2008,10,1798.33
BKT,2008,11,1813.90
BKT,2008,12,1833.87
BKT,2009,1,1865.28
BKT,2009,2,1852.08
BKT,2009,3,1834.63
BKT,2009,4,1808.36
BKT,2009,5,1785.18
BKT,2009,6,1799.34
BKT,2009,7,1812.18
BKT,2009,8,1805.08
BKT,2009,9,1793.12
BKT,2009,10,1798.27
BKT,2009,11,1820.99
BKT,2009,12,1843.48
BKT,2010,1,1863.20
BKT,2010,2,1869.48
BKT,2010,3,1845.67
BKT,2010,4,1821.40
BKT,2010,5,1815.69
BKT,2010,6,1809.12
BKT,2010,7,1806.51
BKT,2010,8,1811.68
BKT,2010,9,1809.59
BKT,2010,10,1797.78
BKT,2010,11,1810.19
BKT,2010,12,1836.67
BKT,2011,1,1850.17
BKT,2011,2,1856.62
BKT,2013,2,1879.32
BKT,2013,3,1875.02
BKT,2013,4,1848.08
BKT,2013,5,1804.60
BKT,2013,6,1798.18
BKT,2013,7,1813.93
BKT,2013,8,1824.75
BKT,2013,9,1815.33
BKT,2013,10,1839.76
BKT,2013,11,1872.95
BKT,2013,12,1864.34
BKT,2014,1,1886.51
BKT,2014,2,1902.60
BKT,2014,3,1874.59
BKT,2014,4,1843.75
BKT,2014,5,1837.91
BKT,2014,6,1833.36
BKT,2014,7,1818.46
BKT,2014,8,1825.83
BKT,2014,9,1848.67
BKT,2014,10,1870.91
BKT,2014,11,1879.88
BKT,2014,12,1879.74
BKT,2015,1,1901.12
BKT,2015,2,1907.56
BKT,2015,3,1886.31
BKT,2015,4,1869.58
BKT,2015,5,1869.44
BKT,2015,6,1856.61
BKT,2015,7,1843.17
BKT,2015,8,1866.98
BKT,2015,9,1871.79
BKT,2015,10,1871.24
BKT,2015,11,1870.78
BKT,2015,12,1879.10
BKT,2016,1,1914.64
BKT,2016,2,1917.30
BKT,2016,3,1885.22
BKT,2016,4,1877.34
BKT,2016,5,1870.32
BKT,2016,6,1842.78
BKT,2016,7,1834.62
BKT,2016,8,1840.79
BKT,2016,9,1835.76
BKT,2016,10,1836.48
BKT,2016,11,1854.44
BKT,2016,12,1885.03
BKT,2017,1,1900.50
BKT,2017,2,1890.29
BKT,2017,3,1880.23
BKT,2017,4,1865.20
BKT,2017,5,1845.86
BKT,2017,6,1849.82
BKT,2017,7,1866.23
BKT,2017,8,1864.41
BKT,2017,9,1851.97
BKT,2017,10,1847.88
BKT,2017,11,1874.38
BKT,2017,12,1903.14
BKT,2018,1,1920.54
BKT,2018,2,1931.49
BKT,2018,3,1910.26
BKT,2018,4,1895.65
BKT,2018,5,1890.71
BKT,2018,6,1857.37
BKT,2018,7,1843.81
BKT,2018,8,1853.61
BKT,2018,9,1881.95
BKT,2018,10,1899.78
BKT,2018,11,1904.82
BKT,2018,12,1911.49
