site,year,month,value
KUM,1983,4,1661.81
KUM,1983,5,1667.03
KUM,1983,6,1660.39
KUM,1983,7,1642.90
KUM,1983,8,1651.43
KUM,1983,9,1686.29
KUM,1983,10,1691.94
KUM,1983,11,1679.44
KUM,1983,12,1674.03
KUM,1984,1,1672.05
KUM,1984,2,1678.89
KUM,1984,3,1683.72
KUM,1984,4,1687.99
KUM,1984,5,1679.42
KUM,1984,6,1662.57
KUM,1984,7,1653.81
KUM,1984,8,1657.86
KUM,1984,9,1673.64
KUM,1984,10,1685.76
KUM,1984,11,1679.91
KUM,1984,12,1685.88
KUM,1985,1,1696.10
KUM,1985,2,1689.95
KUM,1985,3,1692.40
KUM,1985,4,1702.45
KUM,1985,5,1702.57
KUM,1985,6,1681.91
KUM,1985,7,1664.02
KUM,1985,8,1666.58
KUM,1985,9,1684.71
KUM,1985,10,1702.74
KUM,1985,11,1701.65
KUM,1985,12,1695.04
KUM,1986,1,1692.95
KUM,1986,2,1688.73
KUM,1986,3,1695.98
KUM,1986,4,1705.71
KUM,1986,5,1698.15
KUM,1986,6,1690.64
KUM,1986,7,1680.70
KUM,1986,8,1677.23
KUM,1986,9,1689.25
KUM,1986,10,1709.36
KUM,1986,11,1718.80
KUM,1986,12,1724.83
KUM,1987,1,1728.58
KUM,1987,2,1717.98
KUM,1987,3,1713.85
KUM,1987,4,1714.83
KUM,1987,5,1714.65
KUM,1987,6,1717.73
KUM,1987,7,1703.09
KUM,1987,8,1689.41
KUM,1987,9,1697.45
KUM,1987,10,1714.81
KUM,1987,11,1731.10
KUM,1987,12,1734.61
KUM,1988,1,1719.66
KUM,1988,2,1717.70
KUM,1988,3,1728.74
KUM,1988,4,1733.42
KUM,1988,5,1725.79
KUM,1988,6,1709.83
KUM,1988,7,1696.78
KUM,1988,8,1699.97
KUM,1988,9,1712.15
KUM,1988,10,1719.43
KUM,1988,11,1726.22
KUM,1988,12,1728.30
KUM,1989,1,1723.83
KUM,1989,2,1714.95
KUM,1989,3,1721.99
KUM,1989,4,1741.96
KUM,1989,5,1740.78
KUM,1989,6,1718.58
KUM,1989,7,1710.68
KUM,1989,8,1712.68
KUM,1989,9,1719.66
KUM,1989,10,1726.77
KUM,1989,11,1737.77
KUM,1989,12,1743.96
KUM,1990,1,1747.17
KUM,1990,2,1754.77
KUM,1990,3,1751.55
KUM,1990,4,1746.95
KUM,1990,5,1747.21
KUM,1990,6,1741.47
KUM,1990,7,1720.29
KUM,1990,8,1716.07
KUM,1990,9,1739.25
KUM,1990,10,1752.56
KUM,1990,11,1758.82
KUM,1990,12,1763.53
KUM,1991,1,1753.07
KUM,1991,2,1755.95
KUM,1991,3,1767.35
KUM,1991,4,1768.95
KUM,1991,5,1769.75
KUM,1991,6,1754.83
KUM,1991,7,1730.66
KUM,1991,8,1731.50
KUM,1991,9,1741.88
KUM,1991,10,1747.55
KUM,1991,11,1759.31
KUM,1991,12,1768.21
KUM,1992,1,1775.80
KUM,1992,2,1774.85
KUM,1992,3,1773.91
KUM,1992,4,1769.41
KUM,1992,5,1761.67
KUM,1992,6,1766.61
KUM,1992,7,1748.31
KUM,1992,8,1737.01
KUM,1992,9,1754.03
KUM,1992,10,1758.23
KUM,1992,11,1762.47
KUM,1992,12,1772.47
KUM,1993,1,1778.88
KUM,1993,2,1781.24
KUM,1993,3,1769.51
KUM,1993,4,1766.73
KUM,1993,5,1776.04
KUM,1993,6,1764.53
KUM,1993,7,1740.05
KUM,1993,8,1746.47
KUM,1993,9,1759.86
KUM,1993,10,1758.49
KUM,1993,11,1774.27
KUM,1993,12,1789.98
KUM,1994,1,1784.81
KUM,1994,2,1775.69
KUM,1994,3,1778.55
KUM,1994,4,1784.36
KUM,1994,5,1781.46
KUM,1994,6,1768.87
KUM,1994,7,1750.83
KUM,1994,8,1747.41
KUM,1994,9,1761.28
KUM,1994,10,1779.98
KUM,1994,11,1795.77
KUM,1994,12,1796.22
KUM,1995,1,1785.39
KUM,1995,2,1777.14
KUM,1995,3,1781.55
KUM,1995,4,1793.22
KUM,1995,5,1792.11
KUM,1995,6,1774.77
KUM,1995,7,1760.17
KUM,1995,8,1756.13
KUM,1995,9,1770.13
KUM,1995,10,1789.33
KUM,1995,11,1786.40
KUM,1995,12,1778.57
KUM,1996,1,1782.79
KUM,1996,2,1794.36
KUM,1996,3,1797.09
KUM,1996,4,1779.08
KUM,1996,5,1767.48
KUM,1996,6,1774.25
KUM,1996,7,1762.54
KUM,1996,8,1752.16
KUM,1996,9,1769.65
KUM,1996,10,1783.83
KUM,1996,11,1792.19
KUM,1996,12,1791.33
KUM,1997,1,1780.76
KUM,1997,2,1788.08
KUM,1997,3,1788.57
KUM,1997,4,1782.75
KUM,1997,5,1787.47
KUM,1997,6,1778.11
KUM,1997,7,1761.34
KUM,1997,8,1752.82
KUM,1997,9,1766.98
KUM,1997,10,1790.00
KUM,1997,11,1800.42
KUM,1997,12,1804.12
KUM,1998,1,1801.61
KUM,1998,2,1807.40
KUM,1998,3,1815.56
KUM,1998,4,1812.81
KUM,1998,5,1807.48
KUM,1998,6,1792.03
KUM,1998,7,1764.09
KUM,1998,8,1765.33
KUM,1998,9,1794.34
KUM,1998,10,1809.75
KUM,1998,11,1813.31
KUM,1998,12,1812.14
KUM,1999,1,1811.70
KUM,1999,2,1815.65
KUM,1999,3,1813.30
KUM,1999,4,1808.11
KUM,1999,5,1804.78
KUM,1999,6,1795.97
KUM,1999,7,1775.96
KUM,1999,8,1774.72
KUM,1999,9,1792.40
KUM,1999,10,1799.41
KUM,1999,11,1804.63
KUM,1999,12,1808.76
KUM,2000,1,1804.00
KUM,2000,2,1801.21
KUM,2000,3,1817.59
KUM,2000,4,1818.21
KUM,2000,5,1796.84
KUM,2000,6,1784.98
KUM,2000,7,1778.50
KUM,2000,8,1773.72
KUM,2000,9,1783.56
KUM,2000,10,1803.93
KUM,2000,11,1804.65
KUM,2000,12,1795.98
KUM,2001,1,1805.34
KUM,2001,2,1814.38
KUM,2001,3,1810.71
KUM,2001,4,1812.39
KUM,2001,5,1808.09
KUM,2001,6,1782.41
KUM,2001,7,1768.54
KUM,2001,8,1773.60
KUM,2001,9,1785.75
KUM,2001,10,1803.51
KUM,2001,11,1804.07
KUM,2001,12,1800.78
KUM,2002,1,1804.14
KUM,2002,2,1816.81
KUM,2002,3,1820.45
KUM,2002,4,1805.36
KUM,2002,5,1793.89
KUM,2002,6,1789.10
KUM,2002,7,1769.84
KUM,2002,8,1770.71
KUM,2002,9,1799.62
KUM,2002,10,1802.04
KUM,2002,11,1801.37
KUM,2002,12,1816.02
KUM,2003,1,1817.10
KUM,2003,2,1816.49
KUM,2003,3,1812.74
KUM,2003,4,1810.83
KUM,2003,5,1812.77
KUM,2003,6,1802.57
KUM,2003,7,1786.22
KUM,2003,8,1788.13
KUM,2003,9,1801.79
KUM,2003,10,1814.40
KUM,2003,11,1825.11
KUM,2003,12,1817.23
KUM,2004,1,1805.13
KUM,2004,2,1803.65
KUM,2004,3,1808.60
KUM,2004,4,1812.53
KUM,2004,5,1803.85
KUM,2004,6,1793.71
KUM,2004,7,1785.93
KUM,2004,8,1779.80
KUM,2004,9,1785.31
KUM,2004,10,1803.91
KUM,2004,11,1818.34
KUM,2004,12,1801.61
KUM,2005,1,1791.24
KUM,2005,2,1815.85
KUM,2005,3,1833.19
KUM,2005,4,1820.66
KUM,2005,5,1801.33
KUM,2005,6,1790.70
KUM,2005,7,1781.62
KUM,2005,8,1776.33
KUM,2005,9,1794.25
KUM,2005,10,1808.52
KUM,2005,11,1807.75
KUM,2005,12,1813.30
KUM,2006,1,1818.85
KUM,2006,2,1818.07
KUM,2006,3,1814.62
KUM,2006,4,1818.22
KUM,2006,5,1818.36
KUM,2006,6,1790.05
KUM,2006,7,1772.20
KUM,2006,8,1779.89
KUM,2006,9,1793.20
KUM,2006,10,1800.00
KUM,2006,11,1810.04
KUM,2006,12,1820.38
KUM,2007,1,1823.76
KUM,2007,2,1820.66
KUM,2007,3,1815.43
KUM,2007,4,1817.97
KUM,2007,5,1810.09
KUM,2007,6,1797.38
KUM,2007,7,1785.60
KUM,2007,8,1782.58
KUM,2007,9,1810.12
KUM,2007,10,1824.78
KUM,2007,11,1810.84
KUM,2007,12,1816.97
KUM,2008,1,1830.13
KUM,2008,2,1816.69
KUM,2008,3,1808.50
KUM,2008,4,1817.70
KUM,2008,5,1817.03
KUM,2008,6,1813.70
KUM,2008,7,1802.16
KUM,2008,8,1794.73
KUM,2008,9,1814.09
KUM,2008,10,1825.29
KUM,2008,11,1823.37
KUM,2008,12,1827.62
KUM,2009,1,1837.99
KUM,2009,2,1842.64
KUM,2009,3,1834.41
KUM,2009,4,1827.93
KUM,2009,5,1822.74
KUM,2009,6,1817.71
KUM,2009,7,1805.07
KUM,2009,8,1796.70
KUM,2009,9,1816.76
KUM,2009,10,1835.01
KUM,2009,11,1835.45
KUM,2009,12,1826.67
KUM,2010,1,1829.35
KUM,2010,2,1846.98
KUM,2010,3,1848.08
KUM,2010,4,1843.20
