site,year,month,value
DSI,2010,3,1885.22
DSI,2010,4,1883.02
DSI,2010,5,1876.74
DSI,2010,6,1822.11
DSI,2010,7,1776.30
DSI,2010,8,1787.55
DSI,2010,9,1812.16
DSI,2010,10,1870.78
DSI,2010,11,1908.17
DSI,2010,12,1897.20
DSI,2011,1,1901.26
DSI,2011,2,1904.53
DSI,2011,3,1902.68
DSI,2011,4,1885.14
DSI,2011,5,1821.18
DSI,2011,6,1798.22
DSI,2011,7,1806.33
DSI,2011,8,1816.36
DSI,2011,9,1862.77
DSI,2011,10,1889.47
DSI,2011,11,1880.29
DSI,2011,12,1891.76
DSI,2012,1,1904.08
DSI,2012,2,1887.08
DSI,2012,3,1868.70
DSI,2012,4,1852.04
DSI,2012,5,1850.11
DSI,2012,6,1838.60
DSI,2012,7,1799.02
DSI,2012,8,1799.81
DSI,2012,9,1849.54
DSI,2012,10,1881.14
DSI,2012,11,1903.91
DSI,2012,12,1912.00
DSI,2013,1,1888.27
DSI,2013,2,1879.33
DSI,2013,3,1911.71
DSI,2013,4,1894.03
DSI,2013,5,1820.87
DSI,2013,6,1805.66
DSI,2013,7,1814.90
DSI,2013,8,1836.07
DSI,2013,9,1875.61
DSI,2013,10,1892.53
DSI,2013,11,1906.29
DSI,2013,12,1928.07
DSI,2014,1,1919.30
DSI,2014,2,1903.70
DSI,2014,3,1911.01
DSI,2014,4,1904.35
DSI,2014,5,1850.21
DSI,2014,6,1823.09
DSI,2014,7,1825.85
DSI,2014,8,1849.74
DSI,2014,9,1917.47
DSI,2014,10,1925.49
DSI,2014,11,1908.14
DSI,2014,12,1936.16
DSI,2015,1,1956.21
DSI,2015,2,1944.26
DSI,2015,3,1921.81
DSI,2015,4,1896.87
DSI,2015,5,1845.16
DSI,2015,6,1831.31
DSI,2015,7,1838.63
DSI,2015,8,1838.06
DSI,2015,9,1886.86
DSI,2015,10,1913.26
DSI,2015,11,1916.36
DSI,2015,12,1954.06
DSI,2016,1,1964.75
DSI,2016,2,1941.99
DSI,2016,3,1922.65
DSI,2016,4,1885.46
DSI,2016,5,1870.51
DSI,2016,6,1850.45
DSI,2016,7,1826.92
DSI,2016,11,1926.39
DSI,2016,12,1942.10
DSI,2017,1,1944.52
DSI,2017,2,1939.47
DSI,2017,3,1935.73
DSI,2017,4,1902.21
DSI,2017,5,1869.41
DSI,2017,6,1842.06
DSI,2017,7,1843.36
DSI,2017,8,1855.31
DSI,2017,9,1883.19
DSI,2017,10,1921.71
DSI,2017,11,1938.73
DSI,2017,12,1949.57
DSI,2018,1,1952.06
DSI,2018,2,1943.45
DSI,2018,3,1952.74
DSI,2018,4,1938.87
DSI,2018,5,1878.94
DSI,2018,6,1844.21
DSI,2018,7,1864.46
DSI,2018,8,1901.48
DSI,2018,9,1933.96
DSI,2018,10,1965.15
DSI,2018,11,1954.53
DSI,2018,12,1951.79
