site,year,month,value
DRP,2006,3,1718.29
DRP,2006,4,1715.57
DRP,2006,5,1718.32
DRP,2006,6,1724.81
DRP,2006,7,1733.44
DRP,2006,8,1737.41
DRP,2006,9,1738.36
DRP,2006,10,1740.12
DRP,2006,11,1735.86
DRP,2006,12,1727.49
DRP,2007,1,1719.73
DRP,2007,2,1713.59
DRP,2007,3,1712.24
DRP,2007,4,1717.76
DRP,2007,5,1727.26
DRP,2007,6,1735.62
DRP,2007,7,1744.30
DRP,2007,8,1748.53
DRP,2007,9,1748.65
DRP,2007,10,1747.60
DRP,2007,11,1743.46
DRP,2007,12,1735.71
DRP,2008,1,1726.83
DRP,2008,2,1721.83
DRP,2008,3,1722.80
DRP,2008,4,1728.29
DRP,2008,5,1733.88
DRP,2008,6,1741.02
DRP,2008,7,1749.41
DRP,2008,8,1753.08
DRP,2008,9,1754.16
DRP,2008,10,1753.60
DRP,2008,11,1747.82
DRP,2008,12,1739.29
DRP,2009,1,1731.69
DRP,2009,2,1725.26
DRP,2009,3,1724.37
DRP,2009,4,1730.98
DRP,2009,5,1737.40
DRP,2009,6,1744.63
DRP,2009,7,1753.34
DRP,2009,8,1757.56
DRP,2009,9,1758.64
DRP,2009,10,1758.77
DRP,2009,11,1754.26
DRP,2009,12,1746.27
DRP,2010,1,1738.48
DRP,2010,2,1732.64
DRP,2010,3,1732.79
DRP,2010,4,1737.40
DRP,2010,5,1742.66
DRP,2010,6,1750.32
DRP,2010,7,1758.48
DRP,2010,8,1763.63
DRP,2010,9,1765.47
DRP,2010,10,1765.60
DRP,2010,11,1760.59
DRP,2010,12,1751.55
DRP,2011,1,1744.16
DRP,2011,2,1740.93
DRP,2011,3,1742.69
DRP,2011,4,1745.32
DRP,2011,5,1749.44
DRP,2011,6,1757.98
DRP,2011,7,1765.70
DRP,2011,8,1772.93
DRP,2011,9,1776.88
DRP,2011,10,1773.45
DRP,2011,11,1766.20
DRP,2011,12,1758.87
DRP,2012,1,1750.29
DRP,2012,2,1742.85
DRP,2012,3,1742.13
DRP,2012,4,1748.30
DRP,2012,5,1754.48
DRP,2012,6,1761.20
DRP,2012,7,1770.89
DRP,2012,8,1775.60
DRP,2012,9,1776.75
DRP,2012,10,1776.57
DRP,2012,11,1770.88
DRP,2012,12,1760.98
DRP,2013,1,1752.26
DRP,2013,2,1747.66
DRP,2013,3,1747.52
DRP,2013,4,1752.65
DRP,2013,5,1759.02
DRP,2013,6,1766.96
DRP,2013,7,1777.37
DRP,2013,8,1781.94
DRP,2013,9,1781.38
DRP,2013,10,1778.27
DRP,2013,11,1773.31
DRP,2013,12,1765.99
DRP,2014,1,1757.81
DRP,2014,2,1751.65
DRP,2014,3,1754.04
DRP,2014,4,1765.34
DRP,2014,5,1771.31
DRP,2014,6,1776.49
DRP,2014,7,1784.95
DRP,2014,8,1790.81
DRP,2014,9,1793.94
DRP,2014,10,1791.91
DRP,2014,11,1787.00
DRP,2014,12,1780.45
DRP,2015,1,1772.42
DRP,2015,2,1766.03
DRP,2015,3,1766.69
DRP,2015,4,1773.36
DRP,2015,5,1777.99
DRP,2015,6,1785.06
DRP,2015,10,1801.37
DRP,2015,11,1795.55
DRP,2015,12,1787.34
DRP,2016,1,1780.72
DRP,2016,2,1775.04
DRP,2016,3,1774.64
DRP,2016,4,1779.52
DRP,2016,5,1786.67
DRP,2016,6,1795.07
DRP,2016,7,1801.63
DRP,2016,8,1804.72
DRP,2016,9,1806.30
DRP,2016,10,1805.78
DRP,2016,11,1800.68
DRP,2016,12,1793.50
DRP,2017,1,1783.55
DRP,2017,2,1776.08
DRP,2017,3,1778.75
DRP,2017,4,1786.61
DRP,2017,5,1791.94
DRP,2017,6,1799.12
DRP,2017,7,1810.10
DRP,2018,2,1788.73
DRP,2018,3,1788.77
DRP,2018,4,1796.39
DRP,2018,5,1805.58
DRP,2018,10,1826.50
DRP,2018,11,1820.24
DRP,2018,12,1812.16
