site,year,month,value
GOZ,1993,10,1797.10
GOZ,1993,11,1802.97
GOZ,1993,12,1811.18
GOZ,1994,1,1820.97
GOZ,1994,2,1822.37
GOZ,1994,3,1827.05
GOZ,1994,4,1827.98
GOZ,1994,5,1812.89
GOZ,1994,6,1822.11
GOZ,1994,7,1834.34
GOZ,1994,8,1809.22
GOZ,1994,9,1801.65
GOZ,1994,10,1817.36
GOZ,1994,11,1824.03
GOZ,1994,12,1829.75
GOZ,1995,1,1831.58
GOZ,1995,2,1826.92
GOZ,1995,3,1829.51
GOZ,1995,4,1844.49
GOZ,1995,5,1845.57
GOZ,1995,6,1832.18
GOZ,1995,7,1816.41
GOZ,1995,8,1793.81
GOZ,1995,9,1798.67
GOZ,1995,10,1821.25
GOZ,1995,11,1828.50
GOZ,1995,12,1835.43
GOZ,1996,1,1837.29
GOZ,1996,2,1839.44
GOZ,1996,3,1845.51
GOZ,1996,4,1844.18
GOZ,1996,5,1845.34
GOZ,1996,6,1839.65
GOZ,1996,7,1822.97
GOZ,1996,8,1813.46
GOZ,1996,9,1802.50
GOZ,1996,10,1808.94
GOZ,1996,11,1828.28
GOZ,1996,12,1843.77
GOZ,1997,1,1843.43
GOZ,1997,2,1838.20
