site,year,month,value
HBA,1983,1,1560.30
HBA,1983,2,1556.11
HBA,1983,3,1555.76
HBA,1983,4,1560.27
HBA,1983,5,1570.27
HBA,1983,6,1581.81
HBA,1983,7,1590.36
HBA,1983,8,1594.93
HBA,1983,9,1597.04
HBA,1983,10,1597.67
HBA,1983,11,1594.62
HBA,1983,12,1588.65
HBA,1984,1,1579.73
HBA,1984,2,1575.53
HBA,1984,3,1576.95
HBA,1984,8,1610.07
HBA,1984,9,1612.73
HBA,1984,10,1611.24
HBA,1984,11,1606.86
HBA,1984,12,1599.19
HBA,1985,1,1590.97
HBA,1985,2,1589.44
HBA,1985,6,1606.86
HBA,1985,7,1611.72
HBA,1985,8,1617.00
HBA,1985,9,1623.44
HBA,1985,10,1625.41
HBA,1985,11,1621.73
HBA,1985,12,1613.51
HBA,1986,1,1600.58
HBA,1986,2,1591.21
HBA,1986,3,1592.64
HBA,1986,4,1599.12
HBA,1986,5,1603.45
HBA,1986,6,1613.88
HBA,1986,7,1626.26
HBA,1986,8,1630.25
HBA,1986,9,1631.95
HBA,1986,10,1633.23
HBA,1986,11,1630.94
HBA,1986,12,1621.63
HBA,1987,1,1609.38
HBA,1987,2,1604.36
HBA,1987,3,1607.68
HBA,1987,4,1614.38
HBA,1987,5,1620.85
HBA,1987,6,1632.47
HBA,1987,7,1640.38
HBA,1987,8,1641.76
HBA,1988,1,1629.67
HBA,1988,2,1624.69
HBA,1988,3,1625.46
HBA,1988,4,1629.45
HBA,1988,5,1637.04
HBA,1988,6,1645.67
HBA,1988,7,1651.83
HBA,1988,8,1657.41
HBA,1988,9,1661.02
HBA,1988,10,1660.20
HBA,1988,11,1655.67
HBA,1988,12,1649.33
HBA,1989,1,1641.26
HBA,1989,2,1635.91
HBA,1989,3,1635.87
HBA,1989,4,1638.90
HBA,1989,5,1645.09
HBA,1989,6,1655.52
HBA,1989,7,1665.02
HBA,1989,11,1667.72
HBA,1989,12,1660.83
HBA,1990,1,1651.80
HBA,1990,2,1645.40
HBA,1990,6,1660.91
HBA,1990,7,1668.39
HBA,1990,8,1674.85
HBA,1990,9,1679.32
HBA,1991,1,1661.07
HBA,1991,8,1680.88
HBA,1991,9,1686.98
HBA,1992,12,1689.27
HBA,1993,1,1683.06
HBA,1993,2,1676.46
HBA,1993,3,1672.11
HBA,1993,4,1676.41
HBA,1994,1,1681.85
HBA,1994,2,1675.62
HBA,1994,3,1675.81
HBA,1994,4,1680.01
HBA,1994,5,1686.56
HBA,1994,6,1694.82
HBA,1994,7,1699.20
HBA,1995,4,1686.04
HBA,1995,5,1691.26
HBA,1995,6,1698.96
HBA,1995,7,1704.47
HBA,1995,8,1709.27
HBA,1995,9,1713.98
HBA,1995,10,1714.67
HBA,1995,11,1711.14
HBA,1995,12,1703.39
HBA,1996,1,1693.28
HBA,1996,2,1686.93
HBA,1996,3,1684.88
HBA,1996,4,1687.74
HBA,1996,5,1695.29
HBA,1996,6,1702.05
HBA,1996,7,1707.25
HBA,1996,8,1711.95
HBA,1996,9,1715.15
HBA,1996,10,1714.20
HBA,1996,11,1709.24
HBA,1996,12,1701.24
HBA,1997,1,1693.91
HBA,1997,2,1690.29
HBA,1997,3,1691.04
HBA,1997,4,1695.85
HBA,1997,5,1701.94
HBA,1997,6,1709.31
HBA,1997,7,1715.85
HBA,1997,8,1720.52
HBA,1997,9,1722.18
HBA,1997,10,1719.66
HBA,1997,11,1715.74
HBA,1997,12,1710.00
HBA,1998,1,1703.64
HBA,1998,2,1698.69
HBA,1998,3,1696.98
HBA,1998,4,1700.09
HBA,1998,5,1706.19
HBA,1998,6,1715.05
HBA,1998,7,1722.79
HBA,1998,8,1728.27
HBA,1998,9,1731.38
HBA,1998,10,1732.11
HBA,1998,11,1728.35
HBA,1998,12,1720.99
HBA,1999,1,1714.00
HBA,1999,2,1708.40
HBA,1999,3,1708.05
HBA,1999,4,1712.92
HBA,1999,5,1720.45
HBA,1999,6,1727.94
HBA,1999,7,1732.87
HBA,1999,8,1737.77
HBA,1999,9,1741.06
HBA,1999,10,1740.67
HBA,1999,11,1735.61
HBA,1999,12,1727.92
HBA,2000,1,1719.11
HBA,2000,2,1711.29
HBA,2000,3,1709.80
HBA,2000,4,1713.10
HBA,2000,5,1720.23
HBA,2000,6,1728.37
HBA,2000,7,1734.83
HBA,2000,8,1739.99
HBA,2000,9,1741.74
HBA,2000,10,1739.43
HBA,2000,11,1734.12
HBA,2000,12,1727.07
HBA,2001,1,1717.48
HBA,2001,2,1710.71
HBA,2001,3,1709.30
HBA,2001,4,1712.33
HBA,2001,5,1720.08
HBA,2001,6,1727.79
HBA,2001,7,1734.22
HBA,2001,8,1739.21
HBA,2001,9,1741.30
HBA,2001,10,1739.33
HBA,2001,11,1733.97
HBA,2001,12,1725.51
HBA,2002,1,1715.75
HBA,2002,2,1710.37
HBA,2002,3,1710.00
HBA,2002,4,1714.34
HBA,2002,5,1721.70
HBA,2002,6,1728.53
HBA,2002,7,1733.99
HBA,2002,8,1739.33
HBA,2002,9,1743.26
HBA,2002,10,1741.27
