site,year,month,value
HUN,1993,3,1906.29
HUN,1993,4,1870.13
HUN,1993,5,1863.33
HUN,1993,6,1841.70
HUN,1993,7,1834.55
HUN,1993,8,1848.00
HUN,1993,9,1864.29
HUN,1993,10,1903.28
HUN,1993,11,1936.29
HUN,1993,12,1892.06
HUN,1994,1,1884.08
HUN,1994,2,1893.55
HUN,1994,3,1862.70
HUN,1994,4,1859.83
HUN,1994,5,1852.01
HUN,1994,6,1841.95
HUN,1994,7,1851.80
HUN,1994,8,1850.72
HUN,1994,9,1864.14
HUN,1994,10,1908.04
HUN,1994,11,1936.42
HUN,1994,12,1912.22
HUN,1995,1,1884.01
HUN,1995,2,1886.12
HUN,1995,3,1878.37
HUN,1995,4,1876.78
HUN,1995,5,1882.06
HUN,1995,6,1860.35
HUN,1995,7,1857.63
HUN,1995,8,1872.86
HUN,1995,9,1908.88
HUN,1995,10,1945.88
HUN,1995,11,1938.29
HUN,1995,12,1940.62
HUN,1996,1,1940.81
HUN,1996,2,1924.02
HUN,1996,3,1940.64
HUN,1996,4,1909.29
HUN,1996,5,1869.12
HUN,1996,6,1877.91
HUN,1996,7,1857.62
HUN,1996,8,1857.96
HUN,1996,9,1912.30
HUN,1996,10,1926.21
HUN,1996,11,1897.41
HUN,1996,12,1934.92
HUN,1997,1,1978.09
HUN,1997,2,1945.18
HUN,1997,3,1885.42
HUN,1997,4,1855.91
HUN,1997,5,1859.64
HUN,1997,6,1860.80
HUN,1997,7,1871.25
HUN,1997,8,1908.36
HUN,1997,9,1890.10
HUN,1997,10,1862.48
HUN,1997,11,1901.73
HUN,1997,12,1947.07
HUN,1998,1,1924.88
HUN,1998,2,1899.04
HUN,1998,3,1895.04
HUN,1998,4,1890.59
HUN,1998,5,1873.17
HUN,1998,6,1874.65
HUN,1998,7,1885.97
HUN,1998,8,1901.62
HUN,1998,9,1926.36
HUN,1998,10,1941.20
HUN,1998,11,1961.12
HUN,1998,12,1955.80
HUN,1999,1,1960.51
HUN,1999,2,1972.65
HUN,1999,3,1940.08
HUN,1999,4,1908.10
HUN,1999,5,1894.66
HUN,1999,6,1879.71
HUN,1999,7,1881.87
HUN,1999,8,1885.38
HUN,1999,9,1879.52
HUN,1999,10,1905.93
HUN,1999,11,1954.88
HUN,1999,12,1936.57
HUN,2000,1,1913.76
HUN,2000,2,1901.90
HUN,2000,3,1880.00
HUN,2000,4,1879.48
HUN,2000,5,1881.41
HUN,2000,6,1881.65
HUN,2000,7,1867.18
HUN,2000,8,1861.80
HUN,2000,9,1910.69
HUN,2000,10,1891.35
HUN,2000,11,1898.74
HUN,2000,12,1984.36
HUN,2001,1,1966.55
HUN,2001,2,1925.97
HUN,2001,3,1921.15
HUN,2001,4,1897.07
HUN,2001,5,1880.94
HUN,2001,6,1880.77
HUN,2001,7,1874.24
HUN,2001,8,1872.99
HUN,2001,9,1901.47
HUN,2001,10,1929.30
HUN,2001,11,1946.10
HUN,2001,12,1958.08
HUN,2002,1,1949.11
HUN,2002,2,1930.22
HUN,2002,3,1932.05
HUN,2002,4,1914.95
HUN,2002,5,1869.34
HUN,2002,6,1852.85
HUN,2002,7,1871.02
HUN,2002,8,1903.57
HUN,2002,9,1914.71
