site,year,month,value
MEX,2009,1,1829.26
MEX,2009,2,1826.94
MEX,2009,3,1802.02
MEX,2009,4,1804.21
MEX,2009,5,1823.73
MEX,2009,6,1815.44
MEX,2009,7,1801.60
MEX,2009,8,1802.62
MEX,2009,9,1808.52
MEX,2009,10,1821.12
MEX,2009,11,1829.10
MEX,2009,12,1831.43
MEX,2010,1,1834.38
MEX,2010,2,1820.78
MEX,2010,3,1810.55
MEX,2010,4,1811.48
MEX,2010,5,1813.91
MEX,2010,6,1811.33
MEX,2010,7,1810.42
MEX,2010,8,1808.55
MEX,2010,9,1808.48
MEX,2010,10,1824.78
MEX,2010,11,1841.30
MEX,2010,12,1821.85
MEX,2011,1,1805.61
MEX,2011,2,1816.93
MEX,2011,3,1818.96
MEX,2011,4,1820.77
MEX,2011,5,1829.39
MEX,2011,6,1819.99
MEX,2011,7,1810.79
MEX,2011,8,1813.41
MEX,2011,9,1827.25
MEX,2011,10,1839.21
MEX,2011,11,1840.97
MEX,2011,12,1838.74
MEX,2012,1,1821.90
MEX,2012,2,1817.59
MEX,2012,3,1822.83
MEX,2012,4,1828.02
MEX,2012,5,1833.17
MEX,2012,6,1818.23
MEX,2012,7,1812.49
MEX,2012,8,1825.70
MEX,2012,9,1829.86
MEX,2012,10,1832.38
MEX,2012,11,1833.38
MEX,2012,12,1834.77
MEX,2013,1,1835.51
MEX,2013,2,1825.53
MEX,2013,3,1831.26
MEX,2013,4,1844.58
MEX,2013,5,1840.18
MEX,2013,6,1825.89
MEX,2013,7,1821.64
MEX,2013,8,1826.07
MEX,2013,9,1837.47
MEX,2013,10,1855.32
MEX,2013,11,1851.98
MEX,2013,12,1844.96
MEX,2014,1,1847.52
MEX,2014,2,1837.83
MEX,2014,3,1829.76
MEX,2014,4,1841.54
MEX,2014,5,1851.54
MEX,2014,6,1836.37
MEX,2014,7,1831.53
MEX,2014,8,1836.28
MEX,2014,9,1838.81
MEX,2014,10,1847.72
MEX,2014,11,1854.73
MEX,2014,12,1865.48
MEX,2015,1,1863.68
MEX,2015,2,1842.08
MEX,2015,3,1837.42
MEX,2015,4,1840.78
MEX,2015,5,1841.31
MEX,2015,6,1841.17
MEX,2015,7,1842.39
MEX,2015,8,1842.51
MEX,2015,9,1846.34
MEX,2015,10,1852.57
MEX,2015,11,1859.29
MEX,2015,12,1861.10
MEX,2016,1,1865.13
MEX,2016,2,1859.97
MEX,2016,3,1849.66
MEX,2016,4,1851.48
MEX,2016,5,1856.36
MEX,2016,6,1855.26
MEX,2016,7,1844.61
MEX,2016,8,1840.72
MEX,2016,9,1854.60
MEX,2016,10,1876.82
MEX,2016,11,1875.82
MEX,2016,12,1863.70
MEX,2017,1,1866.17
MEX,2017,2,1865.50
MEX,2017,3,1863.83
MEX,2017,4,1865.89
MEX,2017,5,1866.66
MEX,2017,6,1862.82
MEX,2017,7,1853.17
MEX,2017,8,1850.50
MEX,2017,9,1869.59
MEX,2017,10,1888.86
MEX,2017,11,1878.47
MEX,2017,12,1867.25
MEX,2018,1,1877.61
MEX,2018,2,1877.00
MEX,2018,3,1868.22
MEX,2018,4,1878.85
MEX,2018,5,1884.59
MEX,2018,6,1871.48
MEX,2018,7,1866.24
MEX,2018,8,1869.49
MEX,2018,9,1875.30
MEX,2018,10,1887.52
MEX,2018,11,1894.38
MEX,2018,12,1888.11
