site,year,month,value
HPB,2006,4,1886.09
HPB,2006,5,1866.16
HPB,2006,6,1876.43
HPB,2006,7,1884.96
HPB,2006,8,1881.43
HPB,2006,9,1901.61
HPB,2006,10,1901.02
HPB,2006,11,1883.80
HPB,2006,12,1881.25
HPB,2007,1,1885.28
HPB,2007,2,1901.85
HPB,2007,3,1913.16
HPB,2007,4,1899.75
HPB,2007,5,1884.70
HPB,2007,6,1862.90
HPB,2007,7,1873.50
HPB,2007,8,1912.32
HPB,2007,9,1926.45
HPB,2007,10,1931.48
HPB,2007,11,1907.56
HPB,2007,12,1897.91
HPB,2008,1,1916.32
HPB,2008,2,1919.62
HPB,2008,3,1915.12
HPB,2008,4,1905.47
HPB,2008,5,1884.76
HPB,2008,6,1879.42
HPB,2008,7,1883.39
HPB,2008,8,1895.93
HPB,2008,9,1907.85
HPB,2008,10,1887.31
HPB,2008,11,1915.51
HPB,2008,12,1950.33
HPB,2009,1,1933.38
HPB,2009,2,1917.44
HPB,2009,3,1910.88
HPB,2009,4,1920.31
HPB,2009,5,1904.35
HPB,2009,6,1883.42
HPB,2009,7,1878.14
HPB,2009,8,1900.86
HPB,2009,9,1943.61
HPB,2009,10,1932.38
HPB,2009,11,1908.88
HPB,2009,12,1915.36
HPB,2010,1,1952.94
HPB,2010,2,1960.30
HPB,2010,3,1915.02
HPB,2010,4,1901.63
HPB,2010,5,1921.49
HPB,2010,6,1930.55
HPB,2010,7,1904.51
HPB,2010,8,1888.69
HPB,2010,9,1917.94
HPB,2010,10,1953.17
HPB,2010,11,1965.31
HPB,2010,12,1927.46
HPB,2011,1,1957.96
HPB,2011,2,2011.28
HPB,2011,3,1946.82
HPB,2011,4,1908.88
HPB,2011,5,1912.44
HPB,2011,6,1899.46
HPB,2011,7,1915.74
HPB,2011,8,1910.42
HPB,2011,9,1911.88
HPB,2011,10,1991.72
HPB,2011,11,2008.49
HPB,2011,12,1931.10
HPB,2012,1,1963.27
HPB,2012,2,1985.08
HPB,2012,3,1925.96
HPB,2012,4,1906.55
HPB,2012,5,1894.75
HPB,2012,6,1894.57
HPB,2012,7,1901.69
HPB,2012,8,1907.71
HPB,2012,9,1927.71
HPB,2012,10,1938.74
HPB,2012,11,1936.24
HPB,2012,12,1927.42
HPB,2013,1,1959.24
HPB,2013,2,1991.49
HPB,2013,3,1990.23
HPB,2013,4,1976.61
HPB,2013,5,1931.67
HPB,2013,6,1905.05
HPB,2013,7,1915.16
HPB,2013,8,1915.69
HPB,2013,9,1932.19
HPB,2013,10,1942.87
HPB,2013,11,1931.94
HPB,2013,12,1924.57
HPB,2014,1,1915.45
HPB,2014,2,1928.46
HPB,2014,3,1944.05
HPB,2014,4,1937.76
HPB,2014,5,1930.31
HPB,2014,6,1922.02
HPB,2014,7,1913.67
HPB,2014,8,1932.55
HPB,2014,9,1960.33
HPB,2014,10,1960.02
HPB,2014,11,1975.47
HPB,2014,12,1973.17
HPB,2015,1,1938.77
HPB,2015,2,1944.31
HPB,2015,3,1950.49
HPB,2015,4,1936.52
HPB,2015,5,1935.64
HPB,2015,6,1931.07
HPB,2015,7,1926.62
HPB,2015,8,1942.27
HPB,2015,9,1953.77
HPB,2015,10,1948.75
HPB,2015,11,1929.58
HPB,2015,12,1942.25
HPB,2016,1,1952.39
HPB,2016,2,1954.63
HPB,2016,3,1974.47
HPB,2016,4,1975.38
HPB,2016,5,1961.47
HPB,2016,6,1948.16
HPB,2016,7,1955.70
HPB,2016,8,1962.15
HPB,2016,9,1967.00
HPB,2016,10,1985.89
HPB,2016,11,1974.58
HPB,2016,12,1969.72
HPB,2017,1,1984.31
HPB,2017,2,1971.35
HPB,2017,3,1956.57
HPB,2017,4,1959.52
HPB,2017,5,1956.46
HPB,2017,6,1937.27
HPB,2017,7,1938.99
HPB,2017,8,1970.67
HPB,2017,9,1981.06
HPB,2017,10,1968.52
HPB,2017,11,1967.77
HPB,2017,12,1975.76
HPB,2018,1,1970.11
HPB,2018,2,1982.64
HPB,2018,3,1991.97
HPB,2018,4,1978.59
HPB,2018,5,1971.13
HPB,2018,6,1965.44
HPB,2018,7,1972.86
HPB,2018,8,1971.02
HPB,2018,9,1984.91
HPB,2018,10,2027.87
HPB,2018,11,2027.43
HPB,2018,12,1995.24
