site,year,month,value
IZO,1991,11,1776.37
IZO,1991,12,1778.36
IZO,1992,1,1774.13
IZO,1992,2,1771.16
IZO,1992,3,1776.79
IZO,1992,4,1773.08
IZO,1992,5,1770.03
IZO,1992,6,1766.81
IZO,1992,7,1752.47
IZO,1992,8,1751.35
IZO,1992,9,1761.54
IZO,1992,10,1770.37
IZO,1992,11,1771.73
IZO,1992,12,1774.90
IZO,1993,1,1778.08
IZO,1993,2,1782.90
IZO,1993,3,1783.92
IZO,1993,4,1783.18
IZO,1993,5,1777.47
IZO,1993,6,1752.75
IZO,1993,7,1740.51
IZO,1993,8,1754.80
IZO,1993,9,1773.02
IZO,1993,10,1782.29
IZO,1993,11,1792.97
IZO,1993,12,1798.77
IZO,1994,1,1797.57
IZO,1994,2,1785.36
IZO,1994,3,1769.11
IZO,1994,4,1768.50
IZO,1994,5,1780.40
IZO,1994,6,1771.31
IZO,1994,7,1753.04
IZO,1994,8,1755.14
IZO,1994,9,1759.43
IZO,1994,10,1770.82
IZO,1994,11,1780.70
IZO,1994,12,1780.52
IZO,1995,1,1784.17
IZO,1995,2,1791.14
IZO,1995,3,1794.69
IZO,1995,4,1780.95
IZO,1995,5,1763.66
IZO,1995,6,1767.01
IZO,1995,7,1768.74
IZO,1995,8,1765.18
IZO,1995,9,1775.01
IZO,1995,10,1780.08
IZO,1995,11,1783.16
IZO,1995,12,1795.48
IZO,1996,1,1802.39
IZO,1996,2,1803.21
IZO,1996,3,1793.06
IZO,1996,4,1785.83
IZO,1996,5,1783.02
IZO,1996,6,1769.10
IZO,1996,7,1762.25
IZO,1996,8,1770.76
IZO,1996,9,1779.01
IZO,1996,10,1782.19
IZO,1996,11,1786.96
IZO,1996,12,1789.68
IZO,1997,1,1786.61
IZO,1997,2,1788.64
IZO,1997,3,1800.77
IZO,1997,4,1789.90
IZO,1997,5,1778.87
IZO,1997,6,1788.02
IZO,1997,7,1778.63
IZO,1997,8,1761.13
IZO,1997,9,1772.06
IZO,1997,10,1792.89
IZO,1997,11,1799.36
IZO,1997,12,1796.33
IZO,1998,1,1789.55
IZO,1998,2,1802.47
IZO,1998,3,1814.54
IZO,1998,4,1805.28
IZO,1998,5,1806.44
IZO,1998,6,1807.48
IZO,1998,7,1790.17
IZO,1998,8,1780.36
IZO,1998,9,1788.50
IZO,1998,10,1794.35
IZO,1998,11,1814.40
IZO,1998,12,1829.20
IZO,1999,1,1819.20
IZO,1999,2,1816.45
IZO,1999,3,1818.68
IZO,1999,4,1809.14
IZO,1999,5,1791.28
IZO,1999,6,1784.08
IZO,1999,7,1783.97
IZO,1999,8,1785.63
IZO,1999,9,1793.02
IZO,1999,10,1808.19
IZO,1999,11,1815.63
IZO,1999,12,1811.12
IZO,2000,1,1810.54
IZO,2000,2,1804.47
IZO,2000,3,1801.44
IZO,2000,4,1813.86
IZO,2000,5,1807.38
IZO,2000,6,1787.03
IZO,2000,7,1783.92
IZO,2000,8,1791.99
