site,year,month,value
KEY,1983,10,1678.61
KEY,1983,11,1689.10
KEY,1983,12,1685.66
KEY,1984,1,1703.06
KEY,1984,2,1692.05
KEY,1984,3,1670.82
KEY,1984,4,1683.83
KEY,1984,5,1688.12
KEY,1984,6,1674.72
KEY,1984,7,1664.21
KEY,1984,8,1670.31
KEY,1984,9,1691.85
KEY,1984,10,1704.96
KEY,1984,11,1703.23
KEY,1984,12,1702.53
KEY,1985,1,1716.64
KEY,1985,2,1708.95
KEY,1985,3,1699.91
KEY,1985,4,1713.35
KEY,1985,5,1709.17
KEY,1985,6,1682.84
KEY,1985,7,1664.71
KEY,1985,8,1667.75
KEY,1985,9,1684.79
KEY,1985,10,1703.29
KEY,1985,11,1712.13
KEY,1985,12,1723.58
KEY,1986,1,1727.55
KEY,1986,2,1724.08
KEY,1986,3,1734.92
KEY,1986,4,1742.78
KEY,1986,5,1716.19
KEY,1986,6,1686.96
KEY,1986,7,1679.50
KEY,1986,8,1674.98
KEY,1986,9,1690.09
KEY,1986,10,1717.90
KEY,1986,11,1716.99
KEY,1986,12,1727.07
KEY,1987,1,1737.33
KEY,1987,2,1739.23
KEY,1987,3,1742.83
KEY,1987,4,1736.27
KEY,1987,5,1712.90
KEY,1987,6,1693.65
KEY,1987,7,1695.27
KEY,1987,8,1702.62
KEY,1987,9,1732.46
KEY,1987,10,1754.42
KEY,1987,11,1738.99
KEY,1987,12,1738.53
KEY,1988,1,1754.67
KEY,1988,2,1742.93
KEY,1988,3,1734.32
KEY,1988,4,1744.10
KEY,1988,5,1739.35
KEY,1988,6,1725.93
KEY,1988,7,1714.99
KEY,1988,8,1704.93
KEY,1988,9,1732.74
KEY,1988,10,1767.37
KEY,1988,11,1767.40
KEY,1988,12,1760.65
KEY,1989,1,1749.62
KEY,1989,2,1738.78
KEY,1989,3,1738.52
KEY,1989,4,1751.80
KEY,1989,5,1752.37
KEY,1989,6,1722.79
KEY,1989,7,1712.11
KEY,1989,8,1712.27
KEY,1989,9,1728.30
KEY,1989,10,1756.15
KEY,1989,11,1774.12
KEY,1989,12,1774.13
KEY,1990,1,1766.22
KEY,1990,2,1763.00
KEY,1990,3,1767.13
KEY,1990,4,1776.34
KEY,1990,5,1764.81
KEY,1990,6,1747.07
KEY,1990,7,1746.99
KEY,1990,8,1738.75
KEY,1990,9,1741.04
KEY,1990,10,1780.02
KEY,1990,11,1797.05
KEY,1990,12,1777.15
KEY,1991,1,1769.06
KEY,1991,2,1775.57
KEY,1991,3,1776.52
KEY,1991,4,1764.13
KEY,1991,5,1745.85
KEY,1991,6,1735.21
KEY,1991,7,1726.62
KEY,1991,8,1733.79
KEY,1991,9,1751.43
KEY,1991,10,1764.07
KEY,1991,11,1782.40
KEY,1991,12,1799.26
KEY,1992,1,1802.23
KEY,1992,2,1788.65
KEY,1992,3,1783.10
KEY,1992,4,1794.65
KEY,1992,5,1782.72
KEY,1992,6,1755.72
KEY,1992,7,1740.53
KEY,1992,8,1732.85
KEY,1992,9,1764.90
KEY,1992,10,1800.72
KEY,1992,11,1795.40
KEY,1992,12,1784.46
KEY,1993,1,1782.29
KEY,1993,2,1787.46
KEY,1993,3,1803.41
KEY,1993,4,1799.85
KEY,1993,5,1778.44
KEY,1993,6,1763.76
KEY,1993,7,1757.12
KEY,1993,8,1747.30
KEY,1993,9,1742.60
KEY,1993,10,1757.04
KEY,1993,11,1775.46
KEY,1993,12,1783.37
KEY,1994,1,1782.83
KEY,1994,2,1776.70
KEY,1994,3,1773.61
KEY,1994,4,1778.36
KEY,1994,5,1768.26
KEY,1994,6,1751.75
KEY,1994,7,1747.56
KEY,1994,8,1748.39
KEY,1994,9,1770.98
KEY,1994,10,1795.97
KEY,1994,11,1791.45
KEY,1994,12,1790.72
KEY,1995,1,1813.71
KEY,1995,2,1824.83
KEY,1995,3,1812.31
KEY,1995,4,1796.14
KEY,1995,5,1778.96
KEY,1995,6,1757.95
KEY,1995,7,1753.49
KEY,1995,8,1754.36
KEY,1995,9,1753.75
KEY,1995,10,1789.31
KEY,1995,11,1824.40
KEY,1995,12,1811.02
KEY,1996,1,1811.29
KEY,1996,2,1810.00
KEY,1996,3,1803.46
KEY,1996,4,1803.98
KEY,1996,5,1792.64
KEY,1996,6,1776.17
KEY,1996,7,1760.47
KEY,1996,8,1762.29
KEY,1996,9,1785.66
KEY,1996,10,1801.90
KEY,1996,11,1794.64
KEY,1996,12,1790.11
KEY,1997,1,1802.28
KEY,1997,2,1804.58
KEY,1997,3,1811.96
KEY,1997,4,1822.48
KEY,1997,5,1797.42
KEY,1997,6,1770.02
KEY,1997,7,1755.92
KEY,1997,8,1757.21
KEY,1997,9,1781.34
KEY,1997,10,1813.82
KEY,1997,11,1820.36
KEY,1997,12,1817.70
KEY,1998,1,1821.83
KEY,1998,2,1828.09
KEY,1998,3,1823.16
KEY,1998,4,1807.74
KEY,1998,5,1797.36
KEY,1998,6,1799.74
KEY,1998,7,1796.36
KEY,1998,8,1782.97
KEY,1998,9,1801.89
KEY,1998,10,1835.78
KEY,1998,11,1830.18
KEY,1998,12,1815.08
KEY,1999,1,1832.18
KEY,1999,2,1841.68
KEY,1999,3,1823.79
KEY,1999,4,1808.92
KEY,1999,5,1819.20
KEY,1999,6,1807.30
KEY,1999,7,1792.63
KEY,1999,8,1809.23
KEY,1999,9,1801.70
KEY,1999,10,1804.11
KEY,1999,11,1828.35
KEY,1999,12,1823.24
KEY,2000,1,1830.81
KEY,2000,2,1840.59
KEY,2000,3,1825.97
KEY,2000,4,1834.44
KEY,2000,5,1823.50
KEY,2000,6,1786.26
KEY,2000,7,1778.43
KEY,2000,8,1776.30
KEY,2000,9,1785.13
KEY,2000,10,1817.70
KEY,2000,11,1842.03
KEY,2000,12,1851.59
KEY,2001,1,1844.58
KEY,2001,2,1838.13
KEY,2001,3,1835.81
KEY,2001,4,1824.96
KEY,2001,5,1802.61
KEY,2001,6,1780.17
KEY,2001,7,1775.70
KEY,2001,8,1768.38
KEY,2001,9,1775.74
KEY,2001,10,1811.09
KEY,2001,11,1834.82
KEY,2001,12,1846.01
KEY,2002,1,1850.79
KEY,2002,2,1833.59
KEY,2002,3,1819.50
KEY,2002,4,1814.89
KEY,2002,5,1804.70
KEY,2002,6,1788.37
KEY,2002,7,1780.16
KEY,2002,8,1773.43
KEY,2002,9,1780.11
KEY,2002,10,1806.63
KEY,2002,11,1813.25
KEY,2002,12,1827.94
KEY,2003,1,1858.51
KEY,2003,2,1841.86
KEY,2003,3,1826.46
KEY,2003,4,1839.85
KEY,2003,5,1817.71
KEY,2003,6,1789.53
KEY,2003,7,1776.70
KEY,2003,8,1787.56
KEY,2003,9,1815.72
KEY,2003,10,1848.59
KEY,2003,11,1862.84
KEY,2003,12,1853.11
KEY,2004,1,1852.77
KEY,2004,2,1843.03
KEY,2004,3,1848.15
KEY,2004,4,1856.39
KEY,2004,5,1819.64
KEY,2004,6,1782.37
KEY,2004,7,1778.56
KEY,2004,8,1772.09
KEY,2004,9,1783.98
KEY,2004,10,1826.71
KEY,2004,11,1831.11
KEY,2004,12,1833.59
KEY,2005,1,1860.06
KEY,2005,2,1848.84
KEY,2005,3,1832.01
KEY,2005,4,1844.21
KEY,2005,5,1825.00
KEY,2005,6,1790.24
KEY,2005,7,1793.58
KEY,2005,8,1804.49
KEY,2005,9,1794.53
KEY,2005,10,1800.63
KEY,2005,11,1855.09
KEY,2005,12,1877.32
KEY,2006,1,1856.17
KEY,2006,2,1841.64
KEY,2006,6,1784.61
KEY,2006,7,1781.29
KEY,2006,8,1778.55
KEY,2006,9,1814.43
KEY,2006,10,1835.58
KEY,2006,11,1817.05
KEY,2006,12,1825.60
KEY,2007,1,1840.73
KEY,2007,2,1846.15
KEY,2007,3,1850.07
KEY,2007,4,1849.89
KEY,2007,5,1843.15
KEY,2007,6,1825.17
KEY,2007,7,1800.45
KEY,2007,8,1791.59
KEY,2007,9,1802.02
KEY,2007,10,1815.47
KEY,2007,11,1828.50
KEY,2007,12,1845.95
KEY,2008,1,1858.09
KEY,2008,2,1837.69
KEY,2008,3,1831.81
KEY,2008,4,1851.48
KEY,2008,5,1833.80
KEY,2008,6,1794.79
KEY,2008,7,1789.02
KEY,2008,8,1798.24
KEY,2008,9,1806.00
KEY,2008,10,1842.12
KEY,2008,11,1875.60
KEY,2008,12,1857.14
KEY,2009,1,1854.40
KEY,2009,2,1872.31
KEY,2009,3,1859.25
KEY,2009,4,1845.53
KEY,2009,5,1828.89
KEY,2009,6,1805.40
KEY,2009,7,1801.40
KEY,2009,8,1800.79
KEY,2009,9,1802.58
KEY,2009,10,1832.19
KEY,2009,11,1839.50
KEY,2009,12,1857.25
KEY,2010,1,1898.19
KEY,2010,2,1875.90
KEY,2010,3,1846.23
KEY,2010,4,1859.74
KEY,2010,5,1853.74
KEY,2010,6,1820.93
KEY,2010,7,1802.36
KEY,2010,8,1813.85
KEY,2010,9,1845.68
KEY,2010,10,1860.03
KEY,2010,11,1862.22
KEY,2010,12,1869.69
KEY,2011,1,1869.25
KEY,2011,2,1872.60
KEY,2011,3,1870.23
KEY,2011,4,1856.31
KEY,2011,5,1858.21
KEY,2011,6,1842.60
KEY,2011,7,1818.44
KEY,2011,8,1811.72
KEY,2011,9,1829.72
KEY,2011,10,1859.89
KEY,2011,11,1867.57
KEY,2011,12,1860.01
KEY,2012,1,1858.64
KEY,2012,2,1862.26
KEY,2012,3,1860.96
KEY,2012,4,1857.05
KEY,2012,5,1843.11
KEY,2012,6,1828.18
KEY,2012,7,1819.26
KEY,2012,8,1812.35
KEY,2012,9,1833.22
KEY,2012,10,1875.12
KEY,2012,11,1885.64
KEY,2012,12,1869.67
KEY,2013,1,1862.10
KEY,2013,2,1873.78
KEY,2013,3,1880.85
KEY,2013,4,1866.66
KEY,2013,5,1847.23
KEY,2013,6,1833.91
KEY,2013,7,1822.81
