site,year,month,value
LLB,2008,1,2153.20
LLB,2008,2,2120.86
LLB,2008,3,1992.59
LLB,2008,4,1893.04
LLB,2008,5,1885.82
LLB,2008,6,1872.18
LLB,2008,7,1874.03
LLB,2008,8,1894.71
LLB,2008,9,1923.52
LLB,2008,10,1971.07
LLB,2008,11,1974.79
LLB,2008,12,2030.39
LLB,2009,1,2040.01
LLB,2009,2,1981.96
LLB,2009,3,2003.64
LLB,2009,4,1974.35
LLB,2009,5,1882.17
LLB,2009,6,1859.08
LLB,2009,7,1868.09
LLB,2009,8,1877.13
LLB,2010,5,1876.49
LLB,2010,6,1858.51
LLB,2010,7,1884.11
LLB,2010,8,1918.05
LLB,2010,9,1906.86
LLB,2010,10,1919.58
LLB,2010,11,1919.45
LLB,2010,12,1886.75
LLB,2011,1,1877.11
LLB,2011,2,1935.14
LLB,2011,3,2002.32
LLB,2011,4,1936.37
LLB,2011,5,1899.92
LLB,2011,6,1892.34
LLB,2011,7,1928.34
LLB,2011,8,1970.54
LLB,2011,9,1912.37
LLB,2011,10,1900.16
LLB,2011,11,1944.52
LLB,2011,12,1973.72
LLB,2012,1,1976.37
LLB,2012,2,1959.29
LLB,2012,3,1924.90
LLB,2012,4,1904.74
LLB,2012,5,1884.96
LLB,2012,6,1945.81
LLB,2012,7,1985.80
LLB,2012,8,1910.75
LLB,2012,9,1939.43
LLB,2012,10,2047.31
LLB,2012,11,2017.99
LLB,2012,12,2034.43
LLB,2013,1,2163.57
LLB,2013,2,2111.83
