site,year,month,value
LMP,2006,10,1833.60
LMP,2006,11,1843.94
LMP,2006,12,1856.60
LMP,2007,1,1855.84
LMP,2007,2,1856.35
LMP,2007,3,1864.56
LMP,2007,4,1862.76
LMP,2007,5,1850.16
LMP,2007,6,1837.21
LMP,2007,7,1834.82
LMP,2007,8,1842.82
LMP,2007,9,1851.38
LMP,2007,10,1853.87
LMP,2007,11,1863.41
LMP,2007,12,1875.25
LMP,2008,1,1874.73
LMP,2008,2,1866.35
LMP,2008,3,1860.15
LMP,2008,4,1867.67
LMP,2008,5,1861.13
LMP,2008,6,1838.73
LMP,2008,7,1838.20
LMP,2008,8,1841.08
LMP,2008,9,1850.93
LMP,2008,10,1857.69
LMP,2008,11,1862.42
LMP,2008,12,1868.90
LMP,2009,1,1873.62
LMP,2009,2,1883.50
LMP,2009,3,1885.47
LMP,2009,4,1882.03
LMP,2009,5,1874.25
LMP,2009,6,1863.99
LMP,2009,7,1853.67
LMP,2009,8,1851.34
LMP,2009,9,1858.19
LMP,2009,10,1868.46
LMP,2009,11,1871.23
LMP,2009,12,1870.27
LMP,2010,1,1871.05
LMP,2010,2,1872.53
LMP,2010,3,1876.66
LMP,2010,4,1885.43
LMP,2010,5,1884.05
LMP,2010,6,1873.38
LMP,2010,7,1859.11
LMP,2010,8,1850.38
LMP,2010,9,1858.96
LMP,2010,10,1869.93
LMP,2010,11,1868.42
LMP,2010,12,1879.70
LMP,2011,1,1888.77
LMP,2011,2,1883.17
LMP,2011,3,1896.48
LMP,2011,4,1899.90
LMP,2011,5,1881.65
LMP,2011,6,1863.16
LMP,2011,7,1859.49
LMP,2011,8,1861.09
LMP,2011,9,1864.45
LMP,2011,10,1874.57
LMP,2011,11,1876.23
LMP,2011,12,1872.16
LMP,2012,1,1885.83
LMP,2012,2,1898.90
LMP,2012,3,1890.09
LMP,2012,4,1884.99
LMP,2012,5,1881.47
LMP,2012,6,1868.09
LMP,2012,7,1864.71
LMP,2012,8,1869.27
LMP,2012,9,1871.79
LMP,2012,10,1871.47
LMP,2012,11,1881.81
LMP,2012,12,1894.41
LMP,2013,1,1902.75
LMP,2013,2,1911.70
LMP,2013,3,1905.08
LMP,2013,4,1895.91
LMP,2013,5,1895.83
LMP,2013,6,1888.89
LMP,2013,7,1882.68
LMP,2013,8,1876.06
LMP,2013,9,1871.17
LMP,2013,10,1871.43
LMP,2013,11,1884.87
LMP,2013,12,1892.58
LMP,2014,1,1892.08
LMP,2014,2,1905.13
LMP,2014,3,1905.59
LMP,2014,4,1899.27
LMP,2014,5,1903.40
LMP,2014,6,1907.28
LMP,2014,7,1901.87
LMP,2014,8,1887.23
LMP,2014,9,1883.25
LMP,2014,10,1895.38
LMP,2014,11,1909.54
LMP,2014,12,1913.42
LMP,2015,1,1910.48
LMP,2015,2,1918.75
LMP,2015,3,1917.98
LMP,2015,4,1907.94
LMP,2015,5,1911.51
LMP,2015,6,1907.65
LMP,2015,7,1895.43
LMP,2015,8,1898.52
LMP,2015,9,1901.37
LMP,2015,10,1901.71
LMP,2015,11,1910.26
LMP,2015,12,1915.37
LMP,2016,1,1917.71
LMP,2016,2,1918.87
LMP,2016,3,1923.64
LMP,2016,4,1925.86
LMP,2016,5,1915.83
LMP,2016,6,1901.61
LMP,2016,7,1907.93
LMP,2016,8,1917.62
LMP,2016,9,1919.45
LMP,2016,10,1924.98
LMP,2016,11,1922.85
LMP,2016,12,1923.63
LMP,2017,1,1933.38
LMP,2017,2,1930.63
LMP,2017,3,1937.50
LMP,2017,4,1939.02
LMP,2017,5,1921.03
LMP,2017,6,1906.32
LMP,2017,7,1902.27
LMP,2017,8,1908.06
LMP,2017,9,1917.75
LMP,2017,10,1924.99
LMP,2017,11,1931.17
LMP,2017,12,1932.91
LMP,2018,1,1930.02
LMP,2018,2,1933.20
LMP,2018,3,1938.78
LMP,2018,4,1948.49
LMP,2018,5,1943.34
LMP,2018,6,1920.91
LMP,2018,7,1922.62
LMP,2018,8,1930.16
LMP,2018,9,1920.92
LMP,2018,10,1916.65
LMP,2018,11,1923.94
LMP,2018,12,1942.75
