site,year,month,value
LLN,2006,8,1803.59
LLN,2006,9,1839.90
LLN,2006,10,1856.92
LLN,2006,11,1822.38
LLN,2006,12,1809.87
LLN,2007,1,1813.82
LLN,2007,2,1825.70
LLN,2007,3,1836.33
LLN,2007,4,1829.22
LLN,2007,5,1810.78
LLN,2007,6,1788.26
LLN,2007,7,1784.13
LLN,2007,8,1807.08
LLN,2007,9,1818.85
LLN,2007,10,1818.55
LLN,2007,11,1820.72
LLN,2007,12,1825.61
LLN,2008,1,1827.71
LLN,2008,2,1834.90
LLN,2008,3,1834.72
LLN,2008,4,1827.01
LLN,2008,5,1824.15
LLN,2008,6,1797.65
LLN,2008,7,1779.71
LLN,2008,8,1798.12
LLN,2008,9,1819.41
LLN,2008,10,1826.10
LLN,2008,11,1829.29
LLN,2008,12,1838.37
LLN,2009,1,1838.07
LLN,2009,2,1830.44
LLN,2009,3,1842.45
LLN,2009,4,1859.68
LLN,2009,5,1848.62
LLN,2009,6,1808.32
LLN,2009,7,1784.30
LLN,2009,8,1814.91
LLN,2009,9,1855.51
LLN,2009,10,1847.99
LLN,2009,11,1837.96
LLN,2009,12,1843.98
LLN,2010,1,1836.89
LLN,2010,2,1835.17
LLN,2010,3,1841.51
LLN,2010,4,1833.60
LLN,2010,5,1843.30
LLN,2010,6,1823.01
LLN,2010,7,1793.05
LLN,2010,8,1802.16
LLN,2010,9,1816.69
LLN,2010,10,1838.10
LLN,2010,11,1842.63
LLN,2010,12,1837.92
LLN,2011,1,1847.69
LLN,2011,2,1859.22
LLN,2011,3,1867.63
LLN,2011,4,1860.87
LLN,2011,5,1825.35
LLN,2011,6,1803.27
LLN,2011,7,1813.34
LLN,2011,8,1833.47
LLN,2011,9,1843.63
LLN,2011,10,1843.97
LLN,2011,11,1840.43
LLN,2011,12,1844.63
LLN,2012,1,1849.57
LLN,2012,2,1851.25
LLN,2012,3,1859.74
LLN,2012,4,1847.29
LLN,2012,5,1837.02
LLN,2012,6,1830.15
LLN,2012,7,1801.72
LLN,2012,8,1806.90
LLN,2012,9,1851.59
LLN,2012,10,1882.23
LLN,2012,11,1874.43
LLN,2012,12,1872.34
LLN,2013,1,1854.07
LLN,2013,2,1842.73
LLN,2013,3,1863.36
LLN,2013,4,1860.73
LLN,2013,5,1829.41
LLN,2013,6,1805.63
LLN,2013,7,1802.55
LLN,2013,8,1831.46
LLN,2013,9,1857.42
LLN,2013,10,1865.07
LLN,2013,11,1868.96
LLN,2013,12,1879.94
LLN,2014,1,1881.43
LLN,2014,2,1878.18
LLN,2014,3,1879.43
LLN,2014,4,1875.83
LLN,2014,5,1867.69
LLN,2014,6,1843.89
LLN,2014,7,1826.90
LLN,2014,8,1844.72
LLN,2014,9,1862.85
LLN,2014,10,1877.82
LLN,2014,11,1887.48
LLN,2014,12,1883.29
LLN,2015,1,1884.40
LLN,2015,2,1891.06
LLN,2015,3,1880.86
LLN,2015,4,1868.35
LLN,2015,5,1847.22
LLN,2015,6,1829.08
LLN,2015,7,1845.93
LLN,2015,8,1878.30
LLN,2015,9,1897.24
LLN,2015,10,1901.65
LLN,2015,11,1901.45
LLN,2015,12,1885.58
LLN,2016,1,1888.25
LLN,2016,2,1903.46
LLN,2016,3,1900.10
LLN,2016,4,1888.43
LLN,2016,5,1863.96
LLN,2016,6,1832.25
LLN,2016,7,1832.78
LLN,2016,8,1885.94
LLN,2016,9,1909.27
LLN,2016,10,1869.93
LLN,2016,11,1871.03
LLN,2016,12,1888.71
LLN,2017,1,1887.22
LLN,2017,2,1900.48
LLN,2017,3,1897.83
LLN,2017,4,1887.82
LLN,2017,5,1878.48
LLN,2017,6,1847.86
LLN,2017,7,1842.04
LLN,2017,8,1855.77
LLN,2017,9,1864.26
LLN,2017,10,1888.94
LLN,2017,11,1903.61
LLN,2017,12,1895.95
LLN,2018,1,1898.71
LLN,2018,2,1920.32
LLN,2018,3,1931.05
LLN,2018,4,1914.16
LLN,2018,5,1876.60
LLN,2018,6,1859.59
LLN,2018,7,1860.55
LLN,2018,8,1879.08
LLN,2018,9,1907.96
LLN,2018,10,1926.39
LLN,2018,11,1908.08
LLN,2018,12,1905.30
