site,year,month,value
SEY,1983,5,1581.57
SEY,1983,6,1592.58
SEY,1983,7,1598.84
SEY,1983,8,1592.65
SEY,1983,9,1602.65
SEY,1983,10,1623.13
SEY,1983,11,1626.12
SEY,1983,12,1636.27
SEY,1984,1,1644.09
SEY,1984,7,1611.90
SEY,1984,8,1615.67
SEY,1984,9,1622.11
SEY,1984,10,1621.51
SEY,1984,11,1628.14
SEY,1984,12,1653.56
SEY,1985,1,1670.74
SEY,1985,2,1656.98
SEY,1985,3,1623.80
SEY,1985,4,1609.50
SEY,1985,5,1614.96
SEY,1985,6,1621.16
SEY,1985,7,1623.79
SEY,1985,8,1626.84
SEY,1985,9,1625.96
SEY,1985,10,1616.90
SEY,1985,11,1614.31
SEY,1985,12,1623.21
SEY,1986,1,1647.94
SEY,1986,2,1668.51
SEY,1986,3,1656.89
SEY,1986,4,1626.34
SEY,1986,5,1613.82
SEY,1986,6,1626.75
SEY,1986,7,1639.75
SEY,1986,8,1649.47
SEY,1986,9,1651.17
SEY,1986,10,1637.05
SEY,1986,11,1639.80
SEY,1986,12,1676.95
SEY,1987,1,1699.93
SEY,1987,2,1685.83
SEY,1987,3,1674.27
SEY,1987,4,1662.39
SEY,1987,10,1641.75
SEY,1987,11,1639.12
SEY,1987,12,1668.44
SEY,1988,1,1697.92
SEY,1988,2,1695.10
SEY,1988,3,1675.10
SEY,1988,4,1647.84
SEY,1988,5,1636.65
SEY,1988,12,1705.92
SEY,1989,1,1723.04
SEY,1989,8,1669.72
SEY,1989,9,1673.58
SEY,1989,10,1672.47
SEY,1989,11,1674.22
SEY,1989,12,1703.54
SEY,1990,1,1725.57
SEY,1990,2,1726.63
SEY,1990,3,1717.60
SEY,1990,4,1693.20
SEY,1990,5,1675.51
SEY,1990,6,1674.10
SEY,1990,7,1679.86
SEY,1990,8,1686.05
SEY,1990,9,1687.07
SEY,1990,10,1678.90
SEY,1990,11,1669.09
SEY,1990,12,1692.56
SEY,1991,1,1728.76
SEY,1991,2,1721.42
SEY,1991,3,1685.78
SEY,1991,4,1670.13
SEY,1991,5,1673.21
SEY,1991,6,1677.39
SEY,1991,7,1683.72
SEY,1991,8,1689.39
SEY,1991,9,1693.97
SEY,1991,10,1691.56
SEY,1991,11,1697.56
SEY,1991,12,1721.45
SEY,1992,1,1745.77
SEY,1992,2,1749.56
SEY,1992,3,1733.28
SEY,1992,4,1707.05
SEY,1992,5,1693.42
SEY,1992,6,1697.57
SEY,1992,7,1702.07
SEY,1992,8,1701.06
SEY,1992,9,1701.67
SEY,1992,10,1697.96
SEY,1992,11,1687.54
SEY,1992,12,1707.91
SEY,1993,1,1748.35
SEY,1993,2,1743.31
SEY,1993,3,1717.89
SEY,1993,4,1703.48
SEY,1993,5,1695.38
SEY,1993,6,1696.12
SEY,1993,7,1700.63
SEY,1993,8,1701.87
SEY,1993,9,1701.51
SEY,1993,10,1695.82
SEY,1993,11,1698.26
SEY,1993,12,1734.74
SEY,1994,1,1761.26
SEY,1994,2,1752.31
SEY,1994,3,1727.89
SEY,1994,4,1702.43
SEY,1994,5,1694.06
SEY,1994,6,1699.58
SEY,1994,7,1705.08
SEY,1994,8,1706.90
SEY,1994,9,1711.96
SEY,1994,10,1714.26
SEY,1994,11,1706.19
SEY,1994,12,1727.50
SEY,1995,1,1767.94
SEY,1995,2,1766.99
SEY,1995,3,1736.67
SEY,1995,4,1709.94
SEY,1995,5,1700.81
SEY,1995,6,1703.80
SEY,1995,7,1708.81
SEY,1995,8,1710.92
SEY,1995,9,1715.22
SEY,1995,10,1716.02
SEY,1995,11,1709.02
SEY,1995,12,1724.82
SEY,1996,1,1758.26
SEY,1996,2,1767.45
SEY,1996,3,1740.96
SEY,1996,4,1711.55
SEY,1996,5,1703.35
SEY,1996,6,1709.51
SEY,1996,7,1711.79
SEY,1996,8,1712.64
SEY,1996,9,1715.71
SEY,1997,1,1810.66
SEY,1997,2,1793.22
SEY,1997,3,1750.13
SEY,1997,4,1719.24
SEY,1997,5,1711.05
SEY,1997,6,1715.79
SEY,1997,7,1718.09
SEY,1997,8,1720.51
SEY,1997,9,1725.17
SEY,1997,10,1727.70
SEY,1997,11,1729.46
SEY,1997,12,1730.09
SEY,1998,1,1747.83
SEY,1998,2,1769.83
SEY,1998,3,1759.08
SEY,1998,4,1731.93
SEY,1998,5,1718.43
SEY,1998,6,1721.43
SEY,1998,7,1728.19
SEY,1998,8,1732.04
SEY,1998,9,1733.76
SEY,1998,10,1729.27
SEY,1998,11,1738.34
SEY,1998,12,1764.92
SEY,1999,1,1772.12
SEY,1999,2,1774.84
SEY,1999,3,1765.97
SEY,1999,4,1733.77
SEY,1999,5,1723.81
SEY,1999,6,1731.62
SEY,1999,7,1736.44
SEY,1999,8,1737.52
SEY,1999,9,1738.06
SEY,1999,10,1739.37
SEY,1999,11,1735.07
SEY,1999,12,1755.21
SEY,2000,1,1792.45
SEY,2000,2,1779.28
SEY,2000,3,1746.25
SEY,2000,4,1729.81
SEY,2000,5,1725.23
SEY,2000,6,1732.77
SEY,2000,7,1738.33
SEY,2000,8,1740.68
SEY,2000,9,1744.25
SEY,2000,10,1739.69
SEY,2000,11,1732.08
SEY,2000,12,1764.49
SEY,2001,1,1792.02
SEY,2001,2,1770.32
SEY,2001,3,1744.87
SEY,2001,4,1735.04
SEY,2001,5,1727.59
SEY,2001,6,1733.74
SEY,2001,7,1738.76
SEY,2001,8,1740.32
SEY,2001,9,1741.77
SEY,2001,10,1739.87
SEY,2001,11,1733.25
SEY,2001,12,1749.38
SEY,2002,1,1784.37
SEY,2002,2,1788.65
SEY,2002,3,1762.72
SEY,2002,4,1734.07
SEY,2002,5,1726.78
SEY,2002,6,1734.99
SEY,2002,7,1739.72
SEY,2002,8,1741.91
SEY,2002,9,1741.28
SEY,2002,10,1741.33
SEY,2002,11,1741.31
SEY,2002,12,1751.93
SEY,2003,1,1788.31
SEY,2003,2,1790.09
SEY,2003,3,1762.42
SEY,2003,4,1743.68
SEY,2003,5,1731.28
SEY,2003,6,1734.95
SEY,2003,7,1742.80
SEY,2003,8,1742.37
SEY,2003,9,1744.91
SEY,2003,10,1739.58
SEY,2003,11,1732.94
SEY,2003,12,1765.39
SEY,2004,1,1796.86
SEY,2004,2,1787.87
SEY,2004,3,1771.93
SEY,2004,4,1744.11
SEY,2004,5,1730.14
SEY,2004,6,1736.27
SEY,2004,7,1741.21
SEY,2004,8,1741.67
SEY,2004,9,1740.25
SEY,2004,10,1736.65
SEY,2004,11,1744.55
SEY,2004,12,1763.38
SEY,2005,1,1772.33
SEY,2005,2,1780.44
SEY,2005,3,1768.15
SEY,2005,4,1736.38
SEY,2005,5,1728.74
SEY,2005,6,1734.63
SEY,2005,7,1736.00
SEY,2005,8,1735.64
SEY,2005,9,1738.88
SEY,2005,10,1737.02
SEY,2005,11,1731.88
SEY,2005,12,1766.25
SEY,2006,1,1811.97
SEY,2006,2,1800.83
SEY,2006,3,1759.21
SEY,2006,4,1731.89
SEY,2006,5,1724.74
SEY,2006,6,1730.54
SEY,2006,7,1736.06
SEY,2006,8,1737.29
SEY,2006,9,1738.87
SEY,2006,10,1740.42
SEY,2006,11,1743.68
SEY,2006,12,1770.86
SEY,2007,1,1806.02
SEY,2007,2,1800.99
SEY,2007,3,1759.24
SEY,2007,4,1735.23
SEY,2007,5,1736.54
SEY,2007,6,1740.51
SEY,2007,7,1745.21
SEY,2007,8,1745.53
SEY,2007,9,1744.98
SEY,2007,10,1746.33
SEY,2007,11,1746.72
SEY,2007,12,1779.53
SEY,2008,1,1816.38
SEY,2008,2,1803.92
SEY,2008,3,1772.89
SEY,2008,4,1749.43
SEY,2008,5,1744.71
SEY,2008,6,1748.97
SEY,2008,7,1751.39
SEY,2008,8,1754.56
SEY,2008,9,1754.33
SEY,2008,10,1750.90
SEY,2008,11,1764.29
SEY,2008,12,1794.24
SEY,2009,1,1809.96
SEY,2009,2,1813.25
SEY,2009,3,1797.57
SEY,2009,4,1754.76
SEY,2009,5,1741.51
SEY,2009,6,1750.55
SEY,2009,7,1755.47
SEY,2009,8,1761.04
SEY,2009,9,1762.33
SEY,2009,10,1756.56
SEY,2009,11,1751.93
SEY,2009,12,1774.53
SEY,2010,1,1812.24
SEY,2010,2,1807.98
SEY,2010,3,1778.70
SEY,2010,4,1760.24
SEY,2010,5,1755.21
SEY,2010,6,1756.65
SEY,2010,7,1761.39
SEY,2010,8,1762.83
SEY,2010,9,1763.47
SEY,2010,10,1764.30
SEY,2010,11,1764.16
SEY,2010,12,1786.06
SEY,2011,1,1822.42
SEY,2011,2,1823.23
SEY,2011,3,1790.74
SEY,2011,4,1761.72
SEY,2011,5,1757.47
SEY,2011,6,1770.88
SEY,2011,7,1776.68
SEY,2011,8,1771.82
SEY,2011,9,1772.53
SEY,2011,10,1774.24
SEY,2011,11,1768.76
SEY,2011,12,1786.74
SEY,2012,1,1827.93
SEY,2012,2,1840.58
SEY,2012,3,1811.47
SEY,2012,4,1773.18
SEY,2012,5,1764.97
SEY,2012,6,1769.36
SEY,2012,7,1773.18
SEY,2012,8,1774.94
SEY,2012,9,1776.39
SEY,2012,10,1775.31
SEY,2012,11,1770.05
SEY,2012,12,1784.95
SEY,2013,1,1822.20
SEY,2013,2,1832.01
SEY,2013,3,1801.04
SEY,2013,4,1770.14
SEY,2013,5,1766.20
SEY,2013,6,1775.90
SEY,2013,7,1780.31
SEY,2013,8,1780.43
SEY,2013,9,1782.62
SEY,2013,10,1778.38
SEY,2013,11,1771.68
SEY,2013,12,1804.86
SEY,2014,1,1850.79
SEY,2014,2,1840.81
SEY,2014,3,1806.47
SEY,2014,4,1780.84
SEY,2014,5,1775.27
SEY,2014,6,1783.74
SEY,2014,7,1787.98
SEY,2014,8,1790.13
SEY,2014,9,1791.82
SEY,2014,10,1790.23
SEY,2014,11,1794.45
SEY,2014,12,1822.79
SEY,2015,1,1861.68
SEY,2015,2,1852.88
SEY,2015,3,1815.17
SEY,2015,4,1789.61
SEY,2015,5,1785.55
SEY,2015,6,1792.09
SEY,2015,7,1800.86
SEY,2015,8,1801.72
SEY,2015,9,1802.36
SEY,2015,10,1801.01
SEY,2015,11,1797.24
SEY,2015,12,1838.32
SEY,2016,1,1878.60
SEY,2016,2,1856.06
SEY,2016,3,1824.04
SEY,2016,4,1810.77
SEY,2016,5,1798.18
SEY,2016,6,1798.36
SEY,2016,7,1803.72
SEY,2016,8,1805.20
SEY,2016,9,1811.21
SEY,2016,10,1804.84
SEY,2016,11,1790.11
SEY,2016,12,1826.80
SEY,2017,1,1872.91
SEY,2017,2,1866.95
SEY,2017,3,1839.97
SEY,2017,4,1803.18
SEY,2017,5,1793.59
SEY,2017,6,1809.67
SEY,2017,7,1818.06
SEY,2017,8,1817.33
SEY,2017,9,1814.21
SEY,2017,10,1810.72
SEY,2017,11,1836.67
SEY,2017,12,1878.47
SEY,2018,1,1884.84
SEY,2018,2,1875.99
SEY,2018,3,1859.33
SEY,2018,4,1827.17
SEY,2018,5,1815.65
SEY,2018,6,1821.26
SEY,2018,7,1823.02
SEY,2018,8,1824.76
SEY,2018,9,1827.56
SEY,2018,10,1825.63
SEY,2018,11,1822.85
SEY,2018,12,1856.21
