site,year,month,value
GMI,1983,5,1642.87
GMI,1983,6,1642.12
GMI,1983,7,1623.77
GMI,1983,8,1605.24
GMI,1983,9,1628.20
GMI,1983,10,1649.20
GMI,1983,11,1651.72
GMI,1983,12,1643.79
GMI,1984,1,1647.58
GMI,1984,2,1657.60
GMI,1984,3,1651.96
GMI,1984,4,1645.92
GMI,1984,5,1641.54
GMI,1984,6,1638.58
GMI,1984,7,1629.95
GMI,1984,8,1622.45
GMI,1984,9,1635.23
GMI,1984,10,1646.55
GMI,1984,11,1652.01
GMI,1984,12,1667.74
GMI,1985,1,1668.25
GMI,1985,2,1676.06
GMI,1985,3,1681.28
GMI,1985,4,1664.42
GMI,1985,5,1652.13
GMI,1985,6,1650.76
GMI,1985,7,1648.02
GMI,1985,8,1646.69
GMI,1985,9,1660.67
GMI,1985,10,1679.47
GMI,1985,11,1690.17
GMI,1985,12,1689.75
GMI,1986,1,1693.30
GMI,1986,2,1694.56
GMI,1986,3,1693.91
GMI,1986,4,1697.31
GMI,1986,5,1682.45
GMI,1986,6,1677.47
GMI,1986,7,1679.14
GMI,1986,8,1668.01
GMI,1986,9,1667.66
GMI,1986,10,1687.53
GMI,1986,11,1703.25
GMI,1986,12,1705.26
GMI,1987,1,1708.75
GMI,1987,2,1706.93
GMI,1987,3,1704.90
GMI,1987,4,1711.34
GMI,1987,5,1711.72
GMI,1987,6,1691.71
GMI,1987,7,1676.09
GMI,1987,8,1674.16
GMI,1987,9,1686.63
GMI,1987,10,1704.56
GMI,1987,11,1709.51
GMI,1987,12,1719.52
GMI,1988,1,1720.74
GMI,1988,2,1720.94
GMI,1988,3,1713.14
GMI,1988,4,1705.31
GMI,1988,5,1701.67
GMI,1988,6,1684.16
GMI,1988,7,1676.06
GMI,1988,8,1678.06
GMI,1988,9,1674.75
GMI,1988,10,1691.21
GMI,1988,11,1719.91
GMI,1988,12,1722.18
GMI,1989,1,1723.67
GMI,1989,2,1736.71
GMI,1989,3,1735.45
GMI,1989,4,1725.34
GMI,1989,5,1709.28
GMI,1989,6,1693.27
GMI,1989,7,1686.30
GMI,1989,8,1684.46
GMI,1989,9,1700.12
GMI,1989,10,1721.09
GMI,1989,11,1731.89
GMI,1989,12,1733.25
GMI,1990,1,1735.53
GMI,1990,2,1742.70
GMI,1990,3,1742.77
GMI,1990,4,1737.53
GMI,1990,5,1728.66
GMI,1990,6,1714.30
GMI,1990,7,1702.79
GMI,1990,8,1708.74
GMI,1990,9,1719.24
GMI,1990,10,1731.31
GMI,1990,11,1749.65
GMI,1990,12,1755.47
GMI,1991,1,1760.83
GMI,1991,2,1765.62
GMI,1991,3,1752.73
GMI,1991,4,1738.18
GMI,1991,5,1734.95
GMI,1991,6,1727.04
GMI,1991,7,1713.27
GMI,1991,8,1707.19
GMI,1991,9,1717.48
GMI,1991,10,1741.61
GMI,1991,11,1758.81
GMI,1991,12,1763.13
GMI,1992,1,1755.06
GMI,1992,2,1758.67
GMI,1992,3,1764.31
GMI,1992,4,1756.55
GMI,1992,5,1753.56
GMI,1992,6,1738.34
GMI,1992,7,1722.54
GMI,1992,8,1719.88
GMI,1992,9,1726.45
GMI,1992,10,1742.56
GMI,1992,11,1761.95
GMI,1992,12,1769.95
GMI,1993,1,1769.40
GMI,1993,2,1761.42
GMI,1993,3,1747.78
GMI,1993,4,1743.19
GMI,1993,5,1736.41
GMI,1993,6,1726.05
GMI,1993,7,1720.83
GMI,1993,8,1723.99
GMI,1993,9,1729.65
GMI,1993,10,1746.19
GMI,1993,11,1768.85
GMI,1993,12,1762.92
GMI,1994,1,1758.94
GMI,1994,2,1762.52
GMI,1994,3,1764.66
GMI,1994,4,1759.56
GMI,1994,5,1745.36
GMI,1994,6,1739.84
GMI,1994,7,1731.77
GMI,1994,8,1717.33
GMI,1994,9,1734.83
GMI,1994,10,1768.55
GMI,1994,11,1776.81
GMI,1994,12,1777.14
GMI,1995,1,1782.34
GMI,1995,2,1784.88
GMI,1995,3,1783.64
GMI,1995,4,1779.31
GMI,1995,5,1768.40
GMI,1995,6,1755.21
GMI,1995,7,1741.17
GMI,1995,8,1731.70
GMI,1995,9,1737.01
GMI,1995,10,1759.25
GMI,1995,11,1769.74
GMI,1995,12,1766.14
GMI,1996,1,1775.61
GMI,1996,2,1786.88
GMI,1996,3,1781.58
GMI,1996,4,1758.15
GMI,1996,5,1742.71
GMI,1996,6,1742.64
GMI,1996,7,1737.43
GMI,1996,8,1726.99
GMI,1996,9,1728.54
GMI,1996,10,1752.60
GMI,1996,11,1772.93
GMI,1996,12,1780.31
GMI,1997,1,1777.74
GMI,1997,2,1777.71
GMI,1997,3,1785.13
GMI,1997,4,1778.83
GMI,1997,5,1767.66
GMI,1997,6,1755.20
GMI,1997,7,1742.44
GMI,1997,8,1744.99
GMI,1997,9,1765.42
GMI,1997,10,1781.11
GMI,1997,11,1785.66
GMI,1997,12,1786.48
GMI,1998,1,1787.50
GMI,1998,2,1787.39
GMI,1998,3,1783.01
GMI,1998,4,1782.15
GMI,1998,5,1779.55
GMI,1998,6,1769.30
GMI,1998,7,1754.28
GMI,1998,8,1747.49
GMI,1998,9,1755.49
GMI,1998,10,1774.05
GMI,1998,11,1790.51
GMI,1998,12,1793.95
GMI,1999,1,1791.96
GMI,1999,2,1781.48
GMI,1999,3,1780.61
GMI,1999,4,1785.40
GMI,1999,5,1775.99
GMI,1999,6,1763.85
GMI,1999,7,1755.61
GMI,1999,8,1752.44
GMI,1999,9,1759.47
GMI,1999,10,1776.57
GMI,1999,11,1787.84
GMI,1999,12,1792.56
GMI,2000,1,1793.09
GMI,2000,2,1784.78
GMI,2000,3,1787.28
GMI,2000,4,1787.34
GMI,2000,5,1772.39
GMI,2000,6,1764.15
GMI,2000,7,1758.56
GMI,2000,8,1752.68
GMI,2000,9,1758.62
GMI,2000,10,1780.97
GMI,2000,11,1785.56
GMI,2000,12,1779.20
GMI,2001,1,1786.42
GMI,2001,2,1791.34
GMI,2001,3,1793.94
GMI,2001,4,1789.01
GMI,2001,5,1774.71
GMI,2001,6,1763.60
GMI,2001,7,1753.15
GMI,2001,8,1751.21
GMI,2001,9,1762.58
GMI,2001,10,1779.89
GMI,2001,11,1783.53
GMI,2001,12,1794.23
GMI,2002,1,1802.32
GMI,2002,2,1794.04
GMI,2002,3,1797.43
GMI,2002,4,1797.40
GMI,2002,5,1777.72
GMI,2002,6,1766.96
GMI,2002,7,1758.72
GMI,2002,8,1758.99
GMI,2002,9,1779.60
GMI,2002,10,1798.49
GMI,2002,11,1806.05
GMI,2002,12,1805.79
GMI,2003,1,1805.92
GMI,2003,2,1807.64
GMI,2003,3,1796.26
GMI,2003,4,1790.14
GMI,2003,5,1786.11
GMI,2003,6,1773.96
GMI,2003,7,1767.72
GMI,2003,8,1764.36
GMI,2003,9,1762.31
GMI,2003,10,1781.63
GMI,2003,11,1803.61
GMI,2003,12,1798.08
GMI,2004,1,1794.85
GMI,2004,5,1778.41
GMI,2004,6,1771.40
GMI,2004,7,1762.63
GMI,2004,8,1757.64
GMI,2004,9,1762.24
GMI,2004,10,1783.94
GMI,2004,11,1801.68
GMI,2004,12,1805.09
GMI,2005,1,1816.39
GMI,2005,2,1811.13
GMI,2005,3,1799.31
GMI,2005,4,1791.77
GMI,2005,5,1775.45
GMI,2005,6,1765.11
GMI,2005,7,1757.41
GMI,2005,8,1752.23
GMI,2005,9,1761.08
GMI,2005,10,1779.95
GMI,2005,11,1791.67
GMI,2005,12,1793.51
GMI,2006,1,1800.39
GMI,2006,2,1807.00
GMI,2006,3,1804.71
GMI,2006,4,1799.54
GMI,2006,5,1789.19
GMI,2006,6,1774.70
GMI,2006,10,1790.12
GMI,2006,11,1804.31
GMI,2006,12,1804.43
GMI,2007,1,1800.27
GMI,2007,6,1771.30
GMI,2007,7,1758.50
GMI,2007,8,1752.43
GMI,2007,9,1763.74
GMI,2007,10,1786.63
GMI,2007,11,1805.61
GMI,2008,4,1808.16
GMI,2008,5,1797.03
GMI,2008,6,1785.26
GMI,2008,7,1770.62
GMI,2008,8,1767.76
GMI,2008,9,1782.25
GMI,2008,10,1805.98
GMI,2008,11,1817.60
GMI,2008,12,1826.74
GMI,2009,1,1816.16
GMI,2009,2,1811.78
GMI,2009,3,1822.02
GMI,2009,4,1809.24
GMI,2009,5,1794.55
GMI,2009,6,1788.75
GMI,2009,7,1783.42
GMI,2009,8,1777.41
GMI,2009,9,1788.58
GMI,2009,10,1808.23
GMI,2009,11,1809.56
GMI,2009,12,1806.98
GMI,2010,1,1825.80
GMI,2010,2,1836.53
GMI,2010,3,1828.99
GMI,2010,4,1825.76
GMI,2010,5,1807.31
GMI,2010,6,1787.94
GMI,2010,7,1784.18
GMI,2010,8,1781.22
GMI,2010,9,1780.89
GMI,2010,10,1791.11
GMI,2010,11,1817.72
GMI,2010,12,1819.31
GMI,2011,1,1817.17
GMI,2011,2,1826.92
GMI,2011,3,1816.79
GMI,2011,4,1807.97
GMI,2011,5,1805.43
GMI,2011,6,1799.07
GMI,2011,7,1789.06
GMI,2011,8,1777.60
GMI,2011,9,1783.37
GMI,2011,10,1816.76
GMI,2011,11,1841.91
GMI,2011,12,1843.75
GMI,2012,1,1837.14
GMI,2012,2,1824.52
GMI,2012,3,1831.49
GMI,2012,4,1840.03
GMI,2012,5,1818.94
GMI,2012,6,1799.10
GMI,2012,7,1790.94
GMI,2012,8,1811.90
GMI,2012,9,1838.83
GMI,2012,10,1844.26
GMI,2012,11,1846.65
GMI,2012,12,1847.27
GMI,2013,1,1847.28
GMI,2013,2,1839.12
GMI,2013,3,1832.01
GMI,2013,4,1835.05
GMI,2013,5,1819.23
GMI,2013,6,1802.46
GMI,2013,7,1799.28
GMI,2013,8,1800.29
GMI,2013,9,1803.89
GMI,2013,10,1821.72
GMI,2013,11,1841.10
GMI,2013,12,1842.95
GMI,2014,1,1838.29
GMI,2014,2,1849.89
GMI,2014,3,1852.65
GMI,2014,4,1834.99
GMI,2014,5,1827.76
GMI,2014,6,1821.26
GMI,2014,7,1810.83
GMI,2014,8,1805.08
GMI,2014,9,1816.13
GMI,2014,10,1832.65
GMI,2014,11,1844.08
GMI,2014,12,1852.21
GMI,2015,1,1864.58
GMI,2015,2,1874.96
GMI,2015,3,1858.04
GMI,2015,4,1836.37
GMI,2015,5,1837.83
GMI,2015,6,1838.81
GMI,2015,7,1826.67
GMI,2015,8,1834.86
GMI,2015,9,1856.63
GMI,2015,10,1862.83
GMI,2015,11,1863.67
GMI,2016,10,1835.46
GMI,2016,11,1877.34
GMI,2016,12,1888.91
GMI,2017,1,1881.53
GMI,2017,2,1880.10
GMI,2017,3,1863.55
GMI,2017,4,1852.04
GMI,2017,5,1854.78
GMI,2017,6,1849.44
GMI,2018,2,1892.76
GMI,2018,3,1895.78
GMI,2018,4,1882.32
GMI,2018,5,1857.80
GMI,2018,6,1843.39
GMI,2018,7,1838.29
GMI,2018,8,1837.31
GMI,2018,9,1850.58
GMI,2018,10,1874.11
GMI,2018,11,1885.34
GMI,2018,12,1890.91
