site,year,month,value
PSA,1983,1,1557.25
PSA,1983,2,1549.56
PSA,1983,3,1555.19
PSA,1983,4,1565.51
PSA,1983,5,1571.37
PSA,1983,6,1577.84
PSA,1983,7,1585.59
PSA,1983,8,1594.04
PSA,1983,9,1597.43
PSA,1983,10,1596.28
PSA,1983,11,1594.32
PSA,1983,12,1588.34
PSA,1984,1,1581.46
PSA,1984,2,1577.17
PSA,1984,3,1578.58
PSA,1984,4,1582.79
PSA,1984,5,1587.99
PSA,1984,6,1595.36
PSA,1984,7,1602.04
PSA,1984,8,1608.50
PSA,1984,9,1609.95
PSA,1984,10,1608.51
PSA,1984,11,1605.91
PSA,1984,12,1598.20
PSA,1985,1,1590.64
PSA,1985,2,1586.03
PSA,1985,3,1585.96
PSA,1985,4,1592.27
PSA,1985,5,1599.54
PSA,1985,6,1606.33
PSA,1985,7,1611.86
PSA,1985,8,1618.40
PSA,1985,9,1624.07
PSA,1985,10,1625.82
PSA,1985,11,1623.54
PSA,1985,12,1614.89
PSA,1986,1,1606.53
PSA,1986,2,1599.15
PSA,1986,3,1597.07
PSA,1986,4,1602.73
PSA,1986,5,1609.52
PSA,1986,6,1618.96
PSA,1986,7,1626.73
PSA,1986,8,1631.85
PSA,1986,9,1635.16
PSA,1986,10,1635.64
PSA,1986,11,1632.84
PSA,1986,12,1627.87
PSA,1987,1,1617.80
PSA,1987,2,1609.75
PSA,1987,3,1611.59
PSA,1987,4,1615.42
PSA,1987,5,1621.98
PSA,1987,6,1631.66
PSA,1987,7,1637.04
PSA,1987,8,1639.67
PSA,1987,9,1643.63
PSA,1987,10,1645.59
PSA,1987,11,1642.44
PSA,1987,12,1636.28
PSA,1988,1,1628.76
PSA,1988,2,1623.01
PSA,1988,3,1620.14
PSA,1988,4,1625.31
PSA,1988,5,1636.43
PSA,1988,6,1643.90
PSA,1988,7,1648.56
PSA,1988,8,1656.04
PSA,1988,9,1661.82
PSA,1988,10,1661.84
PSA,1988,11,1655.86
PSA,1988,12,1643.58
PSA,1989,1,1633.52
PSA,1989,2,1633.43
PSA,1989,3,1638.21
PSA,1989,4,1641.91
PSA,1989,5,1647.65
PSA,1989,6,1658.37
PSA,1989,10,1673.94
PSA,1989,11,1667.54
PSA,1989,12,1659.74
PSA,1990,1,1650.04
PSA,1990,2,1644.65
PSA,1990,3,1645.42
PSA,1990,4,1648.89
PSA,1990,5,1654.60
PSA,1990,6,1661.84
PSA,1990,7,1668.54
PSA,1990,8,1673.85
PSA,1990,9,1677.48
PSA,1990,10,1676.30
PSA,1990,11,1672.48
PSA,1990,12,1667.35
PSA,1991,1,1659.12
PSA,1991,2,1651.48
PSA,1991,3,1651.25
PSA,1991,4,1657.98
PSA,1991,5,1663.98
PSA,1991,6,1671.56
PSA,1991,7,1679.35
PSA,1991,8,1685.04
PSA,1991,9,1689.63
PSA,1991,10,1691.02
PSA,1991,11,1689.10
PSA,1991,12,1683.97
PSA,1992,1,1677.50
PSA,1992,2,1673.49
PSA,1992,3,1673.43
PSA,1992,4,1675.55
PSA,1992,5,1681.97
PSA,1992,6,1690.40
PSA,1992,7,1696.83
PSA,1992,8,1701.41
PSA,1992,9,1702.61
PSA,1992,10,1700.54
PSA,1992,11,1694.98
PSA,1992,12,1688.60
PSA,1993,1,1680.11
PSA,1993,2,1672.99
PSA,1993,3,1672.54
PSA,1993,4,1675.97
PSA,1993,5,1681.56
PSA,1993,6,1689.69
PSA,1993,7,1697.59
PSA,1993,8,1701.29
PSA,1993,9,1703.01
PSA,1993,10,1701.84
PSA,1993,11,1698.08
PSA,1993,12,1692.78
PSA,1994,1,1682.74
PSA,1994,2,1675.58
PSA,1994,3,1677.18
PSA,1994,4,1682.94
PSA,1994,5,1687.36
PSA,1994,6,1692.46
PSA,1994,7,1699.34
PSA,1994,8,1704.91
PSA,1994,9,1707.16
PSA,1994,10,1706.42
PSA,1994,11,1703.38
PSA,1994,12,1697.78
PSA,1995,1,1690.30
PSA,1995,2,1685.28
PSA,1995,3,1684.48
PSA,1995,4,1687.64
PSA,1995,5,1694.31
PSA,1995,6,1700.60
PSA,1995,7,1704.92
PSA,1995,8,1709.58
PSA,1995,9,1714.16
PSA,1995,10,1714.34
PSA,1995,11,1710.89
PSA,1995,12,1704.07
