site,year,month,value
LEF,1994,12,1854.83
LEF,1995,1,1860.09
LEF,1995,2,1860.32
LEF,1995,3,1838.29
LEF,1995,4,1823.40
LEF,1995,5,1824.70
LEF,1995,6,1831.06
LEF,1995,7,1849.70
LEF,1995,8,1868.43
LEF,1995,9,1857.77
LEF,1995,10,1855.88
LEF,1995,11,1858.03
LEF,1995,12,1850.94
LEF,1996,1,1877.63
LEF,1996,2,1895.58
LEF,1996,3,1871.87
LEF,1996,4,1849.83
LEF,1996,5,1834.94
LEF,1996,6,1822.94
LEF,1996,7,1835.43
LEF,1996,8,1850.17
LEF,1996,9,1849.13
LEF,1996,10,1862.39
LEF,1996,11,1879.94
LEF,1996,12,1882.81
LEF,1997,1,1877.46
LEF,1997,2,1859.36
LEF,1997,3,1837.08
LEF,1997,4,1824.20
LEF,1997,5,1815.37
LEF,1997,6,1810.21
LEF,1997,7,1818.53
LEF,1997,8,1832.24
LEF,1997,9,1856.52
LEF,1997,10,1885.47
LEF,1997,11,1894.48
LEF,1997,12,1882.63
LEF,1998,1,1870.49
LEF,1998,2,1860.56
LEF,1998,3,1851.75
LEF,1998,4,1847.24
LEF,1998,5,1840.41
LEF,1998,6,1844.84
LEF,1998,7,1865.48
LEF,1998,8,1873.24
LEF,1998,9,1865.07
LEF,1998,10,1872.00
LEF,1998,11,1881.67
LEF,1998,12,1887.26
LEF,1999,1,1906.16
LEF,1999,2,1909.91
LEF,1999,3,1888.37
LEF,1999,4,1874.06
LEF,1999,5,1866.70
LEF,1999,6,1860.10
LEF,1999,7,1871.16
LEF,1999,8,1875.42
LEF,1999,9,1863.76
LEF,1999,10,1867.33
LEF,1999,11,1873.37
LEF,1999,12,1864.21
LEF,2000,1,1862.97
LEF,2000,2,1865.41
LEF,2000,3,1855.36
LEF,2000,4,1858.44
LEF,2000,5,1875.76
LEF,2000,6,1874.52
LEF,2000,7,1874.65
LEF,2000,8,1866.49
LEF,2000,9,1852.96
LEF,2000,10,1882.86
LEF,2000,11,1887.65
LEF,2000,12,1866.54
LEF,2001,1,1894.72
LEF,2001,2,1933.56
LEF,2001,3,1906.30
