site,year,month,value
RPB,1987,11,1705.72
RPB,1987,12,1714.88
RPB,1988,1,1728.12
RPB,1988,2,1721.58
RPB,1988,3,1710.29
RPB,1988,4,1710.77
RPB,1988,5,1710.82
RPB,1988,6,1704.66
RPB,1988,7,1701.23
RPB,1988,8,1706.78
RPB,1988,9,1708.92
RPB,1988,10,1713.89
RPB,1988,11,1725.41
RPB,1988,12,1729.59
RPB,1989,1,1729.13
RPB,1989,2,1724.58
RPB,1989,3,1722.51
RPB,1989,4,1727.11
RPB,1989,5,1721.22
RPB,1989,6,1709.45
RPB,1989,7,1710.17
RPB,1989,8,1714.57
RPB,1989,9,1715.31
RPB,1989,10,1726.40
RPB,1989,11,1734.77
RPB,1989,12,1738.10
RPB,1990,1,1748.16
RPB,1990,2,1750.92
RPB,1990,3,1745.32
RPB,1990,4,1741.60
RPB,1990,5,1737.85
RPB,1990,6,1730.45
RPB,1990,7,1723.91
RPB,1990,8,1728.43
RPB,1990,9,1726.16
RPB,1990,10,1722.72
RPB,1990,11,1739.90
RPB,1990,12,1755.47
RPB,1991,1,1751.31
RPB,1991,2,1747.44
RPB,1991,3,1756.80
RPB,1991,4,1756.86
RPB,1991,5,1743.18
RPB,1991,6,1731.86
RPB,1991,7,1730.43
RPB,1991,8,1731.85
RPB,1991,9,1735.34
RPB,1991,10,1743.50
RPB,1991,11,1757.35
RPB,1991,12,1769.19
RPB,1992,1,1770.38
RPB,1992,2,1768.12
RPB,1992,3,1761.35
RPB,1992,4,1753.21
RPB,1992,5,1747.28
RPB,1992,6,1745.24
RPB,1992,7,1744.63
RPB,1992,8,1742.49
RPB,1992,9,1733.86
RPB,1992,10,1736.97
RPB,1992,11,1752.71
RPB,1992,12,1760.53
RPB,1993,1,1761.96
RPB,1993,2,1762.71
RPB,1993,3,1764.79
RPB,1993,4,1760.14
RPB,1993,5,1753.97
RPB,1993,6,1750.79
RPB,1993,7,1744.66
RPB,1993,8,1740.25
RPB,1993,9,1741.90
RPB,1993,10,1748.35
RPB,1993,11,1762.10
RPB,1993,12,1772.79
RPB,1994,1,1774.81
RPB,1994,2,1767.04
RPB,1994,3,1765.38
RPB,1994,4,1769.18
RPB,1994,5,1762.11
RPB,1994,6,1755.38
RPB,1994,7,1754.11
RPB,1994,8,1755.53
RPB,1994,9,1755.33
RPB,1994,10,1752.92
RPB,1994,11,1761.16
RPB,1994,12,1772.97
RPB,1995,1,1769.04
RPB,1995,2,1771.21
RPB,1995,3,1773.87
RPB,1995,4,1763.03
RPB,1995,5,1758.52
RPB,1995,6,1759.94
RPB,1995,7,1757.92
RPB,1995,8,1754.73
RPB,1995,9,1748.26
RPB,1995,10,1747.75
RPB,1995,11,1766.71
RPB,1995,12,1772.77
RPB,1996,1,1780.27
RPB,1996,2,1794.75
RPB,1996,3,1784.63
RPB,1996,4,1782.06
RPB,1996,5,1781.67
RPB,1996,6,1766.29
RPB,1996,7,1759.80
RPB,1996,8,1768.31
RPB,1996,9,1772.28
RPB,1996,10,1768.71
RPB,1996,11,1775.02
RPB,1996,12,1776.61
RPB,1997,1,1782.37
RPB,1997,2,1789.15
RPB,1997,3,1786.26
RPB,1997,4,1784.81
RPB,1997,5,1773.44
RPB,1997,6,1765.98
RPB,1997,7,1762.62
RPB,1997,8,1758.94
RPB,1997,9,1753.19
RPB,1997,10,1755.62
RPB,1997,11,1775.75
RPB,1997,12,1785.88
RPB,1998,1,1784.59
RPB,1998,2,1782.14
RPB,1998,3,1784.98
RPB,1998,4,1782.59
RPB,1998,5,1774.53
RPB,1998,6,1776.28
RPB,1998,7,1775.60
RPB,1998,8,1763.81
RPB,1998,9,1767.13
RPB,1998,10,1781.76
RPB,1998,11,1789.89
RPB,1998,12,1802.51
RPB,1999,1,1815.01
RPB,1999,2,1811.08
RPB,1999,3,1799.50
RPB,1999,4,1789.52
RPB,1999,5,1785.30
RPB,1999,6,1784.22
RPB,1999,7,1777.60
RPB,1999,8,1772.76
RPB,1999,9,1777.90
RPB,1999,10,1781.94
RPB,1999,11,1783.97
RPB,1999,12,1795.17
RPB,2000,1,1803.39
RPB,2000,2,1807.59
RPB,2000,3,1802.66
RPB,2000,4,1797.95
RPB,2000,5,1795.35
RPB,2000,6,1781.22
RPB,2000,7,1774.29
RPB,2000,8,1780.36
RPB,2000,9,1785.17
RPB,2000,10,1789.42
RPB,2000,11,1794.08
RPB,2000,12,1798.78
RPB,2001,1,1799.99
RPB,2001,2,1803.04
RPB,2001,3,1801.30
RPB,2001,4,1793.92
RPB,2001,5,1787.42
RPB,2001,6,1783.59
RPB,2001,7,1779.03
RPB,2001,8,1771.49
RPB,2001,9,1774.44
RPB,2001,10,1778.75
RPB,2001,11,1779.87
RPB,2001,12,1794.29
RPB,2002,1,1803.05
RPB,2002,2,1801.51
RPB,2002,3,1806.35
RPB,2002,4,1804.33
RPB,2002,5,1795.64
RPB,2002,6,1786.19
RPB,2002,7,1779.74
RPB,2002,8,1777.94
RPB,2002,9,1777.02
RPB,2002,10,1780.81
RPB,2002,11,1796.04
RPB,2002,12,1801.07
RPB,2003,1,1799.73
RPB,2003,2,1798.83
RPB,2003,3,1797.51
RPB,2003,4,1799.89
RPB,2003,5,1794.25
RPB,2003,6,1791.47
RPB,2003,7,1789.98
RPB,2003,8,1781.20
RPB,2003,9,1783.39
RPB,2003,10,1793.03
RPB,2003,11,1797.75
RPB,2003,12,1805.67
RPB,2004,1,1806.51
RPB,2004,2,1806.80
RPB,2004,3,1805.87
RPB,2004,4,1804.41
RPB,2004,5,1802.31
RPB,2004,6,1788.16
RPB,2004,7,1778.26
RPB,2004,8,1778.92
RPB,2004,9,1781.10
RPB,2004,10,1779.69
RPB,2004,11,1783.13
RPB,2004,12,1794.94
RPB,2005,1,1811.09
RPB,2005,2,1812.56
RPB,2005,3,1800.71
RPB,2005,4,1790.59
RPB,2005,5,1780.67
RPB,2005,6,1776.65
RPB,2005,7,1777.88
RPB,2005,8,1773.33
RPB,2005,9,1775.44
RPB,2005,10,1779.40
RPB,2005,11,1794.89
RPB,2005,12,1811.70
RPB,2006,1,1811.91
RPB,2006,2,1806.43
RPB,2006,3,1795.15
RPB,2006,4,1791.37
RPB,2006,5,1791.33
RPB,2006,6,1785.44
RPB,2006,7,1781.99
RPB,2006,8,1780.94
RPB,2006,9,1777.99
RPB,2006,10,1782.27
RPB,2006,11,1794.45
RPB,2006,12,1805.42
RPB,2007,1,1805.77
RPB,2007,2,1804.44
RPB,2007,3,1810.00
RPB,2007,4,1805.93
RPB,2007,5,1799.69
RPB,2007,6,1796.83
RPB,2007,7,1794.74
RPB,2007,8,1796.28
RPB,2007,9,1798.46
RPB,2007,10,1803.96
RPB,2007,11,1805.14
RPB,2007,12,1805.83
RPB,2008,1,1813.05
RPB,2008,2,1824.19
RPB,2008,3,1832.08
RPB,2008,4,1818.31
RPB,2008,8,1788.94
RPB,2008,9,1787.67
RPB,2008,10,1797.98
RPB,2008,11,1814.40
RPB,2008,12,1823.41
RPB,2009,1,1825.99
RPB,2009,2,1823.22
RPB,2009,3,1818.53
RPB,2009,4,1817.61
RPB,2009,5,1813.70
RPB,2009,6,1802.90
RPB,2009,7,1802.56
RPB,2009,8,1801.09
RPB,2009,9,1798.00
RPB,2009,10,1805.44
RPB,2009,11,1810.37
RPB,2009,12,1816.75
RPB,2010,1,1822.63
RPB,2010,2,1814.93
RPB,2010,3,1809.43
RPB,2010,4,1816.20
RPB,2010,5,1818.31
RPB,2010,6,1810.49
RPB,2010,7,1804.48
RPB,2010,8,1797.98
RPB,2010,9,1790.87
RPB,2010,10,1802.47
RPB,2010,11,1820.20
RPB,2010,12,1823.17
RPB,2011,1,1829.26
RPB,2011,2,1832.56
RPB,2011,3,1826.40
RPB,2011,4,1827.80
RPB,2011,5,1821.14
RPB,2011,6,1810.44
RPB,2011,7,1807.49
RPB,2011,8,1799.77
RPB,2011,9,1803.99
RPB,2011,10,1821.83
RPB,2011,11,1824.23
RPB,2011,12,1825.57
RPB,2012,1,1837.11
RPB,2012,2,1842.15
RPB,2012,3,1837.82
RPB,2012,4,1831.09
RPB,2012,5,1826.15
RPB,2012,6,1819.41
RPB,2012,7,1815.08
RPB,2012,8,1812.40
RPB,2012,9,1811.15
RPB,2012,10,1820.57
RPB,2012,11,1835.65
RPB,2012,12,1842.93
RPB,2013,1,1844.70
RPB,2013,2,1842.53
RPB,2013,3,1836.93
RPB,2013,4,1835.50
RPB,2013,5,1838.11
RPB,2013,6,1832.84
RPB,2013,7,1824.94
RPB,2013,8,1826.32
RPB,2013,9,1822.87
RPB,2013,10,1826.89
RPB,2013,11,1844.42
RPB,2013,12,1856.36
RPB,2014,1,1857.36
RPB,2014,2,1848.00
RPB,2014,3,1839.08
RPB,2014,4,1843.44
RPB,2014,5,1841.16
RPB,2014,6,1833.67
RPB,2014,7,1830.09
RPB,2014,8,1831.00
RPB,2014,9,1833.74
