site,year,month,value
MID,1985,8,1665.48
MID,1985,9,1691.21
MID,1985,10,1716.41
MID,1985,11,1719.83
MID,1985,12,1714.27
MID,1986,1,1724.06
MID,1986,2,1735.98
MID,1986,3,1724.03
MID,1986,4,1713.32
MID,1986,5,1724.08
MID,1986,6,1712.61
MID,1986,7,1690.17
MID,1986,8,1692.06
MID,1986,9,1721.25
MID,1986,10,1733.75
MID,1986,11,1735.29
MID,1986,12,1746.25
MID,1987,1,1749.83
MID,1987,2,1743.20
MID,1987,3,1746.48
MID,1987,4,1754.93
MID,1987,5,1748.27
MID,1987,6,1730.15
MID,1987,7,1710.25
MID,1987,8,1713.08
MID,1987,9,1737.15
MID,1987,10,1753.40
MID,1987,11,1748.08
MID,1987,12,1744.97
MID,1988,1,1754.35
MID,1988,2,1757.59
MID,1988,3,1744.78
MID,1988,4,1742.63
MID,1988,5,1735.84
MID,1988,6,1721.01
MID,1988,7,1710.99
MID,1988,8,1707.57
MID,1988,9,1733.75
MID,1988,10,1747.28
MID,1988,11,1747.23
MID,1988,12,1748.72
MID,1989,1,1745.46
MID,1989,2,1753.49
MID,1989,3,1767.47
MID,1989,4,1764.82
MID,1989,5,1750.50
MID,1989,6,1734.19
MID,1989,7,1715.80
MID,1989,8,1722.96
MID,1989,9,1751.38
MID,1989,10,1760.63
MID,1989,11,1760.71
MID,1989,12,1773.36
MID,1990,1,1777.12
MID,1990,2,1778.64
MID,1990,3,1783.31
MID,1990,4,1781.67
MID,1990,5,1766.41
MID,1990,6,1739.69
MID,1990,7,1728.35
MID,1990,8,1731.91
MID,1990,9,1744.94
MID,1990,10,1771.25
MID,1990,11,1785.72
MID,1990,12,1775.34
MID,1991,1,1779.61
MID,1991,2,1794.28
MID,1991,3,1792.59
MID,1991,4,1791.33
MID,1991,5,1783.88
MID,1991,6,1759.00
MID,1991,7,1739.89
MID,1991,8,1728.08
MID,1991,9,1750.89
MID,1991,10,1790.39
MID,1991,11,1796.15
MID,1991,12,1791.49
MID,1992,1,1796.88
MID,1992,2,1801.10
MID,1992,3,1800.63
MID,1992,4,1796.43
MID,1992,5,1784.50
MID,1992,6,1763.73
MID,1992,7,1747.35
MID,1992,8,1741.84
MID,1992,9,1757.38
MID,1992,10,1778.04
MID,1992,11,1783.43
MID,1992,12,1789.61
MID,1993,1,1795.20
MID,1993,2,1791.16
MID,1993,3,1784.34
MID,1993,4,1786.32
MID,1993,5,1786.51
MID,1993,6,1770.23
MID,1993,7,1740.69
MID,1993,8,1743.33
MID,1993,9,1782.97
MID,1993,10,1802.54
MID,1993,11,1799.09
MID,1993,12,1801.35
MID,1994,1,1804.37
MID,1994,2,1804.43
MID,1994,3,1802.95
MID,1994,4,1803.89
MID,1994,5,1798.60
MID,1994,6,1774.95
MID,1994,7,1750.42
MID,1994,8,1744.44
MID,1994,9,1766.06
MID,1994,10,1793.87
MID,1994,11,1793.61
MID,1994,12,1793.50
MID,1995,1,1805.65
MID,1995,2,1806.78
MID,1995,3,1806.62
MID,1995,4,1811.75
MID,1995,5,1805.90
MID,1995,6,1783.12
MID,1995,7,1767.28
MID,1995,8,1764.44
MID,1995,9,1774.22
MID,1995,10,1794.69
MID,1995,11,1809.04
MID,1995,12,1814.71
MID,1996,1,1821.61
MID,1996,2,1826.52
MID,1996,3,1823.46
MID,1996,4,1808.38
MID,1996,5,1791.16
MID,1996,6,1772.34
MID,1996,7,1754.50
MID,1996,8,1754.00
MID,1996,9,1784.59
MID,1996,10,1812.94
MID,1996,11,1810.17
MID,1996,12,1811.74
MID,1997,1,1821.60
MID,1997,2,1813.83
MID,1997,3,1818.54
MID,1997,4,1824.34
MID,1997,5,1797.31
MID,1997,6,1771.27
MID,1997,7,1762.53
MID,1997,8,1761.22
MID,1997,9,1790.70
MID,1997,10,1809.81
MID,1997,11,1814.09
MID,1997,12,1823.01
MID,1998,1,1822.61
MID,1998,2,1817.86
MID,1998,3,1817.19
MID,1998,4,1815.75
MID,1998,5,1809.03
MID,1998,6,1797.04
MID,1998,7,1775.48
MID,1998,8,1763.33
MID,1998,9,1782.57
MID,1998,10,1815.52
MID,1998,11,1826.31
MID,1998,12,1830.24
MID,1999,1,1825.74
MID,1999,2,1812.41
MID,1999,3,1818.73
MID,1999,4,1830.33
MID,1999,5,1818.82
MID,1999,6,1794.82
MID,1999,7,1778.30
MID,1999,8,1779.05
MID,1999,9,1791.03
MID,1999,10,1807.70
MID,1999,11,1821.02
MID,1999,12,1826.52
MID,2000,1,1823.56
MID,2000,2,1820.19
MID,2000,3,1819.30
MID,2000,4,1815.43
MID,2000,5,1810.74
MID,2000,6,1799.07
MID,2000,7,1775.98
MID,2000,8,1771.53
MID,2000,9,1800.87
MID,2000,10,1815.96
MID,2000,11,1816.72
MID,2000,12,1822.57
MID,2001,1,1823.61
MID,2001,2,1824.06
MID,2001,3,1827.92
MID,2001,4,1831.74
MID,2001,5,1816.52
MID,2001,6,1793.41
MID,2001,7,1776.98
MID,2001,8,1772.32
MID,2001,9,1795.10
MID,2001,10,1818.47
MID,2001,11,1824.58
MID,2001,12,1821.98
MID,2002,1,1818.85
MID,2002,2,1812.90
MID,2002,3,1822.23
MID,2002,4,1833.19
MID,2002,5,1816.82
MID,2002,6,1784.49
MID,2002,7,1770.29
MID,2002,8,1779.55
MID,2002,9,1804.39
MID,2002,10,1830.18
MID,2002,11,1834.26
MID,2002,12,1832.53
MID,2003,1,1839.76
MID,2003,2,1841.93
MID,2003,3,1838.52
MID,2003,4,1830.71
MID,2003,5,1818.15
MID,2003,6,1801.93
MID,2003,7,1799.85
MID,2003,8,1806.52
MID,2003,9,1819.15
MID,2003,10,1833.19
MID,2003,11,1838.69
MID,2003,12,1844.47
MID,2004,1,1852.90
MID,2004,2,1851.33
MID,2004,3,1840.82
MID,2004,4,1831.81
MID,2004,5,1822.50
MID,2004,6,1806.36
MID,2004,7,1782.03
MID,2004,8,1773.39
MID,2004,9,1796.84
MID,2004,10,1826.39
MID,2004,11,1828.52
MID,2004,12,1826.59
MID,2005,1,1834.81
MID,2005,2,1843.97
MID,2005,3,1845.14
MID,2005,4,1837.09
MID,2005,5,1821.89
MID,2005,6,1797.51
MID,2005,7,1777.42
MID,2005,8,1780.05
MID,2005,9,1795.40
MID,2005,10,1820.60
MID,2005,11,1829.42
MID,2005,12,1825.30
MID,2006,1,1837.92
MID,2006,2,1840.52
MID,2006,3,1833.46
MID,2006,4,1829.68
MID,2006,5,1812.07
MID,2006,6,1787.89
MID,2006,7,1776.34
MID,2006,8,1776.43
MID,2006,9,1806.92
MID,2006,10,1835.66
MID,2006,11,1830.12
MID,2006,12,1832.50
MID,2007,1,1843.33
MID,2007,2,1836.87
MID,2007,3,1837.53
MID,2007,4,1838.92
MID,2007,5,1821.81
MID,2007,6,1804.00
MID,2007,7,1793.51
MID,2007,8,1794.39
MID,2007,9,1808.13
MID,2007,10,1826.86
MID,2007,11,1840.06
MID,2007,12,1837.94
MID,2008,1,1842.29
MID,2008,2,1846.81
MID,2008,3,1841.12
MID,2008,4,1837.24
MID,2008,5,1830.01
MID,2008,6,1813.49
MID,2008,7,1800.99
MID,2008,8,1803.57
MID,2008,9,1823.71
MID,2008,10,1842.16
MID,2008,11,1849.72
MID,2008,12,1854.46
MID,2009,1,1854.62
MID,2009,2,1846.75
MID,2009,3,1840.47
MID,2009,4,1845.64
MID,2009,5,1846.22
MID,2009,6,1824.07
MID,2009,7,1805.71
MID,2009,8,1811.10
MID,2009,9,1836.65
MID,2009,10,1853.75
MID,2009,11,1851.07
MID,2009,12,1855.89
MID,2010,1,1870.72
MID,2010,2,1871.42
MID,2010,3,1861.71
MID,2010,4,1856.69
MID,2010,5,1837.51
MID,2010,6,1811.98
MID,2010,7,1801.99
MID,2010,8,1807.08
MID,2010,9,1823.62
MID,2010,10,1844.76
MID,2010,11,1851.19
MID,2010,12,1847.30
MID,2011,1,1855.13
MID,2011,2,1862.98
MID,2011,3,1861.30
MID,2011,4,1856.82
MID,2011,5,1845.52
MID,2011,6,1826.87
MID,2011,7,1807.94
MID,2011,8,1808.46
MID,2011,9,1829.07
MID,2011,10,1847.42
MID,2011,11,1851.90
MID,2011,12,1855.36
MID,2012,1,1864.62
MID,2012,2,1868.69
MID,2012,3,1872.34
MID,2012,4,1857.83
MID,2012,5,1828.74
MID,2012,6,1815.51
MID,2012,7,1813.37
MID,2012,8,1816.88
MID,2012,9,1845.26
MID,2012,10,1862.83
MID,2012,11,1855.44
MID,2012,12,1860.00
MID,2013,1,1872.39
MID,2013,2,1869.56
MID,2013,3,1871.18
MID,2013,4,1879.72
MID,2013,5,1863.13
MID,2013,6,1837.78
MID,2013,7,1820.00
MID,2013,8,1824.80
MID,2013,9,1849.14
MID,2013,10,1866.16
MID,2013,11,1869.94
MID,2013,12,1866.23
MID,2014,1,1881.75
MID,2014,2,1891.50
MID,2014,3,1882.52
MID,2014,4,1877.18
MID,2014,5,1874.46
MID,2014,6,1849.26
MID,2014,7,1823.33
MID,2014,8,1829.49
MID,2014,9,1863.81
MID,2014,10,1878.04
MID,2014,11,1885.78
MID,2014,12,1898.91
MID,2015,1,1899.43
MID,2015,2,1897.16
MID,2015,3,1900.69
MID,2015,4,1896.63
MID,2015,5,1878.86
MID,2015,6,1863.06
MID,2015,7,1846.21
MID,2015,8,1843.70
MID,2015,9,1869.89
MID,2015,10,1893.96
MID,2015,11,1899.43
MID,2015,12,1900.94
MID,2016,1,1903.79
MID,2016,2,1913.15
MID,2016,3,1915.24
MID,2016,4,1901.39
MID,2016,5,1892.28
MID,2016,6,1877.87
MID,2016,7,1849.21
MID,2016,8,1840.68
MID,2016,9,1864.50
MID,2016,10,1890.93
MID,2016,11,1899.79
MID,2016,12,1905.03
MID,2017,1,1905.71
MID,2017,2,1912.35
MID,2017,3,1913.86
MID,2017,4,1901.86
MID,2017,5,1900.18
MID,2017,6,1884.68
MID,2017,7,1852.54
MID,2017,8,1850.08
MID,2017,9,1892.29
MID,2017,10,1914.97
MID,2017,11,1913.95
MID,2017,12,1921.19
MID,2018,1,1919.39
MID,2018,2,1914.58
MID,2018,3,1919.69
MID,2018,4,1924.22
MID,2018,5,1910.26
MID,2018,6,1879.39
MID,2018,7,1864.38
MID,2018,8,1871.92
MID,2018,9,1890.83
MID,2018,10,1911.85
MID,2018,11,1924.34
MID,2018,12,1925.13
