site,year,month,value
SHM,1985,9,1755.22
SHM,1985,10,1764.10
SHM,1985,11,1756.79
SHM,1985,12,1755.77
SHM,1986,1,1751.73
SHM,1986,2,1753.63
SHM,1986,3,1764.21
SHM,1986,4,1769.22
SHM,1986,5,1762.64
SHM,1986,6,1742.54
SHM,1986,7,1733.69
SHM,1986,8,1756.21
SHM,1986,9,1777.49
SHM,1986,10,1783.27
SHM,1986,11,1772.53
SHM,1986,12,1764.75
SHM,1987,1,1774.76
SHM,1987,2,1776.27
SHM,1987,3,1767.59
SHM,1987,4,1772.88
SHM,1987,5,1775.50
SHM,1987,6,1761.55
SHM,1987,7,1743.38
SHM,1987,8,1741.08
SHM,1987,9,1763.68
SHM,1987,10,1781.45
SHM,1987,11,1787.69
SHM,1987,12,1789.05
SHM,1988,1,1785.41
SHM,1988,2,1787.05
SHM,1988,3,1793.11
SHM,1988,4,1797.66
SHM,1988,5,1787.60
SHM,1988,6,1765.11
SHM,1988,7,1753.71
SHM,1988,8,1761.88
SHM,1988,9,1781.02
SHM,1988,10,1792.91
SHM,1988,11,1794.37
SHM,1988,12,1794.92
SHM,1989,1,1799.87
SHM,1989,2,1800.92
SHM,1989,3,1798.76
SHM,1989,4,1797.33
SHM,1989,5,1784.07
SHM,1989,6,1767.30
SHM,1989,7,1766.62
SHM,1989,8,1786.47
SHM,1989,9,1803.40
SHM,1989,10,1803.82
SHM,1989,11,1800.14
SHM,1989,12,1805.61
SHM,1990,1,1816.75
SHM,1990,2,1816.16
SHM,1990,3,1808.32
SHM,1990,4,1804.50
SHM,1990,5,1799.62
SHM,1990,6,1780.79
SHM,1990,7,1775.93
SHM,1990,8,1801.22
SHM,1990,9,1816.21
SHM,1990,10,1816.21
SHM,1990,11,1815.34
SHM,1990,12,1821.04
SHM,1991,1,1824.43
SHM,1991,2,1818.73
SHM,1991,3,1819.38
SHM,1991,4,1818.70
SHM,1991,5,1813.93
SHM,1991,6,1799.89
SHM,1991,7,1785.36
SHM,1991,8,1801.71
SHM,1991,9,1817.14
SHM,1991,10,1815.56
SHM,1991,11,1821.16
SHM,1991,12,1828.54
SHM,1992,1,1827.77
SHM,1992,2,1823.02
SHM,1992,3,1824.37
SHM,1992,4,1824.73
SHM,1992,5,1813.29
SHM,1992,6,1800.79
SHM,1992,7,1796.76
SHM,1992,8,1811.13
SHM,1992,9,1818.13
SHM,1992,10,1816.96
SHM,1992,11,1824.46
SHM,1992,12,1826.61
SHM,1993,1,1827.21
SHM,1993,2,1824.02
SHM,1993,3,1818.11
SHM,1993,4,1818.95
SHM,1993,5,1814.59
SHM,1993,6,1796.04
SHM,1993,7,1785.64
SHM,1993,8,1799.94
SHM,1993,9,1821.06
SHM,1993,10,1830.98
SHM,1993,11,1833.09
SHM,1993,12,1833.00
SHM,1994,1,1833.37
SHM,1994,2,1833.27
SHM,1994,3,1833.01
SHM,1994,4,1833.04
SHM,1994,5,1829.12
SHM,1994,6,1811.24
SHM,1994,7,1792.31
SHM,1994,8,1800.78
SHM,1994,9,1819.49
