site,year,month,value
N12,1991,7,1729.76
N12,1991,8,1735.20
N12,1991,9,1761.99
N12,1991,10,1793.40
N12,1991,11,1787.02
N12,1991,12,1781.84
N12,1992,1,1791.58
N12,1992,2,1776.75
N12,1992,3,1755.27
N12,1992,4,1743.60
N12,1992,5,1729.75
N12,1992,6,1718.71
N12,1992,7,1721.95
N12,1992,8,1739.57
N12,1992,9,1754.77
N12,1992,10,1770.95
N12,1992,11,1792.20
N12,1992,12,1788.76
N12,1993,1,1783.45
N12,1993,12,1785.93
N12,1994,1,1793.03
N12,1994,2,1781.99
N12,1994,3,1778.41
N12,1994,4,1761.17
N12,1994,5,1735.24
N12,1994,6,1739.72
N12,1994,7,1744.93
N12,1994,8,1758.30
N12,1994,9,1789.83
N12,1994,10,1809.71
N12,1994,11,1807.60
N12,1994,12,1803.77
N12,1995,1,1800.48
N12,1995,2,1790.01
N12,1995,3,1780.60
N12,1995,4,1772.38
N12,1995,5,1746.75
N12,1995,10,1789.89
N12,1995,11,1813.95
N12,1995,12,1809.47
N12,1996,1,1810.47
N12,1996,2,1814.28
N12,1996,3,1822.84
N12,1996,4,1813.24
N12,1996,5,1775.68
N12,1996,6,1742.91
N12,1996,7,1729.82
N12,1996,8,1743.72
N12,1996,9,1775.66
N12,1996,10,1788.72
N12,1996,11,1793.09
N12,1996,12,1815.78
N12,1997,1,1823.16
N12,1997,2,1800.28
N12,1997,3,1774.72
N12,1997,4,1765.18
N12,1997,5,1761.20
N12,1997,6,1745.00
N12,1997,7,1747.99
N12,1997,8,1774.81
N12,1997,9,1781.61
N12,1997,10,1781.84
N12,1997,11,1797.38
N12,1997,12,1810.44
N12,1998,1,1808.04
N12,1998,2,1788.64
N12,1998,3,1776.75
N12,1998,4,1778.51
N12,1998,5,1765.12
N12,1998,6,1747.21
N12,1998,7,1749.41
N12,1998,8,1759.69
N12,1998,9,1767.33
N12,1998,10,1778.56
