site,year,month,value
SPO,1983,2,1555.69
SPO,1983,3,1556.20
SPO,1983,4,1561.99
SPO,1983,5,1570.32
SPO,1983,6,1578.09
SPO,1983,7,1586.05
SPO,1983,8,1592.37
SPO,1983,9,1595.84
SPO,1983,10,1597.13
SPO,1983,11,1594.12
SPO,1983,12,1587.74
SPO,1984,1,1580.07
SPO,1984,2,1575.59
SPO,1984,3,1576.69
SPO,1984,4,1582.04
SPO,1984,5,1590.23
SPO,1984,6,1596.41
SPO,1984,7,1600.11
SPO,1984,8,1604.06
SPO,1984,9,1609.64
SPO,1984,10,1609.73
SPO,1984,11,1606.64
SPO,1984,12,1601.28
SPO,1985,1,1591.78
SPO,1985,2,1587.81
SPO,1985,3,1586.75
SPO,1985,4,1590.53
SPO,1985,5,1597.51
SPO,1985,6,1604.77
SPO,1985,7,1613.46
SPO,1985,8,1619.56
SPO,1985,9,1623.07
SPO,1985,10,1623.48
SPO,1985,11,1618.74
SPO,1985,12,1609.86
SPO,1986,1,1602.63
SPO,1986,2,1598.85
SPO,1986,3,1601.05
SPO,1986,4,1606.93
SPO,1986,5,1611.82
SPO,1986,6,1618.29
SPO,1986,7,1626.92
SPO,1986,8,1632.46
SPO,1986,9,1633.89
SPO,1986,10,1634.20
SPO,1986,11,1630.26
SPO,1986,12,1623.27
SPO,1987,1,1615.15
SPO,1987,2,1610.09
SPO,1987,3,1612.52
SPO,1987,4,1617.68
SPO,1987,5,1624.16
SPO,1987,6,1631.52
SPO,1987,7,1637.59
SPO,1987,8,1642.10
SPO,1987,9,1644.96
SPO,1987,10,1645.03
SPO,1987,11,1641.22
SPO,1987,12,1634.76
SPO,1988,1,1625.01
SPO,1988,2,1619.76
SPO,1988,3,1623.47
SPO,1988,4,1628.53
SPO,1988,5,1633.08
SPO,1988,6,1640.92
SPO,1988,7,1649.09
SPO,1988,8,1654.50
SPO,1988,9,1656.96
SPO,1988,10,1659.73
SPO,1988,11,1656.97
SPO,1988,12,1648.25
SPO,1989,1,1640.17
SPO,1989,2,1634.69
SPO,1989,3,1634.71
SPO,1989,4,1639.47
SPO,1989,5,1646.55
SPO,1989,6,1655.84
SPO,1989,7,1663.82
SPO,1989,8,1669.16
SPO,1989,9,1671.84
SPO,1989,10,1669.87
SPO,1989,11,1665.85
SPO,1989,12,1659.46
SPO,1990,1,1650.57
SPO,1990,2,1646.48
SPO,1990,3,1647.84
SPO,1990,4,1651.19
SPO,1990,5,1655.85
SPO,1990,6,1661.83
SPO,1990,7,1669.03
SPO,1990,8,1674.61
SPO,1990,9,1677.96
SPO,1990,10,1676.98
SPO,1990,11,1672.62
SPO,1990,12,1665.01
SPO,1991,1,1659.43
SPO,1991,2,1658.87
SPO,1991,3,1655.41
SPO,1991,4,1656.48
SPO,1991,5,1665.41
SPO,1991,6,1673.45
SPO,1991,7,1678.64
SPO,1991,8,1683.95
SPO,1991,9,1689.31
SPO,1991,10,1691.16
SPO,1991,11,1688.87
SPO,1991,12,1682.45
SPO,1992,1,1675.18
SPO,1992,2,1671.77
SPO,1992,3,1671.66
SPO,1992,4,1675.92
SPO,1992,5,1682.26
SPO,1992,6,1689.95
SPO,1992,7,1697.54
SPO,1992,8,1702.02
SPO,1992,9,1702.80
SPO,1992,10,1700.29
SPO,1992,11,1694.10
SPO,1992,12,1687.49
SPO,1993,1,1678.51
SPO,1993,2,1672.83
SPO,1993,3,1673.59
SPO,1993,4,1675.35
SPO,1993,5,1681.32
SPO,1993,6,1688.08
SPO,1993,7,1691.66
SPO,1993,8,1697.76
SPO,1993,9,1701.62
SPO,1993,10,1700.69
SPO,1993,11,1696.42
SPO,1993,12,1688.11
SPO,1994,1,1678.95
SPO,1994,2,1674.07
SPO,1994,3,1674.45
SPO,1994,4,1678.96
SPO,1994,5,1684.85
SPO,1994,6,1691.87
SPO,1994,7,1698.94
SPO,1994,8,1704.03
SPO,1994,9,1707.60
SPO,1994,10,1707.49
SPO,1994,11,1703.43
SPO,1994,12,1698.06
SPO,1995,1,1689.30
SPO,1995,2,1683.47
SPO,1995,3,1683.87
SPO,1995,4,1688.01
SPO,1995,5,1693.33
SPO,1995,6,1698.40
SPO,1995,7,1703.91
SPO,1995,8,1708.44
SPO,1995,9,1712.49
SPO,1995,10,1713.79
SPO,1995,11,1710.61
SPO,1995,12,1703.03
SPO,1996,1,1693.14
SPO,1996,2,1686.22
SPO,1996,3,1684.44
SPO,1996,4,1687.49
SPO,1996,5,1693.58
SPO,1996,6,1702.68
SPO,1996,7,1708.43
SPO,1996,8,1711.70
SPO,1996,9,1714.13
SPO,1996,10,1714.42
SPO,1996,11,1709.87
SPO,1996,12,1700.37
SPO,1997,1,1693.53
SPO,1997,2,1689.32
SPO,1997,3,1689.42
SPO,1997,4,1694.63
SPO,1997,5,1700.99
SPO,1997,6,1709.13
SPO,1997,7,1715.10
SPO,1997,8,1719.78
SPO,1997,9,1722.47
SPO,1997,10,1721.47
SPO,1997,11,1716.95
SPO,1997,12,1710.23
SPO,1998,1,1703.49
SPO,1998,2,1697.95
SPO,1998,3,1697.05
SPO,1998,4,1700.05
SPO,1998,5,1705.78
SPO,1998,6,1715.03
SPO,1998,7,1722.64
SPO,1998,8,1728.31
SPO,1998,9,1732.59
SPO,1998,10,1733.18
SPO,1998,11,1727.82
SPO,1998,12,1719.87
SPO,1999,1,1712.69
SPO,1999,2,1708.02
SPO,1999,3,1708.09
SPO,1999,4,1711.50
SPO,1999,5,1718.48
SPO,1999,6,1727.43
SPO,1999,7,1733.83
SPO,1999,8,1738.54
SPO,1999,9,1741.38
SPO,1999,10,1740.29
SPO,1999,11,1735.36
SPO,1999,12,1728.00
SPO,2000,1,1719.61
SPO,2000,2,1713.49
SPO,2000,3,1711.33
SPO,2000,4,1715.04
SPO,2000,5,1722.61
SPO,2000,6,1729.09
SPO,2000,7,1735.04
SPO,2000,8,1740.10
SPO,2000,9,1742.03
SPO,2000,10,1740.74
SPO,2000,11,1735.54
SPO,2000,12,1726.74
SPO,2001,1,1716.92
SPO,2001,2,1710.71
SPO,2001,3,1709.77
SPO,2001,4,1713.27
SPO,2001,5,1721.24
SPO,2001,6,1729.09
SPO,2001,7,1734.88
SPO,2001,8,1739.31
SPO,2001,9,1741.26
SPO,2001,10,1739.83
SPO,2001,11,1734.45
SPO,2001,12,1724.98
SPO,2002,1,1716.54
SPO,2002,2,1712.37
SPO,2002,3,1712.49
SPO,2002,4,1717.11
SPO,2002,5,1724.28
SPO,2002,6,1732.07
SPO,2002,7,1737.30
SPO,2002,8,1741.34
SPO,2002,9,1744.11
SPO,2002,10,1742.53
SPO,2002,11,1737.96
SPO,2002,12,1730.14
SPO,2003,1,1719.40
SPO,2003,2,1713.16
SPO,2003,3,1714.08
SPO,2003,4,1716.71
SPO,2003,5,1721.25
SPO,2003,6,1729.79
SPO,2003,7,1736.89
SPO,2003,8,1741.96
SPO,2003,9,1744.25
SPO,2003,10,1742.82
SPO,2003,11,1737.37
SPO,2003,12,1729.32
SPO,2004,1,1720.99
SPO,2004,2,1713.42
SPO,2004,3,1711.76
SPO,2004,4,1714.65
SPO,2004,5,1721.07
SPO,2004,6,1728.91
SPO,2004,7,1734.94
SPO,2004,8,1740.27
SPO,2004,9,1742.94
SPO,2004,10,1741.44
SPO,2004,11,1736.47
SPO,2004,12,1728.24
SPO,2005,1,1718.01
SPO,2005,2,1712.23
SPO,2005,3,1710.82
SPO,2005,4,1713.00
SPO,2005,5,1719.71
SPO,2005,6,1727.00
SPO,2005,7,1733.58
SPO,2005,8,1739.25
SPO,2005,9,1740.99
SPO,2005,10,1739.33
SPO,2005,11,1734.66
SPO,2005,12,1727.10
SPO,2006,1,1717.81
SPO,2006,2,1711.46
SPO,2006,3,1710.22
SPO,2006,4,1712.97
SPO,2006,5,1719.28
SPO,2006,6,1725.40
SPO,2006,7,1731.00
SPO,2006,8,1737.07
SPO,2006,9,1740.40
SPO,2006,10,1739.16
SPO,2006,11,1732.85
SPO,2006,12,1724.89
SPO,2007,1,1717.48
SPO,2007,2,1712.63
SPO,2007,3,1712.23
SPO,2007,4,1717.65
SPO,2007,5,1727.07
SPO,2007,6,1734.47
SPO,2007,7,1740.10
SPO,2007,8,1745.44
SPO,2007,9,1748.25
SPO,2007,10,1747.45
SPO,2007,11,1743.01
SPO,2007,12,1735.27
SPO,2008,1,1727.26
SPO,2008,2,1723.03
SPO,2008,3,1724.03
SPO,2008,4,1729.23
SPO,2008,5,1734.88
SPO,2008,6,1741.32
SPO,2008,7,1747.86
SPO,2008,8,1752.66
SPO,2008,9,1754.59
SPO,2008,10,1753.27
SPO,2008,11,1748.13
SPO,2008,12,1740.03
SPO,2009,1,1731.73
SPO,2009,2,1725.79
SPO,2009,3,1725.33
SPO,2009,4,1730.08
SPO,2009,5,1737.19
SPO,2009,6,1744.38
SPO,2009,7,1750.25
SPO,2009,8,1756.13
SPO,2009,9,1760.09
SPO,2009,10,1759.21
SPO,2009,11,1753.22
SPO,2009,12,1744.61
SPO,2010,1,1735.81
SPO,2010,2,1730.91
SPO,2010,3,1732.05
SPO,2010,4,1735.91
SPO,2010,5,1741.89
SPO,2010,6,1749.80
SPO,2010,7,1756.74
SPO,2010,8,1763.05
SPO,2010,9,1766.58
SPO,2010,10,1765.60
SPO,2010,11,1759.99
SPO,2010,12,1752.13
SPO,2011,1,1744.16
SPO,2011,2,1739.23
SPO,2011,3,1738.78
SPO,2011,4,1742.88
SPO,2011,5,1750.26
SPO,2011,6,1758.05
SPO,2011,7,1765.39
SPO,2011,8,1771.03
SPO,2011,9,1773.20
SPO,2011,10,1771.71
SPO,2011,11,1766.04
SPO,2011,12,1757.61
SPO,2012,1,1748.99
SPO,2012,2,1744.28
SPO,2012,3,1743.46
SPO,2012,4,1747.07
SPO,2012,5,1754.74
SPO,2012,6,1761.32
SPO,2012,7,1768.11
SPO,2012,8,1774.22
SPO,2012,9,1777.01
SPO,2012,10,1776.46
SPO,2012,11,1772.50
SPO,2012,12,1763.27
SPO,2013,1,1753.56
SPO,2013,2,1748.78
SPO,2013,3,1748.03
SPO,2013,4,1752.10
SPO,2013,5,1759.06
SPO,2013,6,1767.81
SPO,2013,7,1774.42
SPO,2013,8,1779.27
SPO,2013,9,1782.85
SPO,2013,10,1781.22
SPO,2013,11,1775.52
SPO,2013,12,1765.67
SPO,2014,1,1756.20
SPO,2014,2,1751.76
SPO,2014,3,1752.77
SPO,2014,4,1758.65
SPO,2014,5,1766.22
SPO,2014,6,1775.75
SPO,2014,7,1784.51
SPO,2014,8,1790.37
SPO,2014,9,1792.70
SPO,2014,10,1791.85
SPO,2014,11,1787.24
SPO,2014,12,1778.81
SPO,2015,1,1770.78
SPO,2015,2,1765.63
SPO,2015,3,1765.82
SPO,2015,4,1771.07
SPO,2015,5,1778.61
SPO,2015,6,1786.24
SPO,2015,7,1792.93
SPO,2015,8,1799.68
SPO,2015,9,1802.70
SPO,2015,10,1801.42
SPO,2015,11,1795.80
SPO,2015,12,1787.26
SPO,2016,1,1779.55
SPO,2016,2,1774.89
SPO,2016,3,1774.24
SPO,2016,4,1778.15
SPO,2016,5,1785.98
SPO,2016,6,1793.53
SPO,2016,7,1800.47
SPO,2016,8,1805.54
SPO,2016,9,1807.38
SPO,2016,10,1806.10
SPO,2016,11,1800.14
SPO,2016,12,1791.54
SPO,2017,1,1782.01
SPO,2017,2,1776.64
SPO,2017,3,1776.87
SPO,2017,4,1781.78
SPO,2017,5,1789.87
SPO,2017,6,1797.62
SPO,2017,7,1806.76
SPO,2017,8,1813.98
SPO,2017,9,1816.53
SPO,2017,10,1816.32
SPO,2017,11,1811.67
SPO,2017,12,1802.05
SPO,2018,1,1791.82
SPO,2018,2,1787.78
SPO,2018,3,1789.42
SPO,2018,4,1795.61
SPO,2018,5,1804.56
SPO,2018,6,1812.26
SPO,2018,7,1820.09
SPO,2018,8,1826.60
SPO,2018,9,1829.05
SPO,2018,10,1826.86
SPO,2018,11,1820.67
SPO,2018,12,1811.04
