site,year,month,value
SGP,2002,4,1894.52
SGP,2002,5,1894.92
SGP,2002,6,1863.95
SGP,2002,7,1849.48
SGP,2002,8,1866.66
SGP,2002,9,1873.70
SGP,2002,10,1885.26
SGP,2002,11,1900.56
SGP,2002,12,1932.82
SGP,2003,1,1965.52
SGP,2003,2,1967.00
SGP,2003,3,1925.86
SGP,2003,4,1877.18
SGP,2003,5,1868.50
SGP,2003,6,1868.74
SGP,2003,7,1844.76
SGP,2003,8,1810.32
SGP,2003,9,1824.10
SGP,2003,10,1829.21
SGP,2003,11,1855.20
SGP,2003,12,1891.57
SGP,2004,1,1864.37
SGP,2004,2,1859.55
SGP,2004,3,1874.41
SGP,2004,4,1880.69
SGP,2004,5,1864.68
SGP,2004,6,1828.29
SGP,2004,7,1823.75
SGP,2004,8,1846.84
SGP,2004,9,1845.02
SGP,2004,10,1859.71
SGP,2004,11,1901.46
SGP,2004,12,1912.33
SGP,2005,1,1924.32
SGP,2005,2,1932.79
SGP,2005,3,1896.58
SGP,2005,4,1884.26
SGP,2005,5,1884.45
SGP,2005,6,1871.70
SGP,2005,7,1859.75
SGP,2005,8,1866.03
SGP,2005,9,1869.16
SGP,2005,10,1879.68
SGP,2005,11,1910.81
SGP,2005,12,1865.96
SGP,2006,1,1861.65
SGP,2006,2,1905.88
SGP,2006,3,1883.42
SGP,2006,4,1869.89
SGP,2006,5,1874.36
SGP,2006,6,1866.32
SGP,2006,7,1855.92
SGP,2006,8,1871.02
SGP,2006,9,1877.67
SGP,2006,10,1889.81
SGP,2006,11,1993.68
SGP,2006,12,2019.35
SGP,2007,1,2005.65
SGP,2007,2,1963.53
SGP,2007,3,1891.31
SGP,2007,4,1886.81
SGP,2007,5,1888.09
SGP,2007,6,1864.62
SGP,2007,7,1881.06
SGP,2007,8,1914.57
SGP,2007,9,1922.97
SGP,2007,10,1912.55
SGP,2007,11,1949.17
SGP,2007,12,1991.91
SGP,2008,1,1958.36
SGP,2008,2,1952.94
