site,year,month,value
ICE,1992,10,1813.19
ICE,1992,11,1814.92
ICE,1992,12,1816.71
ICE,1993,1,1822.31
ICE,1993,2,1821.18
ICE,1993,3,1815.22
ICE,1993,4,1818.20
ICE,1993,5,1822.61
ICE,1993,6,1809.23
ICE,1993,7,1792.69
ICE,1993,8,1791.45
ICE,1993,9,1807.08
ICE,1993,10,1821.08
ICE,1993,11,1826.02
ICE,1993,12,1848.48
ICE,1994,1,1842.32
ICE,1994,2,1823.03
ICE,1994,3,1830.54
ICE,1994,4,1830.41
ICE,1994,5,1814.33
ICE,1994,6,1807.44
ICE,1994,7,1800.35
ICE,1994,8,1800.60
ICE,1994,9,1816.66
ICE,1994,10,1833.30
ICE,1994,11,1834.46
ICE,1994,12,1827.21
ICE,1995,1,1830.37
ICE,1995,2,1841.50
ICE,1995,3,1846.24
ICE,1995,4,1840.12
ICE,1995,5,1831.09
ICE,1995,6,1813.13
ICE,1995,7,1805.62
ICE,1995,8,1811.82
ICE,1995,9,1821.59
ICE,1995,10,1829.63
ICE,1995,11,1834.50
ICE,1995,12,1842.92
ICE,1996,1,1845.59
ICE,1996,2,1836.72
ICE,1996,3,1830.18
ICE,1996,4,1828.48
ICE,1996,5,1825.29
ICE,1996,6,1816.37
ICE,1996,7,1808.28
ICE,1996,8,1813.74
ICE,1996,9,1828.43
ICE,1996,10,1835.56
ICE,1996,11,1834.73
ICE,1996,12,1832.97
ICE,1997,1,1836.05
ICE,1997,2,1841.71
ICE,1997,3,1841.59
ICE,1997,4,1838.30
ICE,1997,5,1834.52
ICE,1997,6,1823.60
ICE,1997,7,1813.61
ICE,1997,8,1813.99
ICE,1997,9,1821.71
ICE,1997,10,1832.66
ICE,1997,11,1839.94
ICE,1997,12,1842.29
ICE,1998,1,1848.48
ICE,1998,2,1847.52
ICE,1998,3,1844.37
ICE,1998,4,1843.19
ICE,1998,5,1838.41
ICE,1998,6,1844.58
ICE,1998,7,1848.06
ICE,1998,8,1851.66
ICE,1998,9,1864.71
ICE,1998,10,1859.63
ICE,1998,11,1848.00
ICE,1998,12,1852.23
ICE,1999,1,1864.66
ICE,1999,2,1865.14
ICE,1999,3,1864.43
