site,year,month,value
SUM,1997,7,1805.14
SUM,1997,8,1805.66
SUM,1997,9,1816.92
SUM,1997,10,1825.69
SUM,1997,11,1828.38
SUM,1997,12,1834.93
SUM,1998,1,1838.56
SUM,1998,2,1842.72
SUM,1998,3,1843.69
SUM,1998,4,1834.26
SUM,1998,5,1823.55
SUM,1998,6,1814.07
SUM,1998,7,1813.32
SUM,2000,8,1824.01
SUM,2000,9,1837.10
SUM,2000,10,1843.29
SUM,2000,11,1845.31
SUM,2000,12,1844.06
SUM,2001,1,1852.91
SUM,2001,2,1858.00
SUM,2001,3,1849.86
SUM,2001,4,1848.21
SUM,2001,5,1843.68
SUM,2001,6,1830.15
SUM,2001,7,1823.41
SUM,2001,8,1828.12
SUM,2001,9,1834.51
SUM,2001,10,1841.09
SUM,2001,11,1849.97
SUM,2001,12,1850.15
SUM,2002,1,1850.01
SUM,2002,2,1859.64
SUM,2002,3,1857.84
SUM,2002,4,1845.21
SUM,2002,5,1835.98
SUM,2002,6,1825.42
SUM,2002,7,1820.10
SUM,2003,8,1839.01
SUM,2003,9,1852.15
SUM,2003,10,1863.03
SUM,2003,11,1867.64
SUM,2003,12,1862.72
SUM,2004,1,1857.65
SUM,2004,2,1861.16
SUM,2004,3,1868.19
SUM,2004,4,1863.71
SUM,2004,5,1845.25
SUM,2004,6,1829.02
SUM,2004,7,1824.95
SUM,2004,8,1831.25
SUM,2004,9,1841.34
SUM,2004,10,1846.67
SUM,2004,11,1847.80
SUM,2004,12,1858.67
SUM,2005,1,1866.55
SUM,2005,2,1853.32
SUM,2005,3,1849.02
SUM,2005,4,1857.01
SUM,2005,5,1848.03
SUM,2005,6,1828.18
SUM,2005,7,1824.55
SUM,2005,8,1834.36
SUM,2005,9,1844.85
SUM,2005,10,1847.66
SUM,2005,11,1852.36
SUM,2005,12,1861.35
SUM,2006,1,1863.24
SUM,2006,2,1853.74
SUM,2006,3,1850.83
SUM,2006,4,1853.51
SUM,2006,5,1849.18
SUM,2006,6,1838.11
SUM,2006,7,1825.16
SUM,2006,8,1829.17
SUM,2006,9,1837.09
SUM,2006,10,1841.26
SUM,2006,11,1855.93
SUM,2006,12,1860.32
SUM,2007,1,1856.41
SUM,2007,2,1855.18
SUM,2007,3,1858.69
SUM,2007,4,1861.25
SUM,2007,5,1851.90
SUM,2007,6,1836.72
SUM,2007,7,1832.74
SUM,2007,8,1846.84
SUM,2007,9,1856.45
SUM,2007,10,1860.26
SUM,2007,11,1863.39
SUM,2007,12,1862.36
SUM,2008,1,1869.87
SUM,2008,2,1876.30
SUM,2008,3,1865.82
SUM,2008,4,1859.45
SUM,2008,5,1859.47
SUM,2008,6,1846.78
SUM,2008,7,1836.31
SUM,2008,8,1842.21
SUM,2008,9,1855.23
SUM,2008,10,1865.68
SUM,2008,11,1872.70
SUM,2008,12,1876.69
SUM,2009,1,1875.91
SUM,2009,2,1875.41
SUM,2009,3,1876.50
SUM,2009,4,1875.74
SUM,2009,5,1866.07
SUM,2009,6,1852.01
SUM,2009,7,1849.12
SUM,2009,8,1853.99
SUM,2009,9,1863.64
SUM,2009,10,1871.09
SUM,2009,11,1869.38
SUM,2009,12,1862.41
SUM,2010,1,1869.56
SUM,2010,2,1880.97
SUM,2010,3,1877.83
SUM,2010,4,1872.72
SUM,2010,5,1863.87
SUM,2010,6,1851.09
SUM,2010,7,1848.72
SUM,2010,8,1854.50
SUM,2010,9,1864.35
SUM,2010,10,1870.50
SUM,2010,11,1872.83
SUM,2010,12,1876.89
SUM,2011,1,1882.70
SUM,2011,2,1883.29
SUM,2011,3,1882.36
SUM,2011,4,1881.76
SUM,2011,5,1875.08
SUM,2011,6,1860.68
SUM,2011,7,1851.54
SUM,2011,8,1856.01
SUM,2011,9,1868.03
SUM,2011,10,1873.67
SUM,2011,11,1879.59
SUM,2011,12,1890.15
SUM,2012,1,1892.78
SUM,2012,2,1888.61
SUM,2012,3,1886.70
SUM,2012,4,1883.00
SUM,2012,5,1873.31
SUM,2012,6,1860.33
SUM,2012,7,1857.14
SUM,2012,8,1869.19
SUM,2012,9,1880.59
SUM,2012,10,1884.67
SUM,2012,11,1885.09
SUM,2012,12,1890.11
SUM,2013,1,1897.26
SUM,2013,2,1896.72
SUM,2013,3,1897.29
SUM,2013,4,1897.27
SUM,2013,5,1888.33
SUM,2013,6,1875.62
SUM,2013,7,1866.47
SUM,2013,8,1868.59
SUM,2013,9,1879.62
SUM,2013,10,1888.71
SUM,2013,11,1894.22
SUM,2013,12,1900.25
SUM,2014,1,1907.63
SUM,2014,2,1911.50
SUM,2014,3,1908.63
SUM,2014,4,1903.89
SUM,2014,5,1895.81
SUM,2014,6,1880.07
SUM,2014,7,1875.91
SUM,2014,8,1887.68
SUM,2014,9,1899.16
SUM,2014,10,1902.00
SUM,2014,11,1909.00
SUM,2014,12,1913.31
SUM,2015,1,1911.39
SUM,2015,2,1913.28
SUM,2015,3,1913.75
SUM,2015,4,1912.79
SUM,2015,5,1904.16
SUM,2015,6,1889.79
SUM,2015,7,1886.10
SUM,2015,8,1898.28
SUM,2015,9,1911.65
SUM,2015,10,1913.54
SUM,2015,11,1915.78
SUM,2015,12,1921.22
SUM,2016,1,1925.36
SUM,2016,2,1927.38
SUM,2016,3,1921.21
SUM,2016,4,1915.88
SUM,2016,5,1907.64
SUM,2016,6,1899.98
SUM,2016,7,1903.43
SUM,2016,8,1911.64
SUM,2016,9,1916.88
SUM,2016,10,1923.38
SUM,2016,11,1928.65
SUM,2016,12,1933.41
SUM,2017,1,1939.04
SUM,2017,2,1935.64
SUM,2017,3,1931.96
SUM,2017,4,1929.98
SUM,2017,5,1918.61
SUM,2017,6,1904.71
SUM,2017,7,1902.29
SUM,2017,8,1915.83
SUM,2017,9,1927.15
SUM,2017,10,1934.36
SUM,2017,11,1940.53
SUM,2017,12,1936.50
SUM,2018,1,1941.31
SUM,2018,2,1946.65
SUM,2018,3,1942.17
SUM,2018,4,1939.94
SUM,2018,5,1926.21
SUM,2018,6,1909.94
SUM,2018,7,1906.38
SUM,2018,8,1911.74
SUM,2018,9,1922.42
SUM,2018,10,1934.18
SUM,2018,11,1939.19
SUM,2018,12,1940.95
