site,year,month,value
SYO,1986,4,1604.57
SYO,1986,5,1611.15
SYO,1986,6,1621.51
SYO,1986,7,1630.80
SYO,1986,8,1637.44
SYO,1986,9,1638.48
SYO,1986,10,1636.41
SYO,1986,11,1631.42
SYO,1986,12,1624.15
SYO,1988,2,1626.36
SYO,1988,3,1624.08
SYO,1988,4,1627.85
SYO,1988,5,1636.07
SYO,1988,6,1643.33
SYO,1988,7,1649.06
SYO,1988,8,1653.72
SYO,1988,9,1656.47
SYO,1988,10,1656.95
SYO,1988,11,1655.05
SYO,1988,12,1650.64
SYO,1989,1,1643.11
SYO,1989,2,1636.75
SYO,1989,3,1636.92
SYO,1989,4,1641.04
SYO,1989,5,1647.74
SYO,1989,6,1656.62
SYO,1989,7,1663.88
SYO,1989,8,1669.79
SYO,1989,9,1671.31
SYO,1989,10,1669.49
SYO,1989,11,1664.61
SYO,1989,12,1657.03
SYO,1990,1,1650.93
SYO,1990,2,1645.96
SYO,1990,3,1645.84
SYO,1990,4,1651.40
SYO,1990,5,1657.14
SYO,1990,6,1663.80
SYO,1990,7,1669.67
SYO,1990,8,1673.49
SYO,1990,9,1676.62
SYO,1990,10,1678.19
SYO,1990,11,1674.88
SYO,1990,12,1666.87
SYO,1991,1,1658.14
SYO,1991,2,1653.84
SYO,1991,3,1655.04
SYO,1991,4,1659.09
SYO,1991,5,1665.72
SYO,1991,6,1672.19
SYO,1991,7,1678.93
SYO,1991,8,1685.35
SYO,1991,9,1686.56
SYO,1991,10,1688.90
SYO,1991,11,1690.46
SYO,1991,12,1685.20
SYO,1992,1,1677.20
SYO,1992,2,1671.92
SYO,1992,3,1671.70
SYO,1992,4,1676.55
SYO,1992,5,1682.73
SYO,1992,6,1688.98
SYO,1992,7,1695.86
SYO,1992,8,1700.31
SYO,1992,9,1702.98
SYO,1992,10,1702.85
SYO,1992,11,1697.05
SYO,1992,12,1687.12
SYO,1993,1,1677.78
SYO,1993,2,1672.29
SYO,1993,3,1671.11
SYO,1993,4,1676.57
SYO,1993,5,1684.19
SYO,1993,6,1689.42
SYO,1993,7,1695.42
SYO,1993,8,1699.97
SYO,1993,9,1701.55
SYO,1993,10,1701.12
SYO,1993,11,1696.30
SYO,1993,12,1688.70
SYO,1994,1,1681.21
SYO,1994,2,1674.83
SYO,1994,3,1674.49
SYO,1994,4,1680.11
SYO,1994,5,1685.71
SYO,1994,6,1693.20
SYO,1994,7,1700.53
SYO,1994,8,1704.77
SYO,1994,9,1706.05
SYO,1994,10,1705.52
SYO,1994,11,1704.06
SYO,1994,12,1698.73
SYO,1995,1,1691.38
SYO,1995,2,1685.90
SYO,1995,3,1683.64
SYO,1995,4,1688.13
SYO,1995,5,1693.42
SYO,1995,6,1697.75
SYO,1995,7,1704.49
SYO,1995,8,1709.84
SYO,1995,9,1713.22
SYO,1995,10,1714.18
SYO,1995,11,1711.49
SYO,1995,12,1704.54
SYO,1996,1,1693.99
SYO,1996,2,1685.43
SYO,1996,3,1685.05
SYO,1996,4,1688.65
SYO,1996,5,1694.06
SYO,1996,6,1701.26
SYO,1996,7,1707.15
SYO,1996,8,1712.03
SYO,1996,9,1715.41
SYO,1996,10,1714.55
SYO,1996,11,1708.77
SYO,1996,12,1701.98
SYO,1997,1,1695.09
SYO,1997,2,1690.26
SYO,1997,3,1690.89
SYO,1997,4,1695.45
SYO,1997,5,1702.17
SYO,1997,6,1709.67
SYO,1997,7,1716.65
SYO,1997,8,1721.50
SYO,1997,9,1722.51
SYO,1997,10,1720.82
SYO,1997,11,1716.79
SYO,1997,12,1710.71
SYO,1998,1,1703.85
SYO,1998,2,1698.56
SYO,1998,3,1696.61
SYO,1998,4,1699.82
SYO,1998,5,1706.33
SYO,1998,6,1714.12
SYO,1998,7,1721.77
SYO,1998,8,1727.84
SYO,1998,9,1731.75
SYO,1998,10,1732.73
SYO,1998,11,1729.78
SYO,1998,12,1720.15
SYO,1999,1,1711.71
SYO,1999,2,1708.57
SYO,1999,3,1707.90
SYO,1999,4,1712.40
SYO,1999,5,1720.24
SYO,1999,6,1726.90
SYO,1999,7,1733.08
SYO,1999,8,1738.20
SYO,1999,9,1741.17
SYO,1999,10,1739.77
SYO,1999,11,1735.34
SYO,1999,12,1727.95
SYO,2000,1,1719.34
SYO,2000,2,1712.47
SYO,2000,3,1709.72
SYO,2000,4,1713.66
SYO,2000,5,1720.48
SYO,2000,6,1728.73
SYO,2000,7,1735.67
SYO,2000,8,1739.98
SYO,2000,9,1741.48
SYO,2000,10,1740.02
SYO,2000,11,1734.70
SYO,2000,12,1726.67
SYO,2001,1,1718.29
SYO,2001,2,1711.46
SYO,2001,3,1709.86
SYO,2001,4,1713.86
SYO,2001,5,1720.95
SYO,2001,6,1728.49
SYO,2001,7,1734.03
SYO,2001,8,1739.31
SYO,2001,9,1741.34
SYO,2001,10,1739.28
SYO,2001,11,1734.33
SYO,2001,12,1725.98
SYO,2002,1,1717.14
SYO,2002,2,1711.71
SYO,2002,3,1710.72
SYO,2002,4,1715.28
SYO,2002,5,1723.82
SYO,2002,6,1732.26
SYO,2002,7,1737.71
SYO,2002,8,1740.60
SYO,2002,9,1742.56
SYO,2002,10,1742.34
SYO,2002,11,1738.14
SYO,2002,12,1730.34
SYO,2003,1,1720.04
SYO,2003,2,1712.75
SYO,2003,3,1711.95
SYO,2003,4,1715.46
SYO,2003,5,1721.15
SYO,2003,6,1728.19
SYO,2003,7,1736.85
SYO,2003,8,1743.09
SYO,2003,9,1744.78
SYO,2003,10,1742.71
SYO,2003,11,1737.39
SYO,2003,12,1730.33
SYO,2004,1,1720.48
SYO,2004,2,1712.34
SYO,2004,3,1710.51
SYO,2004,4,1714.41
SYO,2004,5,1720.88
SYO,2004,6,1727.82
SYO,2004,7,1735.36
SYO,2004,8,1740.84
SYO,2004,9,1742.90
SYO,2004,10,1741.39
SYO,2004,11,1737.37
SYO,2004,12,1728.72
SYO,2005,1,1717.51
SYO,2005,2,1710.51
SYO,2005,3,1709.75
SYO,2005,4,1713.01
SYO,2005,5,1718.51
SYO,2005,6,1726.48
SYO,2005,7,1733.20
SYO,2005,8,1737.31
SYO,2005,9,1739.70
SYO,2005,10,1739.90
SYO,2005,11,1735.56
SYO,2005,12,1726.95
SYO,2006,1,1718.16
SYO,2006,2,1712.04
SYO,2006,3,1711.26
SYO,2006,4,1714.71
SYO,2006,5,1719.35
SYO,2006,6,1725.47
SYO,2006,7,1732.07
SYO,2006,8,1737.95
SYO,2006,9,1740.02
SYO,2006,10,1739.08
SYO,2006,11,1734.81
