site,year,month,value
TAP,1991,3,1855.52
TAP,1991,4,1823.19
TAP,1991,5,1822.66
TAP,1991,6,1830.73
TAP,1991,7,1812.64
TAP,1991,8,1862.38
TAP,1991,9,1886.05
TAP,1991,10,1843.38
TAP,1991,11,1838.81
TAP,1991,12,1853.73
TAP,1992,1,1852.34
TAP,1992,2,1855.51
TAP,1992,3,1864.42
TAP,1992,4,1863.52
TAP,1992,5,1864.37
TAP,1992,6,1881.24
TAP,1992,7,1883.57
TAP,1992,8,1853.50
TAP,1992,9,1844.56
TAP,1992,10,1843.66
TAP,1992,11,1843.40
TAP,1992,12,1858.60
TAP,1993,1,1859.30
TAP,1993,2,1852.66
TAP,1993,3,1851.06
TAP,1993,4,1837.96
TAP,1993,5,1852.58
TAP,1993,6,1907.88
TAP,1993,7,1945.74
TAP,1993,8,1948.57
TAP,1993,9,1894.23
TAP,1993,10,1843.86
TAP,1993,11,1852.30
TAP,1993,12,1860.80
TAP,1994,1,1863.07
TAP,1994,2,1860.65
TAP,1994,3,1861.37
TAP,1994,4,1853.76
TAP,1994,5,1863.55
TAP,1994,6,1858.70
TAP,1994,7,1822.77
TAP,1994,8,1847.46
TAP,1994,9,1866.55
TAP,1994,10,1872.15
TAP,1994,11,1881.11
TAP,1994,12,1869.05
TAP,1995,1,1857.67
TAP,1995,2,1853.73
TAP,1995,3,1863.26
TAP,1995,4,1857.85
TAP,1995,5,1850.16
TAP,1995,6,1869.63
TAP,1995,7,1826.82
TAP,1995,8,1777.10
TAP,1995,9,1827.59
TAP,1995,10,1848.28
TAP,1995,11,1845.87
TAP,1995,12,1859.85
TAP,1996,1,1857.37
TAP,1996,2,1860.84
TAP,1996,3,1862.58
TAP,1996,4,1851.27
TAP,1996,5,1855.34
TAP,1996,6,1857.58
TAP,1996,7,1815.53
TAP,1996,8,1820.75
TAP,1996,9,1860.17
TAP,1996,10,1849.97
TAP,1996,11,1852.42
TAP,1996,12,1862.61
TAP,1997,1,1854.67
TAP,1997,2,1852.89
TAP,1997,3,1860.64
TAP,1997,4,1852.09
TAP,1997,5,1866.43
TAP,1997,6,1858.31
TAP,1997,7,1814.58
TAP,1997,8,1858.41
TAP,1997,9,1887.34
TAP,1997,10,1843.32
TAP,1997,11,1839.39
TAP,1997,12,1870.36
TAP,1998,1,1871.74
TAP,1998,2,1877.85
TAP,1998,3,1890.67
TAP,1998,4,1892.19
TAP,1998,5,1894.91
TAP,1998,6,1879.43
TAP,1998,7,1826.56
TAP,1998,8,1843.02
TAP,1998,9,1900.09
TAP,1998,10,1883.23
TAP,1998,11,1871.47
TAP,1998,12,1883.69
TAP,1999,1,1882.72
TAP,1999,2,1882.83
TAP,1999,3,1882.47
TAP,1999,4,1874.58
TAP,1999,5,1882.07
TAP,1999,6,1880.87
TAP,1999,7,1875.51
TAP,1999,8,1911.59
TAP,1999,9,1923.06
TAP,1999,10,1873.74
TAP,1999,11,1858.92
TAP,1999,12,1869.09
TAP,2000,1,1868.90
TAP,2000,2,1891.52
TAP,2000,3,1902.55
TAP,2000,4,1880.44
TAP,2000,5,1871.65
TAP,2000,6,1875.01
TAP,2000,7,1873.69
TAP,2000,8,1876.81
TAP,2000,9,1877.86
TAP,2000,10,1867.99
TAP,2000,11,1871.62
TAP,2000,12,1883.23
TAP,2001,1,1875.27
TAP,2001,2,1878.83
TAP,2001,3,1898.24
TAP,2001,4,1883.10
TAP,2001,5,1866.76
TAP,2001,6,1869.32
TAP,2001,7,1872.93
TAP,2001,8,1883.44
TAP,2001,9,1888.22
TAP,2001,10,1876.29
TAP,2001,11,1866.78
TAP,2001,12,1876.24
TAP,2002,1,1886.34
TAP,2002,2,1882.08
TAP,2002,3,1894.75
TAP,2002,4,1885.46
TAP,2002,5,1866.93
TAP,2002,6,1881.26
TAP,2002,7,1865.75
TAP,2002,8,1913.32
TAP,2002,9,1945.89
TAP,2002,10,1885.99
TAP,2002,11,1871.37
TAP,2002,12,1878.09
TAP,2003,1,1880.43
TAP,2003,2,1900.96
TAP,2003,3,1894.57
TAP,2003,4,1883.81
TAP,2003,5,1912.00
TAP,2003,6,1896.41
TAP,2003,7,1880.69
TAP,2003,8,1898.51
TAP,2003,9,1894.73
TAP,2003,10,1897.23
TAP,2003,11,1899.59
TAP,2003,12,1885.06
TAP,2004,1,1890.07
TAP,2004,2,1903.96
TAP,2004,3,1891.69
TAP,2004,4,1878.30
TAP,2004,5,1889.33
TAP,2004,6,1872.44
TAP,2004,7,1860.26
TAP,2004,8,1898.12
TAP,2004,9,1889.21
TAP,2004,10,1855.05
TAP,2004,11,1875.64
TAP,2004,12,1895.39
TAP,2005,1,1879.74
TAP,2005,2,1879.24
TAP,2005,3,1892.60
TAP,2005,4,1884.98
TAP,2005,5,1882.59
TAP,2005,6,1886.05
TAP,2005,7,1868.57
TAP,2005,8,1873.71
TAP,2005,9,1900.17
TAP,2005,10,1898.40
TAP,2005,11,1887.26
TAP,2005,12,1891.05
TAP,2006,1,1883.96
TAP,2006,2,1884.71
TAP,2006,3,1893.73
TAP,2006,4,1879.20
TAP,2006,5,1888.98
TAP,2006,6,1924.89
TAP,2006,7,1873.01
TAP,2006,8,1848.26
TAP,2006,9,1907.60
TAP,2006,10,1898.46
TAP,2006,11,1877.81
TAP,2006,12,1890.63
TAP,2007,1,1888.89
TAP,2007,2,1898.07
TAP,2007,3,1915.32
TAP,2007,4,1891.67
TAP,2007,5,1906.08
TAP,2007,6,1954.86
TAP,2007,7,1893.36
TAP,2007,8,1828.37
TAP,2007,9,1867.10
TAP,2007,10,1886.14
TAP,2007,11,1879.04
TAP,2007,12,1887.55
TAP,2008,1,1885.99
TAP,2008,2,1893.06
TAP,2008,3,1921.14
TAP,2008,4,1916.82
TAP,2008,5,1883.32
TAP,2008,6,1852.86
TAP,2008,7,1864.94
TAP,2008,8,1933.98
TAP,2008,9,1956.96
