site,year,month,value
AZR,1983,5,1698.33
AZR,1983,6,1685.30
AZR,1983,7,1673.72
AZR,1983,8,1676.48
AZR,1983,9,1688.75
AZR,1983,10,1701.20
AZR,1983,11,1698.47
AZR,1983,12,1693.34
AZR,1984,1,1706.79
AZR,1984,2,1720.73
AZR,1984,3,1719.12
AZR,1984,4,1713.73
AZR,1984,5,1708.35
AZR,1984,6,1692.34
AZR,1984,7,1681.81
AZR,1984,8,1698.88
AZR,1984,9,1709.18
AZR,1984,10,1710.12
AZR,1984,11,1730.13
AZR,1984,12,1732.75
AZR,1985,1,1716.55
AZR,1985,2,1719.27
AZR,1985,3,1725.93
AZR,1985,4,1732.39
AZR,1985,5,1735.63
AZR,1985,6,1714.98
AZR,1985,7,1706.52
AZR,1985,8,1724.64
AZR,1985,9,1725.43
AZR,1985,10,1726.19
AZR,1985,11,1725.74
AZR,1985,12,1727.59
AZR,1986,1,1740.21
AZR,1986,12,1753.60
AZR,1987,1,1759.53
AZR,1987,2,1751.18
AZR,1987,3,1750.26
AZR,1987,4,1755.30
AZR,1987,5,1749.68
AZR,1987,6,1737.12
AZR,1987,7,1723.26
AZR,1987,8,1720.91
AZR,1987,9,1743.79
AZR,1987,10,1762.69
AZR,1987,11,1764.72
AZR,1987,12,1767.59
AZR,1988,1,1762.25
AZR,1988,2,1750.39
AZR,1988,3,1756.01
AZR,1988,4,1771.74
AZR,1988,5,1763.16
AZR,1988,6,1738.88
AZR,1988,7,1722.08
AZR,1988,8,1722.17
AZR,1988,9,1750.30
AZR,1988,10,1772.05
AZR,1988,11,1770.01
AZR,1988,12,1764.07
AZR,1989,1,1768.25
AZR,1989,2,1765.58
AZR,1989,3,1765.21
AZR,1989,4,1772.66
AZR,1989,5,1771.63
AZR,1989,6,1760.91
AZR,1990,6,1769.26
AZR,1990,7,1765.45
AZR,1990,8,1757.72
AZR,1990,9,1771.58
AZR,1990,10,1801.42
AZR,1990,11,1795.22
AZR,1990,12,1792.49
AZR,1991,1,1811.31
AZR,1991,2,1810.49
AZR,1991,3,1801.36
AZR,1991,4,1798.49
AZR,1991,5,1784.03
AZR,1991,6,1761.28
AZR,1991,7,1765.87
AZR,1991,8,1780.21
AZR,1991,9,1776.05
AZR,1991,10,1788.94
AZR,1991,11,1811.71
AZR,1991,12,1806.09
AZR,1992,1,1787.90
AZR,1995,1,1803.00
AZR,1995,2,1806.34
AZR,1995,3,1807.79
AZR,1995,4,1798.91
AZR,1995,5,1798.72
AZR,1995,6,1794.70
AZR,1995,7,1797.93
AZR,1995,8,1812.06
AZR,1995,9,1808.08
AZR,1995,10,1811.16
AZR,1995,11,1822.28
AZR,1995,12,1819.56
AZR,1996,1,1823.51
AZR,1996,2,1822.70
AZR,1996,3,1809.38
AZR,1996,4,1814.20
AZR,1996,5,1815.44
AZR,1996,6,1788.00
AZR,1996,7,1770.75
AZR,1996,8,1781.97
AZR,1996,9,1795.77
AZR,1996,10,1808.20
AZR,1996,11,1812.38
AZR,1996,12,1820.93
AZR,1997,1,1817.92
AZR,1997,2,1804.63
AZR,1997,3,1802.89
AZR,1997,4,1810.11
AZR,1997,5,1814.00
AZR,1997,6,1802.36
AZR,1997,7,1782.77
AZR,1997,8,1787.49
AZR,1997,9,1801.06
AZR,1997,10,1805.94
AZR,1997,11,1817.01
AZR,1997,12,1827.28
AZR,1998,1,1829.00
AZR,1998,2,1823.32
AZR,1998,3,1821.17
AZR,1998,4,1822.95
AZR,1998,5,1816.40
AZR,1998,6,1804.44
AZR,1998,7,1796.73
AZR,1998,8,1810.42
AZR,1998,9,1826.11
AZR,1998,10,1820.97
AZR,1998,11,1820.17
AZR,1998,12,1834.11
AZR,1999,1,1839.47
AZR,1999,2,1835.21
AZR,1999,3,1828.92
AZR,1999,4,1827.67
AZR,1999,5,1833.24
AZR,1999,6,1822.66
AZR,1999,7,1806.72
AZR,1999,8,1810.55
AZR,1999,9,1831.97
AZR,1999,10,1840.31
AZR,1999,11,1831.99
AZR,1999,12,1829.15
AZR,2000,1,1831.63
