site,year,month,value
BMW,1989,5,1767.89
BMW,1989,6,1747.79
BMW,1989,7,1732.80
BMW,1989,8,1729.40
BMW,1989,9,1736.18
BMW,1989,10,1746.15
BMW,1989,11,1765.82
BMW,1989,12,1785.61
BMW,1990,1,1776.36
BMW,1990,2,1775.88
BMW,1990,3,1798.82
BMW,1990,4,1790.30
BMW,1990,5,1756.59
BMW,1990,6,1742.98
BMW,1990,7,1734.99
BMW,1990,8,1738.73
BMW,1990,9,1762.74
BMW,1990,10,1770.05
BMW,1990,11,1772.23
BMW,1990,12,1784.08
BMW,1991,1,1796.36
BMW,1991,2,1786.15
BMW,1991,3,1792.22
BMW,1991,4,1811.85
BMW,1991,5,1792.04
BMW,1991,6,1742.38
BMW,1991,7,1727.60
BMW,1991,8,1756.97
BMW,1991,9,1789.50
BMW,1991,10,1798.35
BMW,1991,11,1792.36
BMW,1991,12,1797.77
BMW,1992,1,1808.92
BMW,1992,2,1810.17
BMW,1992,3,1810.22
BMW,1992,4,1799.34
BMW,1992,5,1774.17
BMW,1992,6,1746.87
BMW,1992,7,1731.91
BMW,1992,8,1746.37
BMW,1992,9,1775.18
BMW,1992,10,1790.91
BMW,1992,11,1793.98
BMW,1992,12,1800.37
BMW,1993,1,1804.79
BMW,1993,2,1818.93
BMW,1993,3,1819.05
BMW,1993,4,1805.05
BMW,1993,5,1800.00
BMW,1993,6,1787.44
BMW,1993,7,1760.30
BMW,1993,8,1751.86
BMW,1993,9,1787.67
BMW,1993,10,1811.16
BMW,1993,11,1800.80
BMW,1993,12,1801.57
BMW,1994,1,1804.30
BMW,1994,2,1806.54
BMW,1994,3,1812.20
BMW,1994,4,1802.97
BMW,1994,5,1783.46
BMW,1994,6,1760.65
BMW,1994,7,1746.34
BMW,1994,8,1745.41
BMW,1994,9,1779.56
BMW,1994,10,1800.23
BMW,1994,11,1794.70
BMW,1994,12,1809.34
BMW,1995,1,1823.96
BMW,1995,2,1820.60
BMW,1995,3,1815.10
BMW,1995,4,1808.00
BMW,1995,5,1784.06
BMW,1995,6,1759.33
BMW,1995,7,1763.65
BMW,1995,8,1761.76
BMW,1995,9,1767.61
BMW,1995,10,1800.31
BMW,1995,11,1812.51
BMW,1995,12,1803.72
