site,year,month,value
SMO,1983,4,1570.94
SMO,1983,5,1574.39
SMO,1983,6,1587.49
SMO,1983,7,1593.49
SMO,1983,8,1592.74
SMO,1983,9,1594.16
SMO,1983,10,1598.26
SMO,1983,11,1596.80
SMO,1983,12,1598.48
SMO,1984,1,1608.65
SMO,1984,2,1601.85
SMO,1984,3,1588.65
SMO,1984,4,1592.81
SMO,1984,5,1597.90
SMO,1984,6,1605.31
SMO,1984,7,1611.11
SMO,1984,8,1609.16
SMO,1984,9,1608.80
SMO,1984,10,1608.82
SMO,1984,11,1607.51
SMO,1984,12,1613.98
SMO,1985,1,1620.40
SMO,1985,2,1621.41
SMO,1985,3,1616.16
SMO,1985,4,1611.16
SMO,1985,5,1615.00
SMO,1985,6,1616.89
SMO,1985,7,1618.72
SMO,1985,8,1622.37
SMO,1985,9,1623.54
SMO,1985,10,1621.71
SMO,1985,11,1617.23
SMO,1985,12,1615.80
SMO,1986,1,1626.57
SMO,1986,2,1638.84
SMO,1986,3,1635.19
SMO,1986,4,1624.70
SMO,1986,5,1621.37
SMO,1986,6,1624.51
SMO,1986,7,1628.49
SMO,1986,8,1630.83
SMO,1986,9,1632.79
SMO,1986,10,1631.22
SMO,1986,11,1625.99
SMO,1986,12,1622.57
SMO,1987,1,1628.60
SMO,1987,2,1640.02
SMO,1987,3,1636.17
SMO,1987,4,1625.05
SMO,1987,5,1627.84
SMO,1987,6,1637.24
SMO,1987,7,1642.12
SMO,1987,8,1643.49
SMO,1987,9,1642.73
SMO,1987,10,1642.82
SMO,1987,11,1638.93
SMO,1987,12,1635.82
SMO,1988,1,1642.56
SMO,1988,2,1647.53
SMO,1988,3,1645.43
SMO,1988,4,1644.39
SMO,1988,5,1638.67
SMO,1988,6,1640.51
SMO,1988,7,1650.17
SMO,1988,8,1655.53
SMO,1988,9,1656.49
SMO,1988,10,1657.95
SMO,1988,11,1657.42
SMO,1988,12,1658.38
SMO,1989,1,1663.56
SMO,1989,2,1661.39
SMO,1989,3,1655.09
SMO,1989,4,1656.95
SMO,1989,5,1661.48
SMO,1989,6,1662.16
SMO,1989,7,1665.54
SMO,1989,8,1668.67
SMO,1989,9,1666.42
SMO,1989,10,1663.87
SMO,1989,11,1667.58
SMO,1989,12,1664.62
SMO,1990,1,1655.80
SMO,1990,2,1655.90
SMO,1990,3,1662.62
SMO,1990,4,1663.46
SMO,1990,5,1660.63
SMO,1990,6,1666.88
SMO,1990,7,1673.38
SMO,1990,8,1674.38
SMO,1990,9,1675.13
SMO,1990,10,1672.81
SMO,1990,11,1671.73
SMO,1990,12,1676.42
SMO,1991,1,1679.51
SMO,1991,2,1683.25
SMO,1991,3,1675.78
SMO,1991,4,1667.38
SMO,1991,5,1672.67
SMO,1991,6,1676.46
SMO,1991,7,1681.28
SMO,1991,8,1686.08
SMO,1991,9,1688.75
SMO,1991,10,1687.28
SMO,1991,11,1686.80
SMO,1991,12,1686.56
SMO,1992,1,1678.82
SMO,1992,2,1683.99
SMO,1992,3,1689.43
SMO,1992,4,1681.15
SMO,1992,5,1684.60
SMO,1992,6,1693.51
SMO,1992,7,1695.80
SMO,1992,8,1696.90
SMO,1992,9,1695.49
SMO,1992,10,1693.61
SMO,1992,11,1691.15
SMO,1992,12,1685.43
SMO,1993,1,1685.23
SMO,1993,2,1691.68
SMO,1993,3,1691.79
SMO,1993,4,1688.35
SMO,1993,5,1687.54
SMO,1993,6,1693.42
SMO,1993,7,1699.20
SMO,1993,8,1698.67
SMO,1993,9,1699.18
SMO,1993,10,1698.56
SMO,1993,11,1693.50
SMO,1993,12,1693.20
SMO,1994,1,1696.20
SMO,1994,2,1695.32
SMO,1994,3,1693.21
SMO,1994,4,1693.67
SMO,1994,5,1697.22
SMO,1994,6,1700.64
SMO,1994,7,1704.44
SMO,1994,8,1706.72
SMO,1994,9,1706.77
SMO,1994,10,1704.37
SMO,1994,11,1701.82
SMO,1994,12,1701.71
SMO,1995,1,1700.59
SMO,1995,2,1701.04
SMO,1995,3,1698.66
SMO,1995,4,1699.18
SMO,1995,5,1704.13
SMO,1995,6,1705.51
SMO,1995,7,1708.71
SMO,1995,8,1711.77
SMO,1995,9,1714.24
SMO,1995,10,1712.34
SMO,1995,11,1706.42
SMO,1995,12,1707.49
SMO,1996,1,1718.06
